Player_Name,Salary,Team,Pos,Opp,Proj_FP
Jared Goff,11000,LAR,QB,NEP,18.49
Cam Newton,10600,NEP,QB,LAR,16.89
Damiere Byrd,800,NEP,WR,LAR,9.51
N'Keal Harry,1800,NEP,WR,LAR,8.18
Los Angeles Rams,4400,LAR,DST,NEP,8.28
Robert Woods,9200,LAR,WR,NEP,16.61
Jakobi Meyers,6800,NEP,WR,LAR,11.61
Cooper Kupp,9600,LAR,WR,NEP,15.22
James White,6400,NEP,RB,LAR,10.45
Cam Akers,8000,LAR,RB,NEP,11.46
Josh Reynolds,5600,LAR,WR,NEP,8.05
Gerald Everett,3400,LAR,TE,NEP,6.91
Tyler Higbee,5000,LAR,TE,NEP,7.28
Damien Harris,8800,NEP,RB,LAR,10.46
New England Patriots,4200,NEP,DST,LAR,6.23
Ryan Izzo,1400,NEP,TE,LAR,4.24
Darrell Henderson,7400,LAR,RB,NEP,6.11
Van Jefferson,2600,LAR,WR,NEP,3.45
Malcolm Brown,2400,LAR,RB,NEP,4.20
Gunner Olszewski,1000,NEP,WR,LAR,3.15
Dalton Keene,200,NEP,TE,LAR,1.33
Johnny Mundt,200,LAR,TE,NEP,1.18
Sony Michel,4800,NEP,RB,LAR,1.92
Jakob Johnson,200,NEP,RB,LAR,0.61
Donte Moncrief,600,NEP,WR,LAR,0.43
Nsimba Webster,200,LAR,WR,NEP,0.06
Xavier Jones,200,LAR,RB,NEP,0.02
