Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2427541671,combs210,0,175.62,DST Eagles  RB Frank Gore TE Travis Kelce WR DeAndre Hopkins FLEX Maxx Williams WR Greg Ward RB Alvin Kamara WR Tyreek Hill QB Jalen Hurts,,Alvin Kamara,FLEX,62.00%,18.4
2,2427177565,wink63,0,158.94,DST Jets  RB Frank Gore FLEX Emmanuel Sanders WR DeAndre Hopkins WR Sammy Watkins RB Alvin Kamara TE Dallas Goedert WR Tyreek Hill QB Kyler Murray,,Rams ,DST,48.00%,2
3,2427496538,jonrochon,0,155.52,DST Jets  FLEX Alshon Jeffery WR DeAndre Hopkins RB Alvin Kamara TE Dallas Goedert WR Tyreek Hill QB Jalen Hurts WR Mecole Hardman RB Miles Sanders,,Tyreek Hill,WR,47.00%,17.4
4,2427343815,bigjake625,0,153.52,DST Jets  RB Le'Veon Bell WR DeAndre Hopkins WR Breshad Perriman FLEX Alvin Kamara TE Dallas Goedert WR Tyreek Hill QB Jalen Hurts RB Clyde Edwards-Helaire,,Emmanuel Sanders,WR,44.00%,11.6
5,2426819365,jasaviano,0,149.82,DST Cardinals  WR Robert Woods WR Jamison Crowder TE Tyler Higbee RB Kenyan Drake RB Alvin Kamara WR Tyreek Hill FLEX Christian Kirk QB Jalen Hurts,,Kenyan Drake,RB,40.00%,6
6,2426762740,zoeyaubrey5,0,149.24,DST Chiefs  RB Latavius Murray WR Robert Woods FLEX DeAndre Hopkins WR Sammy Watkins RB Alvin Kamara TE Dallas Goedert WR Christian Kirk QB Kyler Murray,,DeAndre Hopkins,FLEX,38.00%,34
7,2427009259,jdbalentine,0,147.82,DST Cardinals  WR Emmanuel Sanders WR DeAndre Hopkins TE Richard Rodgers RB Alvin Kamara FLEX Tyreek Hill WR Christian Kirk QB Jalen Hurts RB Clyde Edwards-Helaire,,Robert Woods,WR,38.00%,21.6
8,2427451102,Schmuckeybuck,0,147.24,DST Rams  TE Jared Cook FLEX Robert Woods WR DeAndre Hopkins WR Greg Ward RB Alvin Kamara WR Tre'Quan Smith QB Kyler Murray RB Cam Akers,,Travis Kelce,TE,34.00%,22.8
9,2427531759,GeneralAladeen,0,144.72,DST Rams  WR Emmanuel Sanders WR DeAndre Hopkins RB Alvin Kamara TE Dallas Goedert QB Jalen Hurts WR Mecole Hardman RB Miles Sanders FLEX Clyde Edwards-Helaire,,Christian Kirk,WR,33.00%,6.3
10,2427463126,packerbackerdale,0,143.95999,DST Cardinals  RB Frank Gore FLEX Jared Cook TE Travis Kelce WR DeAndre Hopkins WR Sammy Watkins RB Alvin Kamara WR Tre'Quan Smith QB Patrick Mahomes,,Dallas Goedert,TE,33.00%,7.9
11,2427503108,spiers5,0,142.64,DST Eagles  RB Le'Veon Bell WR DeAndre Hopkins WR Cooper Kupp WR Demarcus Robinson RB Alvin Kamara TE Dallas Goedert QB Kyler Murray FLEX Miles Sanders,,Cam Akers,RB,31.00%,7.2
12,2427471221,MikeLind100,0,141.34,DST Rams  FLEX Jared Cook WR Emmanuel Sanders TE Travis Kelce WR Robert Woods RB Alvin Kamara RB Chase Edmonds WR Christian Kirk QB Kyler Murray,,Clyde Edwards-Helaire,RB,30.00%,9.3
