Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2427384679,ndesmarais15,0,102.1,CPT Chris Godwin FLEX Tom Brady FLEX Calvin Ridley FLEX Antonio Brown FLEX Leonard Fournette FLEX Ito Smith,,Tom Brady,FLEX,61.11%,23.7
2,2427323767,bayej,0,96.65,CPT Tom Brady FLEX Mike Evans FLEX Chris Godwin FLEX Leonard Fournette FLEX Hayden Hurst FLEX Scotty Miller,,Calvin Ridley,CPT,55.56%,23.55
3,2427310306,jmbrow936,0,89.05,CPT Mike Evans FLEX Tom Brady FLEX Chris Godwin FLEX Russell Gage FLEX Leonard Fournette FLEX Younghoe Koo,,Matt Ryan,CPT,55.56%,13.26
4,2427301525,ggutshall360,0,88.75,CPT Tom Brady FLEX Antonio Brown FLEX Russell Gage FLEX Rob Gronkowski FLEX Leonard Fournette FLEX Buccaneers ,,Rob Gronkowski,FLEX,50.00%,4.2
5,2427395095,kuntzilla,0,88.189995,CPT Calvin Ridley FLEX Tom Brady FLEX Matt Ryan FLEX Leonard Fournette FLEX Hayden Hurst FLEX Ito Smith,,Chris Godwin,FLEX,50.00%,11.6
6,2427199211,32domthebomb,0,83.149994,CPT Calvin Ridley FLEX Tom Brady FLEX Antonio Brown FLEX Rob Gronkowski FLEX Buccaneers  FLEX Younghoe Koo,,Russell Gage,FLEX,50.00%,2.4
7,2427353438,EvanJ002,0,77.19,CPT Tom Brady FLEX Matt Ryan FLEX Mike Evans FLEX Rob Gronkowski FLEX Hayden Hurst FLEX Scotty Miller,,Leonard Fournette,FLEX,33.33%,20.9
8,2427373010,Unfortunatejetsfan,0,71.950005,CPT Calvin Ridley FLEX Chris Godwin FLEX Antonio Brown FLEX Russell Gage FLEX Rob Gronkowski FLEX Hayden Hurst,,Mike Evans,FLEX,33.33%,16.3
9,2427412009,snookslayer123,0,70.86,CPT Matt Ryan FLEX Calvin Ridley FLEX Chris Godwin FLEX Russell Gage FLEX Leonard Fournette FLEX Ryan Succop,,Antonio Brown,FLEX,27.78%,21.7
10,2427356010,anthonyxavier26,0,66.49,CPT Tom Brady FLEX Calvin Ridley FLEX Matt Ryan FLEX Julio Jones FLEX Brian Hill FLEX Cameron Brate,,Scotty Miller,FLEX,27.78%,3.8
11,2427421781,J_swizz24,0,65.24,CPT Russell Gage FLEX Calvin Ridley FLEX Matt Ryan FLEX Chris Godwin FLEX Antonio Brown FLEX Scotty Miller,,Buccaneers ,FLEX,22.22%,4
12,2427339964,eviljoe18,0,64.89,CPT Tom Brady FLEX Matt Ryan FLEX Mike Evans FLEX Rob Gronkowski FLEX Todd Gurley II FLEX Laquon Treadwell,,Younghoe Koo,FLEX,22.22%,6
13,2427301970,LukeWerth,0,64.46,CPT Matt Ryan FLEX Calvin Ridley FLEX Mike Evans FLEX Chris Godwin FLEX Russell Gage FLEX Cameron Brate,,Hayden Hurst,FLEX,22.22%,8.5
14,2427371687,PMRoland,0,61.190002,CPT Tom Brady FLEX Matt Ryan FLEX Chris Godwin FLEX Rob Gronkowski FLEX Buccaneers  FLEX Falcons ,,Todd Gurley II,FLEX,16.67%,0
15,2427297335,tdup73,0,57.550003,CPT Tom Brady FLEX Chris Godwin FLEX Ronald Jones II FLEX Russell Gage FLEX Rob Gronkowski FLEX Scotty Miller,,Cameron Brate,FLEX,11.11%,5.2
16,2427394620,bearmtn69,0,55.66,CPT Matt Ryan FLEX Calvin Ridley FLEX Mike Evans FLEX Russell Gage FLEX Rob Gronkowski FLEX Scotty Miller,,Falcons ,FLEX,11.11%,-3
17,2427402977,georgiafan29,0,44.99,CPT Calvin Ridley FLEX Matt Ryan FLEX Russell Gage FLEX Rob Gronkowski FLEX Todd Gurley II FLEX Younghoe Koo,,Ito Smith,FLEX,11.11%,2.7
18,2427374071,kingofkings20,0,9.3,CPT Falcons  FLEX Blaine Gabbert FLEX Todd Gurley II FLEX LeSean McCoy FLEX Buccaneers  FLEX Younghoe Koo,,Ronald Jones II,FLEX,5.56%,0
,,,,,,,Laquon Treadwell,FLEX,5.56%,0
,,,,,,,Julio Jones,FLEX,5.56%,0
,,,,,,,Brian Hill,FLEX,5.56%,1.2
,,,,,,,Blaine Gabbert,FLEX,5.56%,0
,,,,,,,LeSean McCoy,FLEX,5.56%,3.8
,,,,,,,Ryan Succop,FLEX,5.56%,7
