Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2423437575,Bugsym0508,0,109.22,FLEX Teddy Bridgewater FLEX DJ Moore FLEX Robert Tonyan FLEX Allen Lazard FLEX Packers  CPT Aaron Jones,,Davante Adams,FLEX,84.00%,11.2
2,2423423476,Nolan2015,0,100.619995,FLEX Davante Adams FLEX Aaron Rodgers FLEX Aaron Jones FLEX Joey Slye FLEX Pharoh Cooper CPT DJ Moore,,Aaron Rodgers,FLEX,84.00%,18.32
3,2423489464,robinette67,0,98.22,FLEX Aaron Rodgers FLEX Robby Anderson FLEX DJ Moore FLEX Mason Crosby FLEX Jamaal Williams CPT Aaron Jones,,Aaron Jones,FLEX,44.00%,27.8
4,2423398718,KingStatus561,0,97.240005,FLEX Davante Adams FLEX Aaron Rodgers FLEX Teddy Bridgewater FLEX Allen Lazard FLEX Ian Thomas CPT DJ Moore,,Robert Tonyan,CPT,40.00%,16.2
5,2423481690,PEEDEE76,0,92.619995,FLEX Aaron Rodgers FLEX Aaron Jones FLEX Mike Davis FLEX DJ Moore FLEX Marcedes Lewis CPT Robert Tonyan,,Mike Davis,FLEX,40.00%,8.1
6,2423382156,TeamMoolah,0,90.020004,FLEX Davante Adams FLEX Aaron Rodgers FLEX Aaron Jones FLEX Allen Lazard FLEX Ian Thomas CPT Robert Tonyan,,DJ Moore,CPT,36.00%,33.3
7,2423449535,MegaHick33,0,88.979996,FLEX Davante Adams FLEX Aaron Jones FLEX Allen Lazard FLEX Packers  FLEX Ian Thomas CPT Aaron Rodgers,,Jamaal Williams,FLEX,36.00%,4
8,2423444962,Cpriceles,0,88.619995,FLEX Aaron Rodgers FLEX Aaron Jones FLEX Mason Crosby FLEX Joey Slye FLEX Rodney Smith CPT Davante Adams,,Allen Lazard,FLEX,28.00%,10.6
9,2423413389,packerbackerdale,0,87.28,FLEX Davante Adams FLEX Aaron Jones FLEX Robert Tonyan FLEX Joey Slye FLEX Equanimeous St. Brown CPT Aaron Rodgers,,Marquez Valdes-Scantling,FLEX,28.00%,0
10,2423411252,zryan4,0,85.68,FLEX Davante Adams FLEX DJ Moore FLEX Robert Tonyan FLEX Joey Slye FLEX Jamaal Williams CPT Aaron Rodgers,,Teddy Bridgewater,FLEX,28.00%,17.92
11,2423431275,ajg616Dallas,0,82.520004,FLEX Teddy Bridgewater FLEX Mike Davis FLEX Robert Tonyan FLEX Marquez Valdes-Scantling FLEX Jamaal Williams CPT Aaron Jones,,Joey Slye,FLEX,28.00%,10
12,2423420716,bernierm,0,78.880005,FLEX Davante Adams FLEX DJ Moore FLEX Marquez Valdes-Scantling FLEX Mason Crosby FLEX Joey Slye CPT Aaron Rodgers,,Ian Thomas,FLEX,20.00%,5.9
13,2423428811,ericspruill-1,0,77.3,FLEX Davante Adams FLEX Teddy Bridgewater FLEX Robert Tonyan FLEX Jamaal Williams FLEX Ian Thomas CPT Aaron Rodgers,,Equanimeous St. Brown,FLEX,20.00%,0
14,2423488828,Damus187,0,76.020004,FLEX Davante Adams FLEX Aaron Rodgers FLEX Mike Davis FLEX DJ Moore FLEX Equanimeous St. Brown CPT Robert Tonyan,,Robby Anderson,FLEX,20.00%,4
15,2423462408,gettinem420,0,71.74,FLEX Aaron Rodgers FLEX Teddy Bridgewater FLEX Curtis Samuel FLEX Jamaal Williams FLEX Ian Thomas CPT Davante Adams,,Packers ,FLEX,12.00%,6
16,2423405631,AndersDavidson,0,71.380005,FLEX Davante Adams FLEX Mike Davis FLEX Allen Lazard FLEX Joey Slye FLEX Jamaal Williams CPT Aaron Rodgers,,Rodney Smith,FLEX,12.00%,7.7
