Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2473279403,d00dy (14/20),0,212.73997,QB Ben Roethlisberger RB Alvin Kamara RB Cam Akers WR Stefon Diggs FLEX Jarvis Landry WR JuJu Smith-Schuster WR Chase Claypool TE Jonnu Smith DST Rams ,,Stefon Diggs,WR,44.41%,27.8
2,2473750577,GOLFBUMM4LIFE (3/3),0,205.36,QB Josh Allen RB Nick Chubb RB Cam Akers WR Stefon Diggs FLEX Antonio Brown WR JuJu Smith-Schuster WR Marquise Brown TE Jimmy Graham DST Seahawks ,,Josh Allen,QB,34.59%,35.36
3,2473342885,cardshow (3/20),0,204.73999,QB Ben Roethlisberger RB Chris Carson RB Cam Akers WR Stefon Diggs WR Michael Thomas WR Diontae Johnson FLEX JuJu Smith-Schuster TE Logan Thomas DST Titans ,,Derrick Henry,FLEX,31.90%,8.1
4,2473614590,ndesmarais15 (14/20),0,203.84,QB Ben Roethlisberger RB David Montgomery RB Cam Akers WR Stefon Diggs WR Michael Thomas FLEX Diontae Johnson WR JuJu Smith-Schuster TE Austin Hooper DST Titans ,,Cam Akers,FLEX,28.93%,28.6
5,2473325025,dfstics (13/20),0,202.13998,QB Ben Roethlisberger RB Alvin Kamara FLEX Antonio Gibson RB Cam Akers WR Michael Thomas WR Jarvis Landry WR JuJu Smith-Schuster TE Eric Ebron DST Rams ,,Corey Davis,WR,27.42%,0
6,2473744005,Theram31 (11/14),0,200.14,QB Ben Roethlisberger RB J.K. Dobbins RB Cam Akers FLEX Chris Godwin WR Michael Thomas WR Diontae Johnson WR JuJu Smith-Schuster TE Eric Ebron DST Buccaneers ,,Mark Andrews,TE,26.21%,8.1
7,2473341322,TheFFOracle (4/20),0,198.96,QB Josh Allen RB Cam Akers RB James Conner WR Stefon Diggs FLEX Diontae Johnson WR JuJu Smith-Schuster WR Corey Davis TE Mark Andrews DST Rams ,,Michael Thomas,WR,25.32%,18.3
8,2473676640,mattpr,0,197.36,QB Lamar Jackson RB James Conner RB Kareem Hunt WR Stefon Diggs WR Michael Thomas FLEX JuJu Smith-Schuster WR Marquise Brown TE Eric Ebron DST Buccaneers ,,Diontae Johnson,FLEX,24.59%,25.7
9,2473723775,roth1979,0,196.73999,QB Ben Roethlisberger RB Jonathan Taylor RB Cam Akers WR Michael Thomas FLEX Diontae Johnson WR JuJu Smith-Schuster WR Chase Claypool TE Mark Andrews DST Colts ,,Seahawks ,DST,24.50%,3
10,2473505606,Snowgolfer14 (1/2),0,196.34,QB Ben Roethlisberger RB Jonathan Taylor RB Nick Chubb FLEX Cam Akers WR Diontae Johnson WR Marquise Brown WR Chase Claypool TE Logan Thomas DST WAS Football Team ,,Jonathan Taylor,RB,23.35%,16.4
10,2473497284,jmorris84 (12/20),0,196.33998,QB Ben Roethlisberger FLEX David Montgomery RB Nick Chubb RB James Conner WR Diontae Johnson WR Jarvis Landry WR JuJu Smith-Schuster TE Logan Thomas DST Rams ,,John Brown,WR,23.10%,0
12,2473696361,dommast,0,195.43999,QB Ben Roethlisberger RB Jonathan Taylor RB J.K. Dobbins WR Diontae Johnson WR JuJu Smith-Schuster WR Marquise Brown FLEX Chase Claypool TE Eric Ebron DST Seahawks ,,Buccaneers ,DST,22.62%,4
13,2473689888,bradsmith1679 (1/3),0,194.43997,QB Ben Roethlisberger RB Alvin Kamara RB Cam Akers WR Stefon Diggs FLEX JuJu Smith-Schuster WR Chase Claypool WR Anthony Miller TE Logan Thomas DST Buccaneers ,,J.K. Dobbins,RB,21.22%,10.7
14,2473307820,awh90,0,193.43999,QB Ben Roethlisberger FLEX Jonathan Taylor RB J.K. Dobbins RB Cam Akers WR Diontae Johnson WR JuJu Smith-Schuster WR Chase Claypool TE Logan Thomas DST Colts ,,Alvin Kamara,RB,20.49%,19.6
