Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Lamar Jackson,12000,BAL,QB,TEN,25.43,30.40%
Tennessee Titans,2800,TEN,DST,BAL,7.04,22.80%
Corey Davis,8000,TEN,WR,BAL,14.66,32.60%
Mark Andrews,7200,BAL,TE,TEN,15.24,28.80%
Ryan Tannehill,10400,TEN,QB,BAL,18.74,9.80%
Jonnu Smith,6200,TEN,TE,BAL,8.87,19.10%
Marquise Brown,8800,BAL,WR,TEN,14.79,29.30%
Derrick Henry,11600,TEN,RB,BAL,22.77,47.80%
A.J. Brown,9400,TEN,WR,BAL,16.80,26.20%
Baltimore Ravens,3200,BAL,DST,TEN,7.90,10.90%
Gus Edwards,4400,BAL,RB,TEN,10.12,17.60%
J.K. Dobbins,10000,BAL,RB,TEN,12.09,17.60%
Miles Boykin,4800,BAL,WR,TEN,5.49,1.80%
Dez Bryant,3600,BAL,WR,TEN,4.74,2.70%
Anthony Firkser,1400,TEN,TE,BAL,4.26,5.80%
Willie Snead,5200,BAL,WR,TEN,5.07,1.80%
Cameron Batson,200,TEN,WR,BAL,3.31,0.10%
Devin Duvernay,800,BAL,WR,TEN,2.88,0.90%
Geoff Swaim,600,TEN,TE,BAL,2.17,1.60%
Justice Hill,400,BAL,RB,TEN,2.31,
Nick Westbrook-Ikhine,200,TEN,WR,BAL,1.70,0.10%
Eric Tomlinson,200,BAL,TE,TEN,1.13,0.10%
Kalif Raymond,200,TEN,WR,BAL,1.18,0.10%
Darrynton Evans,200,TEN,RB,BAL,0.90,0.10%
Jeremy McNichols,200,TEN,RB,BAL,0.60,0.10%
