CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
16111704,16111709,16111707,16111708,16111720,16111748,,1. Locate the player you want to select in the list below ,,,,,,,,
16111704,16111705,16111707,16111706,16111726,16111748,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16111704,16111705,16111707,16111708,16111726,16111729,,3. Paste the ID into the roster position desired ,,,,,,,,
16111707,16111709,16111704,16111706,16111720,16111748,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16111707,16111709,16111704,16111708,16111720,16111729,,5. You can create up to 500 lineups per file ,,,,,,,,
16111707,16111705,16111704,16111706,16111726,16111729,,,,,,,,,,
16111705,16111707,16111704,16111706,16111726,16111729,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16111709,16111707,16111704,16111706,16111720,16111729,,RB,Alvin Kamara (16111704),Alvin Kamara,16111704,CPT,16800,CHI@NO 01/10/2021 04:40PM ET,NO,25.59
16111706,16111709,16111707,16111704,16111720,16111748,,QB,Drew Brees (16111705),Drew Brees,16111705,CPT,15600,CHI@NO 01/10/2021 04:40PM ET,NO,18.87
16111704,16111709,16111707,16111708,16111724,16111729,,RB,David Montgomery (16111706),David Montgomery,16111706,CPT,15300,CHI@NO 01/10/2021 04:40PM ET,CHI,18.32
16111706,16111705,16111707,16111704,16111726,16111729,,WR,Michael Thomas (16111707),Michael Thomas,16111707,CPT,15000,CHI@NO 01/10/2021 04:40PM ET,NO,12.84
16111704,16111707,16111708,16111706,16111724,16111748,,WR,Allen Robinson II (16111708),Allen Robinson II,16111708,CPT,14400,CHI@NO 01/10/2021 04:40PM ET,CHI,17.18
16111708,16111709,16111707,16111704,16111720,16111729,,QB,Mitchell Trubisky (16111709),Mitchell Trubisky,16111709,CPT,13800,CHI@NO 01/10/2021 04:40PM ET,CHI,16.38
16111708,16111707,16111704,16111706,16111720,16111748,,WR,Emmanuel Sanders (16111710),Emmanuel Sanders,16111710,CPT,12300,CHI@NO 01/10/2021 04:40PM ET,NO,11.99
16111720,16111705,16111707,16111704,16111706,16111726,,RB,Alvin Kamara (16111655),Alvin Kamara,16111655,FLEX,11200,CHI@NO 01/10/2021 04:40PM ET,NO,25.59
16111707,16111705,16111704,16111708,16111726,16111748,,QB,Drew Brees (16111656),Drew Brees,16111656,FLEX,10400,CHI@NO 01/10/2021 04:40PM ET,NO,18.87
16111707,16111704,16111708,16111706,16111720,16111741,,RB,David Montgomery (16111657),David Montgomery,16111657,FLEX,10200,CHI@NO 01/10/2021 04:40PM ET,CHI,18.32
