CAPT,FLEX,FLEX,FLEX,FLEX,FLEX
George Kittle,Christian McCaffrey,Brock Purdy,Patrick Mahomes,Rashee Rice,Chris Conley
Brock Purdy,Christian McCaffrey,Isiah Pacheco,Rashee Rice,George Kittle,Chris Conley
George Kittle,Christian McCaffrey,Brock Purdy,Isiah Pacheco,Rashee Rice,Justin Watson
Isiah Pacheco,Christian McCaffrey,Brock Purdy,Rashee Rice,George Kittle,Noah Gray
Christian McCaffrey,Brock Purdy,Isiah Pacheco,George Kittle,Harrison Butker,Justin Watson
Rashee Rice,Christian McCaffrey,Brock Purdy,Isiah Pacheco,George Kittle,Noah Gray
Rashee Rice,Christian McCaffrey,Brock Purdy,Brandon Aiyuk,George Kittle,Clyde Edwards-Helaire
George Kittle,Christian McCaffrey,Brock Purdy,Travis Kelce,Isiah Pacheco,Chris Conley
Christian McCaffrey,Brock Purdy,Patrick Mahomes,Isiah Pacheco,Justin Watson,Chris Conley
Christian McCaffrey,Brock Purdy,Isiah Pacheco,Rashee Rice,Harrison Butker,Chris Conley
Christian McCaffrey,Isiah Pacheco,Brandon Aiyuk,Rashee Rice,George Kittle,Chris Conley
Christian McCaffrey,Brock Purdy,Rashee Rice,George Kittle,Harrison Butker,Marquez Valdes-Scantling
Brock Purdy,Christian McCaffrey,Brandon Aiyuk,Rashee Rice,George Kittle,Ray-Ray McCloud III
George Kittle,Christian McCaffrey,Brock Purdy,Brandon Aiyuk,Rashee Rice,Clyde Edwards-Helaire
Brock Purdy,Christian McCaffrey,Isiah Pacheco,Rashee Rice,Harrison Butker,Justin Watson
Christian McCaffrey,Brock Purdy,Rashee Rice,George Kittle,Jake Moody,Justin Watson
Christian McCaffrey,Brock Purdy,Patrick Mahomes,George Kittle,Justin Watson,Clyde Edwards-Helaire
Christian McCaffrey,Brock Purdy,Travis Kelce,George Kittle,Harrison Butker,Chris Conley
George Kittle,Christian McCaffrey,Brock Purdy,Isiah Pacheco,Brandon Aiyuk,Mecole Hardman Jr.
Christian McCaffrey,Brock Purdy,Brandon Aiyuk,George Kittle,Harrison Butker,Noah Gray
Christian McCaffrey,Patrick Mahomes,Rashee Rice,George Kittle,Harrison Butker,Justin Watson
Isiah Pacheco,Christian McCaffrey,Patrick Mahomes,Brandon Aiyuk,George Kittle,Chris Conley
Noah Gray,Christian McCaffrey,Brock Purdy,Patrick Mahomes,Isiah Pacheco,George Kittle
