Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Christian McCaffrey,12000,SF,RB,KC,25.5,
Brock Purdy,10000,SF,QB,KC,19.9,
Patrick Mahomes,10600,KC,QB,SF,19.1,
Travis Kelce,10200,KC,TE,SF,16.6,
Isiah Pacheco,8000,KC,RB,SF,15.7,
Brandon Aiyuk,8800,SF,WR,KC,15.2,
Rashee Rice,7600,KC,WR,SF,14.9,
Deebo Samuel,9200,SF,WR,KC,14.6,
George Kittle,6400,SF,TE,KC,13.5,
Harrison Butker,5000,KC,K,SF,8.8,
Jake Moody,5200,SF,K,KC,8.1,
49ers ,4400,SF,DST,KC,7.1,
Chiefs ,3400,KC,DST,SF,6.1,
Justin Watson,2400,KC,WR,SF,4.7,
Marquez Valdes-Scantling,3000,KC,WR,SF,4.5,
Jauan Jennings,4000,SF,WR,KC,4.0,
Clyde Edwards-Helaire,1200,KC,RB,SF,3.9,
Noah Gray,1800,KC,TE,SF,3.6,
Mecole Hardman Jr.,1600,KC,WR,SF,2.8,
Kyle Juszczyk,800,SF,RB,KC,2.4,
Chris Conley,200,SF,WR,KC,2.3,
Elijah Mitchell,2800,SF,RB,KC,1.0,
Ray-Ray McCloud III,200,SF,WR,KC,0.8,
Blake Bell,200,KC,TE,SF,0.7,
Richie James Jr.,400,KC,WR,SF,0.6,
Jordan Mason,600,SF,RB,KC,0.5,
Charlie Woerner,200,SF,TE,KC,0.4,
La'Mical Perine,200,KC,RB,SF,0.4,
