QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
31485557,31485624,31485658,31485884,31485908,31485944,31486328,31486340,31486550,,1. Locate the player you want to select in the list below ,,,,,,,,
31485557,31485658,31485724,31485880,31485884,31485908,31486316,31486322,31486543,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
31485557,31485658,31485652,31485888,31485908,31485944,31486292,31486316,31486548,,3. Paste the ID into the roster position desired ,,,,,,,,
31485557,31485658,31485652,31485884,31485908,31485962,31486294,31486308,31486554,,4. You must include an ID for each player, you cannot use just the player's name ,,,,,,,
31485559,31485624,31485658,31485908,31485902,31485944,31486322,31485954,31486548,,5. You can create up to 500 lineups per file ,,,,,,,,
31485557,31485652,31485724,31485884,31485888,31485908,31486310,31485960,31486550,,,,,,,,,,
31485562,31485624,31485724,31485888,31485908,31485944,31486294,31486334,31486550,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
31485557,31485624,31485724,31485884,31485908,31485936,31486334,31485962,31486548,,RB,Christian McCaffrey (31485624),Christian McCaffrey,31485624,RB/FLEX,9200,SEA@SF 12/10/2023 04:05PM ET,SF,25.76
31485557,31485624,31485658,31485908,31485936,31485960,31486292,31486322,31486547,,WR,Stefon Diggs (31485878),Stefon Diggs,31485878,WR/FLEX,8800,BUF@KC 12/10/2023 04:25PM ET,BUF,20.32
31485557,31485658,31485660,31485884,31485888,31485944,31486306,31485724,31486554,,WR,Keenan Allen (31485880),Keenan Allen,31485880,WR/FLEX,8600,DEN@LAC 12/10/2023 04:25PM ET,LAC,23.5
31485557,31485624,31485652,31485884,31485908,31485976,31486316,31486326,31486547,,WR,Justin Jefferson (31485882),Justin Jefferson,31485882,WR/FLEX,8500,MIN@LV 12/10/2023 04:05PM ET,MIN,23.82
31485559,31485658,31485652,31485880,31485908,31485954,31486296,31486316,31486550,,QB,Josh Allen (31485552),Josh Allen,31485552,QB,8300,BUF@KC 12/10/2023 04:25PM ET,BUF,26.23
31485557,31485624,31485658,31485888,31485908,31485982,31486306,31486326,31486543,,WR,Amon-Ra St. Brown (31485884),Amon-Ra St. Brown,31485884,WR/FLEX,8200,DET@CHI 12/10/2023 01:00PM ET,DET,22.04
31485563,31485624,31485658,31485888,31485908,31485914,31486316,31486340,31486554,,RB,Alvin Kamara (31485626),Alvin Kamara,31485626,RB/FLEX,8200,CAR@NO 12/10/2023 01:00PM ET,NO,20.9
31485557,31485624,31485724,31485880,31485908,31485944,31486310,31485982,31486547,,QB,Patrick Mahomes (31485553),Patrick Mahomes,31485553,QB,7900,BUF@KC 12/10/2023 04:25PM ET,KC,20.27
31485557,31485658,31485660,31485880,31485888,31485908,31486334,31486022,31486550,,TE,Travis Kelce (31486290),Travis Kelce,31486290,TE/FLEX,7800,BUF@KC 12/10/2023 04:25PM ET,KC,17.3
