QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Brock Purdy,Christian McCaffrey,Kyren Williams,Jayden Reed,Demario Douglas,Michael Wilson,George Kittle,Ezekiel Elliott,Giants 
Matthew Stafford,Christian McCaffrey,Kyren Williams,Jayden Reed,Curtis Samuel,Demarcus Robinson,David Njoku,Ezekiel Elliott,Falcons 
Dak Prescott,Christian McCaffrey,Kyren Williams,Rashid Shaheed,Demario Douglas,Khalil Shakir,Jake Ferguson,Ezekiel Elliott,Jets 
Brock Purdy,Christian McCaffrey,Kyren Williams,Brandon Aiyuk,Demario Douglas,Darius Slayton,Trey McBride,David Njoku,Patriots 
Brock Purdy,Christian McCaffrey,Kyren Williams,Brandon Aiyuk,Rashid Shaheed,Rondale Moore,Dawson Knox,Ezekiel Elliott,Packers 
Jordan Love,Christian McCaffrey,Kyren Williams,Jayden Reed,Romeo Doubs,Rashid Shaheed,Cade Otton,Ezekiel Elliott,Browns 
Matthew Stafford,Christian McCaffrey,Kyren Williams,DeAndre Hopkins,Demario Douglas,Jahan Dotson,Tyler Higbee,Ezekiel Elliott,Packers 
Jordan Love,Christian McCaffrey,Kyren Williams,Mike Evans,Demario Douglas,Wan'Dale Robinson,Tucker Kraft,Ezekiel Elliott,Rams 
Sam Howell,Christian McCaffrey,Kyren Williams,Rashee Rice,Demario Douglas,Demarcus Robinson,Logan Thomas,Ezekiel Elliott,Saints 
Brock Purdy,Christian McCaffrey,Kyren Williams,Deebo Samuel,Rashid Shaheed,Michael Wilson,David Njoku,Tucker Kraft,Texans 
Joe Flacco,Christian McCaffrey,Kyren Williams,DJ Moore,Jayden Reed,Rashid Shaheed,David Njoku,Demario Douglas,Packers 
Matthew Stafford,Christian McCaffrey,Kyren Williams,Cooper Kupp,Rashid Shaheed,Michael Wilson,Logan Thomas,Ezekiel Elliott,Patriots 
Brock Purdy,Christian McCaffrey,Kyren Williams,Rashid Shaheed,Wan'Dale Robinson,Khalil Shakir,George Kittle,Trey McBride,Falcons 
Josh Allen,Christian McCaffrey,Kyren Williams,Jayden Reed,Brandin Cooks,Khalil Shakir,Tucker Kraft,Ezekiel Elliott,Patriots 
Justin Fields,Christian McCaffrey,Kyren Williams,Garrett Wilson,Demario Douglas,Darnell Mooney,David Njoku,Ezekiel Elliott,Bills 
Tommy DeVito,Christian McCaffrey,Kyren Williams,Rashee Rice,Rashid Shaheed,Darius Slayton,George Kittle,Ezekiel Elliott,Rams 
Sam Howell,Christian McCaffrey,Kyren Williams,Jayden Reed,Terry McLaurin,Wan'Dale Robinson,Tyler Higbee,Ezekiel Elliott,Cowboys 
Brock Purdy,Christian McCaffrey,Ezekiel Elliott,Deebo Samuel,Rashid Shaheed,Demario Douglas,Trey McBride,Hunter Henry,Saints 
Brock Purdy,Christian McCaffrey,Kyren Williams,Brandon Aiyuk,Jayden Reed,Marquise Brown,Tucker Kraft,Wan'Dale Robinson,Jets 
Dak Prescott,Christian McCaffrey,Kyren Williams,CeeDee Lamb,Demario Douglas,Michael Wilson,Tucker Kraft,Dawson Knox,Packers 
Brock Purdy,Christian McCaffrey,Kyren Williams,Brandon Aiyuk,Jonathan Mingo,Michael Wilson,Chig Okonkwo,Antonio Gibson,Chiefs 
Brock Purdy,Kyren Williams,Ezekiel Elliott,Deebo Samuel,Rashee Rice,Jayden Reed,Trey McBride,Tucker Kraft,Packers 
Sam Howell,Christian McCaffrey,Kyren Williams,Cooper Kupp,Curtis Samuel,Darius Slayton,Tucker Kraft,Ezekiel Elliott,Jets 
