Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Josh Allen,8200,BUF,QB,MIA,23.7,
Justin Jefferson,9600,MIN,WR,CAR,23.2,
Christian McCaffrey,9200,SF,RB,ARI,22.9,
Jalen Hurts,8000,PHI,QB,WAS,22.9,
Justin Herbert,7800,LAC,QB,LV,22.7,
Tyreek Hill,9200,MIA,WR,BUF,22.5,
Keenan Allen,7900,LAC,WR,LV,21.6,
Davante Adams,8000,LV,WR,LAC,21.5,
Stefon Diggs,8100,BUF,WR,MIA,21.3,
Tua Tagovailoa,7400,MIA,QB,BUF,21.2,
Kirk Cousins,7100,MIN,QB,CAR,20.9,
Justin Fields,6600,CHI,QB,DEN,20.2,
Ja'Marr Chase,7800,CIN,WR,TEN,19.6,
Lamar Jackson,7700,BAL,QB,CLE,19.2,
Tony Pollard,7800,DAL,RB,NE,18.8,
Joe Burrow,6500,CIN,QB,TEN,18.8,
Anthony Richardson,6700,IND,QB,LAR,18.5,
Russell Wilson,5800,DEN,QB,CHI,18.4,
CeeDee Lamb,7500,DAL,WR,NE,18.3,
Matthew Stafford,5700,LAR,QB,IND,18.1,
Brock Purdy,5900,SF,QB,ARI,17.9,
Dak Prescott,6200,DAL,QB,NE,17.7,
A.J. Brown,7700,PHI,WR,WAS,17.2,
Deshaun Watson,6000,CLE,QB,BAL,17.2,
C.J. Stroud,5600,HOU,QB,PIT,16.7,
Deebo Samuel,6900,SF,WR,ARI,16.6,
Puka Nacua,6700,LAR,WR,IND,16.6,
Chris Olave,7100,NO,WR,TB,16.5,
Josh Jacobs,7100,LV,RB,LAC,16.4,
Michael Pittman Jr.,6500,IND,WR,LAR,15.8,
Kyren Williams,6000,LAR,RB,IND,15.6,
Kenny Pickett,5100,PIT,QB,HOU,15.6,
DeVonta Smith,7500,PHI,WR,WAS,15.5,
Mike Evans,7000,TB,WR,NO,15.3,
Zack Moss,6000,IND,RB,LAR,15.0,
Derrick Henry,7000,TEN,RB,CIN,14.9,
Tee Higgins,6800,CIN,WR,TEN,14.7,
Bryce Young,5200,CAR,QB,MIN,14.7,
Baker Mayfield,5400,TB,QB,NO,14.6,
Joe Mixon,6400,CIN,RB,TEN,14.5,
Alvin Kamara,6100,NO,RB,TB,14.3,
Miles Sanders,5800,CAR,RB,MIN,14.2,
Mac Jones,5200,NE,QB,DAL,14.2,
George Pickens,5400,PIT,WR,HOU,14.2,
Jaylen Waddle,7600,MIA,WR,BUF,14.1,
Sam Howell,5000,WAS,QB,PHI,13.9,
Javonte Williams,5500,DEN,RB,CHI,13.8,
James Cook,6300,BUF,RB,MIA,13.8,
Alexander Mattison,5800,MIN,RB,CAR,13.6,
Rhamondre Stevenson,6200,NE,RB,DAL,13.6,
D'Andre Swift,5700,PHI,RB,WAS,13.6,
Amari Cooper,6100,CLE,WR,BAL,13.5,
DeAndre Hopkins,5800,TEN,WR,CIN,13.5,
Rachaad White,5600,TB,RB,NO,13.2,
Derek Carr,5500,NO,QB,TB,13.2,
Courtland Sutton,5300,DEN,WR,CHI,13.1,
Ryan Tannehill,5000,TEN,QB,CIN,13.0,
James Conner,5900,ARI,RB,SF,12.9,
Jakobi Meyers,5500,LV,WR,LAC,12.9,
Brandon Aiyuk,6200,SF,WR,ARI,12.9,
Jerry Jeudy,6600,DEN,WR,CHI,12.9,
Chris Godwin,6400,TB,WR,NO,12.8,
Raheem Mostert,6500,MIA,RB,BUF,12.6,
Joshua Dobbs,5000,ARI,QB,SF,12.6,
Zay Flowers,5600,BAL,WR,CLE,12.5,
Mark Andrews,5400,BAL,TE,CLE,12.4,
T.J. Hockenson,6500,MIN,TE,CAR,12.4,
Joshua Kelley,5300,LAC,RB,LV,12.4,
Michael Thomas,5200,NO,WR,TB,12.3,
Terry McLaurin,5300,WAS,WR,PHI,12.2,
Jerome Ford,5400,CLE,RB,BAL,12.1,
Tank Dell,4600,HOU,WR,PIT,12.0,
Najee Harris,5500,PIT,RB,HOU,11.9,
Nico Collins,5100,HOU,WR,PIT,11.9,
Gabe Davis,5900,BUF,WR,MIA,11.9,
DJ Moore,5600,CHI,WR,DEN,11.8,
Adam Thielen,4500,CAR,WR,MIN,11.8,
Brian Robinson Jr.,5600,WAS,RB,PHI,11.6,
De'Von Achane,5700,MIA,RB,BUF,11.4,
Elijah Moore,4700,CLE,WR,BAL,11.3,
Tutu Atwell,5500,LAR,WR,IND,11.2,
George Kittle,5100,SF,TE,ARI,11.0,
Joshua Palmer,4000,LAC,WR,LV,11.0,
Jordan Addison,5700,MIN,WR,CAR,10.9,
Aidan O'Connell,4000,LV,QB,LAC,10.9,
Dameon Pierce,5100,HOU,RB,PIT,10.6,
Dallas Goedert,4400,PHI,TE,WAS,10.5,
Brandin Cooks,4900,DAL,WR,NE,10.4,
Marquise Brown,5000,ARI,WR,SF,10.4,
Jaylen Warren,5000,PIT,RB,HOU,10.2,
Robert Woods,4300,HOU,WR,PIT,10.0,
Tyler Higbee,4200,LAR,TE,IND,10.0,
Khalil Herbert,4700,CHI,RB,DEN,9.9,
Tyler Boyd,4100,CIN,WR,TEN,9.5,
Pat Freiermuth,3400,PIT,TE,HOU,9.5,
Jahan Dotson,4800,WAS,WR,PHI,9.4,
Kendrick Bourne,5000,NE,WR,DAL,9.4,
Cowboys ,4000,DAL,DST,NE,9.2,
Josh Downs,3500,IND,WR,LAR,9.1,
49ers ,4700,SF,DST,ARI,9.0,
Jake Ferguson,3500,DAL,TE,NE,8.9,
DJ Chark Jr.,4000,CAR,WR,MIN,8.9,
Rashid Shaheed,4000,NO,WR,TB,8.7,
Samaje Perine,4700,DEN,RB,CHI,8.7,
Hunter Henry,4300,NE,TE,DAL,8.5,
Eagles ,4100,PHI,DST,WAS,8.5,
Chuba Hubbard,4800,CAR,RB,MIN,8.4,
Gerald Everett,3600,LAC,TE,LV,8.4,
Roschon Johnson,4900,CHI,RB,DEN,8.2,
Kenneth Gainwell,5200,PHI,RB,WAS,8.1,
K.J. Osborn,4200,MIN,WR,CAR,8.0,
Bengals ,3800,CIN,DST,TEN,8.0,
Zach Ertz,3200,ARI,TE,SF,8.0,
Michael Gallup,3700,DAL,WR,NE,7.9,
Quentin Johnston,3700,LAC,WR,LV,7.9,
Curtis Samuel,3500,WAS,WR,PHI,7.9,
Nelson Agholor,3400,BAL,WR,CLE,7.8,
Dawson Knox,3100,BUF,TE,MIA,7.8,
Steelers ,3900,PIT,DST,HOU,7.7,
Buccaneers ,3300,TB,DST,NO,7.7,
Van Jefferson,4000,LAR,WR,IND,7.7,
Chargers ,3100,LAC,DST,LV,7.5,
David Njoku,3800,CLE,TE,BAL,7.4,
Darnell Mooney,4100,CHI,WR,DEN,7.3,
Gus Edwards,5200,BAL,RB,CLE,7.3,
Allen Robinson II,3600,PIT,WR,HOU,7.3,
Calvin Austin III,3300,PIT,WR,HOU,7.3,
Dalton Kincaid,3200,BUF,TE,MIA,7.3,
Jonathan Mingo,3400,CAR,WR,MIN,7.3,
Alec Pierce,3400,IND,WR,LAR,7.3,
Rondale Moore,3300,ARI,WR,SF,7.2,
Tyjae Spears,4700,TEN,RB,CIN,7.2,
Cole Kmet,4000,CHI,TE,DEN,7.2,
Nick Westbrook-Ikhine,3300,TEN,WR,CIN,7.2,
Kylen Granson,3000,IND,TE,LAR,7.1,
JuJu Smith-Schuster,3900,NE,WR,DAL,7.0,
Kareem Hunt,4700,CLE,RB,BAL,6.9,
Ezekiel Elliott,5100,NE,RB,DAL,6.8,
Juwan Johnson,3300,NO,TE,TB,6.8,
Logan Thomas,3100,WAS,TE,PHI,6.8,
Marvin Mims Jr.,3900,DEN,WR,CHI,6.7,
Elijah Mitchell,4600,SF,RB,ARI,6.6,
Michael Wilson,3500,ARI,WR,SF,6.6,
DeVante Parker,4000,NE,WR,DAL,6.6,
Hayden Hurst,3300,CAR,TE,MIN,6.5,
Saints ,3600,NO,DST,TB,6.5,
Brian Hoyer,4900,LV,QB,LAC,6.5,
Chig Okonkwo,3100,TEN,TE,CIN,6.5,
Cade Otton,3100,TB,TE,NO,6.4,
Donovan Peoples-Jones,3800,CLE,WR,BAL,6.4,
Jameis Winston,5300,NO,QB,TB,6.4,
Durham Smythe,3000,MIA,TE,BUF,6.4,
Antonio Gibson,4600,WAS,RB,PHI,6.3,
Dalton Schultz,3200,HOU,TE,PIT,6.3,
Patriots ,3000,NE,DST,DAL,6.3,
Chase Claypool,3200,CHI,WR,DEN,6.3,
Taysom Hill,4500,NO,TE,TB,6.2,
Chris Moore,3000,TEN,WR,CIN,6.2,
Devin Singletary,4400,HOU,RB,PIT,6.1,
Justice Hill,4800,BAL,RB,CLE,5.8,
Ravens ,3200,BAL,DST,CLE,5.8,
Adam Trautman,2800,DEN,TE,CHI,5.7,
Broncos ,3700,DEN,DST,CHI,5.6,
Browns ,2800,CLE,DST,BAL,5.6,
Colts ,2900,IND,DST,LAR,5.6,
Vikings ,3500,MIN,DST,CAR,5.5,
Damien Harris,4500,BUF,RB,MIA,5.5,
Texans ,2900,HOU,DST,PIT,5.5,
Bills ,2700,BUF,DST,MIA,5.5,
Tanner Hudson,2500,CIN,TE,TEN,5.5,
Panthers ,2500,CAR,DST,MIN,5.4,
Donald Parham Jr.,2800,LAC,TE,LV,5.3,
Cam Akers,4900,MIN,RB,CAR,5.2,
Titans ,3400,TEN,DST,CIN,5.2,
Terrace Marshall Jr.,3500,CAR,WR,MIN,5.2,
Latavius Murray,4700,BUF,RB,MIA,5.2,
Braxton Berrios,3600,MIA,WR,BUF,5.1,
Commanders ,2400,WAS,DST,PHI,5.1,
Rams ,3000,LAR,DST,IND,4.9,
Dolphins ,2600,MIA,DST,BUF,4.9,
Deonte Harty,3100,BUF,WR,MIA,4.8,
Raiders ,2300,LV,DST,LAC,4.7,
Bears ,2700,CHI,DST,DEN,4.6,
Trey Palmer,3700,TB,WR,NO,4.6,
Olamide Zaccheaus,3300,PHI,WR,WAS,4.4,
Rico Dowdle,4700,DAL,RB,NE,4.4,
Deven Thompkins,3300,TB,WR,NO,4.3,
Devin Duvernay,3000,BAL,WR,CLE,4.3,
Mike Gesicki,2800,NE,TE,DAL,4.2,
Austin Hooper,2500,LV,TE,LAC,4.0,
Brandon Johnson,3200,DEN,WR,CHI,4.0,
Isaiah Spiller,4000,LAC,RB,LV,3.9,
Cardinals ,2200,ARI,DST,SF,3.9,
Hunter Renfrow,3700,LV,WR,LAC,3.9,
Derius Davis,3000,LAC,WR,LV,3.7,
Ameer Abdullah,4400,LV,RB,LAC,3.5,
Kendre Miller,4400,NO,RB,TB,3.5,
Cole Turner,2700,WAS,TE,PHI,3.5,
Demario Douglas,3000,NE,WR,DAL,3.4,
Ronnie Bell,3400,SF,WR,ARI,3.4,
Sean Tucker,4700,TB,RB,NO,3.2,
Trey McBride,2600,ARI,TE,SF,3.2,
Trayveon Williams,4700,CIN,RB,TEN,3.2,
John Bates,2800,WAS,TE,PHI,3.2,
Josh Oliver,2500,MIN,TE,CAR,3.1,
Trey Sermon,4000,IND,RB,LAR,3.1,
Isaiah Likely,2700,BAL,TE,CLE,2.9,
Laviska Shenault Jr.,3000,CAR,WR,MIN,2.8,
Brevin Jordan,2500,HOU,TE,PIT,2.6,
Cedrick Wilson Jr.,3000,MIA,WR,BUF,2.6,
Mitchell Wilcox,2500,CIN,TE,TEN,2.6,
Ray-Ray McCloud III,3000,SF,WR,ARI,2.5,
Jauan Jennings,3800,SF,WR,ARI,2.5,
Dyami Brown,3000,WAS,WR,PHI,2.5,
Ronnie Rivers,4500,LAR,RB,IND,2.5,
Keaontay Ingram,4600,ARI,RB,SF,2.4,
Deuce Vaughn,4200,DAL,RB,NE,2.4,
Ben Skowronek,3000,LAR,WR,IND,2.4,
Harrison Bryant,2500,CLE,TE,BAL,2.3,
Michael Mayer,2500,LV,TE,LAC,2.3,
Melvin Gordon III,4900,BAL,RB,CLE,2.1,
Kyle Juszczyk,4000,SF,RB,ARI,2.1,
Raheem Blackshear,4000,CAR,RB,MIN,2.1,
Jaleel McLaughlin,4000,DEN,RB,CHI,2.1,
Ty Chandler,4400,MIN,RB,CAR,2.0,
Khalil Shakir,3400,BUF,WR,MIA,2.0,
John Metchie III,3100,HOU,WR,PIT,2.0,
Rashaad Penny,4000,PHI,RB,WAS,2.0,
Alec Ingold,4000,MIA,RB,BUF,1.9,
Connor Heyward,2500,PIT,TE,HOU,1.9,
Foster Moreau,2500,NO,TE,TB,1.9,
Trent Sherfield,3000,BUF,WR,MIA,1.8,
Chris Evans,4400,CIN,RB,TEN,1.8,
Mo Alie-Cox,2500,IND,TE,LAR,1.8,
Peyton Hendershot,2500,DAL,TE,NE,1.7,
Jordan Akins,2500,CLE,TE,BAL,1.7,
Lil'Jordan Humphrey,3000,DEN,WR,CHI,1.7,
Zamir White,4900,LV,RB,LAC,1.6,
Marquise Goodwin,3000,CLE,WR,BAL,1.6,
Drew Sample,2500,CIN,TE,TEN,1.6,
Tyler Scott,3000,CHI,WR,DEN,1.6,
DeAndre Carter,3200,LV,WR,LAC,1.6,
Luke Schoonmaker,2500,DAL,TE,NE,1.6,
Salvon Ahmed,4600,MIA,RB,BUF,1.5,
Tony Jones Jr.,4700,NO,RB,TB,1.5,
Pierre Strong Jr.,4500,CLE,RB,BAL,1.5,
Isaiah McKenzie,3000,IND,WR,LAR,1.5,
Boston Scott,4800,PHI,RB,WAS,1.5,
Chase Brown,4000,CIN,RB,TEN,1.4,
Emari Demercado,4000,ARI,RB,SF,1.4,
Mason Kinsey,3000,TEN,WR,CIN,1.3,
Jalen Tolbert,3100,DAL,WR,NE,1.3,
Will Mallory,2500,IND,TE,LAR,1.3,
Elijah Dotson,4400,LAC,RB,LV,1.3,
Pharaoh Brown,2500,NE,TE,DAL,1.2,
Robert Tonyan,2500,CHI,TE,DEN,1.2,
Jordan Mason,4000,SF,RB,ARI,1.2,
Ko Kieft,2500,TB,TE,NO,1.2,
David Bell,3000,CLE,WR,BAL,1.2,
Mike Boone,4000,HOU,RB,PIT,1.2,
D'Onta Foreman,4800,CHI,RB,DEN,1.1,
Brycen Hopkins,2500,LAR,TE,IND,1.1,
Kenyan Drake,4400,BAL,RB,CLE,1.0,
Rakim Jarrett,3000,TB,WR,NO,1.0,
Teagan Quitoriano,2500,HOU,TE,PIT,1.0,
Tommy Tremble,2500,CAR,TE,MIN,1.0,
Zach Pascal,3000,ARI,WR,SF,1.0,
Julian Hill,2500,MIA,TE,BUF,1.0,
Travis Homer,4000,CHI,RB,DEN,1.0,
Trevon Wesco,2500,TEN,TE,CIN,0.9,
Miles Boykin,3000,PIT,WR,HOU,0.9,
Charlie Woerner,2500,SF,TE,ARI,0.9,
Demarcus Robinson,3000,LAR,WR,IND,0.9,
Jack Stoll,2600,PHI,TE,WAS,0.9,
Tre Tucker,3000,LV,WR,LAC,0.9,
Brandon Bolden,4000,LV,RB,LAC,0.8,
Jake Funk,4100,IND,RB,LAR,0.8,
Ke'Shawn Vaughn,4500,TB,RB,NO,0.8,
