QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
30330591,30330648,30330682,30330870,30330876,30330938,30331270,30330952,30331472,,1. Locate the player you want to select in the list below ,,,,,,,,
30330588,30330668,30330682,30330870,30330876,30330902,30331270,30331294,30331468,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
30330582,30330682,30330684,30330878,30330902,30330938,30331244,30331270,30331472,,3. Paste the ID into the roster position desired ,,,,,,,,
30330589,30330682,30330684,30330870,30330876,30330894,30331462,30330902,30331483,,4. You must include an ID for each player, you cannot use just the player's name ,,,,,,,
30330586,30330668,30330682,30330870,30330876,30330896,30331272,30330952,30331483,,5. You can create up to 500 lineups per file ,,,,,,,,
30330586,30330682,30330684,30330870,30330894,30330896,30331270,30330910,30331468,,,,,,,,,,
30330582,30330668,30330682,30330870,30330902,30330952,30331248,30330956,30331472,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
30330582,30330648,30330682,30330876,30330902,30330910,30331248,30331270,30331483,,WR,Cooper Kupp (30330870),Cooper Kupp,30330870,WR/FLEX,9500,PIT@LAR 10/22/2023 04:05PM ET,LAR,26.8
30330584,30330682,30330684,30330870,30330876,30330906,30331268,30330938,30331477,,WR,Stefon Diggs (30330872),Stefon Diggs,30330872,WR/FLEX,8900,BUF@NE 10/22/2023 01:00PM ET,BUF,25.83
30330579,30330668,30330682,30330874,30330938,30330952,30331244,30331270,30331477,,RB,Austin Ekeler (30330644),Austin Ekeler,30330644,RB/FLEX,8600,LAC@KC 10/22/2023 04:25PM ET,LAC,19.8
30330588,30330656,30330682,30330870,30330912,30330938,30331244,30331270,30331483,,WR,Keenan Allen (30330874),Keenan Allen,30330874,WR/FLEX,8600,LAC@KC 10/22/2023 04:25PM ET,LAC,26.09
30330591,30330682,30330684,30330870,30330908,30330910,30331244,30330952,30331483,,QB,Patrick Mahomes (30330579),Patrick Mahomes,30330579,QB,8300,LAC@KC 10/22/2023 04:25PM ET,KC,21.2
30330584,30330668,30330682,30330870,30330894,30330906,30331270,30330908,30331479,,WR,Davante Adams (30330876),Davante Adams,30330876,WR/FLEX,8200,LV@CHI 10/22/2023 01:00PM ET,LV,17.85
