QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
30500488,30500575,30500591,30500867,30500897,30500903,30501373,30501401,30501653,,1. Locate the player you want to select in the list below ,,,,,,,,
30500487,30500575,30500591,30500867,30500909,30500913,30501401,30500933,30501659,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
30500506,30500591,30500589,30500861,30500867,30500913,30501363,30501401,30501653,,3. Paste the ID into the roster position desired ,,,,,,,,
30500493,30500575,30500591,30500867,30500881,30500905,30501363,30501401,30501652,,4. You must include an ID for each player, you cannot use just the player's name ,,,,,,,
30500487,30500591,30500589,30500867,30500865,30500935,30501401,30501381,30501651,,5. You can create up to 500 lineups per file ,,,,,,,,
30500487,30500591,30500587,30500867,30500903,30500909,30501363,30501381,30501653,,,,,,,,,,
30500488,30500591,30500589,30500903,30500909,30500933,30501351,30501401,30501651,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
30500492,30500575,30500591,30500865,30500881,30500909,30501401,30500935,30501653,,WR,Tyreek Hill (30500861),Tyreek Hill,30500861,WR/FLEX,9500,NE@MIA 10/29/2023 01:00PM ET,MIA,28.37
30500488,30500591,30500587,30500865,30500881,30500903,30501363,30501401,30501659,,RB,Christian McCaffrey (30500565),Christian McCaffrey,30500565,RB/FLEX,9200,CIN@SF 10/29/2023 04:25PM ET,SF,25.94
30500494,30500591,30500589,30500863,30500867,30500881,30501401,30500983,30501659,,WR,Cooper Kupp (30500863),Cooper Kupp,30500863,WR/FLEX,9000,LAR@DAL 10/29/2023 01:00PM ET,LAR,20.17
30500506,30500575,30500591,30500867,30500881,30500903,30501381,30500933,30501651,,QB,Patrick Mahomes (30500486),Patrick Mahomes,30500486,QB,8400,KC@DEN 10/29/2023 04:25PM ET,KC,23.58
30500487,30500591,30500587,30500867,30500881,30500913,30501373,30500983,30501651,,TE,Travis Kelce (30501351),Travis Kelce,30501351,TE/FLEX,8400,KC@DEN 10/29/2023 04:25PM ET,KC,21.75
30500506,30500575,30500591,30500867,30500865,30500913,30501367,30500983,30501652,,QB,Jalen Hurts (30500487),Jalen Hurts,30500487,QB,8200,PHI@WAS 10/29/2023 01:00PM ET,PHI,24.03
30500489,30500575,30500591,30500861,30500903,30500935,30501401,30500983,30501651,,QB,Lamar Jackson (30500488),Lamar Jackson,30500488,QB,8100,BAL@ARI 10/29/2023 04:25PM ET,BAL,22.96
30500487,30500565,30500591,30500867,30500903,30500949,30501401,30501019,30501652,,WR,Ja'Marr Chase (30500865),Ja'Marr Chase,30500865,WR/FLEX,8100,CIN@SF 10/29/2023 04:25PM ET,CIN,21.63
