Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Tyreek Hill,8700,MIA,WR,JAX,23.2,
Josh Allen,8000,BUF,QB,ARI,22.8,
C.J. Stroud,7500,HOU,QB,IND,21.0,
Anthony Richardson,6300,IND,QB,HOU,20.6,
CeeDee Lamb,8900,DAL,WR,CLE,20.2,
Tua Tagovailoa,7000,MIA,QB,JAX,19.4,
Justin Jefferson,8400,MIN,WR,NYG,19.4,
Joe Burrow,6500,CIN,QB,NE,19.3,
Caleb Williams,5900,CHI,QB,TEN,19.2,
Trevor Lawrence,6200,JAX,QB,MIA,18.7,
Bijan Robinson,7700,ATL,RB,PIT,18.5,
Jayden Daniels,5700,WAS,QB,TB,17.9,
Kyler Murray,6400,ARI,QB,BUF,17.8,
Baker Mayfield,5600,TB,QB,WAS,17.8,
Geno Smith,5500,SEA,QB,DEN,17.6,
Justin Herbert,5800,LAC,QB,LV,17.4,
Alvin Kamara,6700,NO,RB,CAR,17.3,
Dak Prescott,7100,DAL,QB,CLE,17.2,
Jonathan Taylor,7800,IND,RB,HOU,17.1,
Kirk Cousins,6100,ATL,QB,PIT,16.9,
Deshaun Watson,6000,CLE,QB,DAL,16.9,
Will Levis,5300,TEN,QB,CHI,16.3,
Derek Carr,5300,NO,QB,CAR,15.9,
Daniel Jones,5400,NYG,QB,MIN,15.9,
Rachaad White,6300,TB,RB,WAS,15.9,
Justin Fields,5000,PIT,QB,ATL,15.7,
Sam Darnold,5200,MIN,QB,NYG,15.6,
Mike Evans,7300,TB,WR,WAS,15.6,
Kenneth Walker III,6100,SEA,RB,DEN,15.3,
James Cook,6900,BUF,RB,ARI,15.2,
De'Von Achane,6800,MIA,RB,JAX,15.2,
Chris Olave,6600,NO,WR,CAR,14.9,
Drake London,6000,ATL,WR,PIT,14.8,
Nico Collins,7000,HOU,WR,IND,14.8,
Davante Adams,7600,LV,WR,LAC,14.7,
DK Metcalf,6200,SEA,WR,DEN,14.7,
Michael Pittman Jr.,6800,IND,WR,HOU,14.6,
Jaylen Waddle,6300,MIA,WR,JAX,14.6,
Bo Nix,5000,DEN,QB,SEA,14.6,
Ja'Marr Chase,7800,CIN,WR,NE,14.5,
Stefon Diggs,6700,HOU,WR,IND,14.5,
Joe Mixon,6600,HOU,RB,IND,14.2,
Jacoby Brissett,5100,NE,QB,CIN,14.1,
Chris Godwin,5800,TB,WR,WAS,14.1,
Malik Nabers,5900,NYG,WR,MIN,14.0,
Marvin Harrison Jr.,7200,ARI,WR,BUF,13.8,
Amari Cooper,6400,CLE,WR,DAL,13.7,
Gardner Minshew II,5300,LV,QB,LAC,13.7,
Christian Kirk,5500,JAX,WR,MIA,13.7,
Bryce Young,5200,CAR,QB,NO,13.7,
Travis Etienne Jr.,7200,JAX,RB,MIA,13.5,
DJ Moore,6500,CHI,WR,TEN,13.4,
James Conner,6200,ARI,RB,BUF,13.3,
Dalton Kincaid,5800,BUF,TE,ARI,13.3,
Tank Dell,5500,HOU,WR,IND,13.3,
Rhamondre Stevenson,5900,NE,RB,CIN,12.9,
Terry McLaurin,5600,WAS,WR,TB,12.9,
Jerome Ford,5500,CLE,RB,DAL,12.8,
Zamir White,5700,LV,RB,LAC,12.8,
Evan Engram,5500,JAX,TE,MIA,12.8,
Joshua Palmer,5200,LAC,WR,LV,12.7,
Chuba Hubbard,5300,CAR,RB,NO,12.6,
Keenan Allen,6900,CHI,WR,TEN,12.5,
Aaron Jones,6500,MIN,RB,NYG,12.5,
George Pickens,5700,PIT,WR,ATL,12.4,
Javonte Williams,5500,DEN,RB,SEA,12.3,
Jordan Addison,5300,MIN,WR,NYG,11.9,
Diontae Johnson,5300,CAR,WR,NO,11.7,
Trey McBride,6100,ARI,TE,BUF,11.6,
Jaxon Smith-Njigba,4900,SEA,WR,DEN,11.6,
Calvin Ridley,5800,TEN,WR,CHI,11.5,
Devin Singletary,5700,NYG,RB,MIN,11.5,
Raheem Mostert,6400,MIA,RB,JAX,11.4,
Courtland Sutton,5600,DEN,WR,SEA,11.4,
Kyle Pitts,4600,ATL,TE,PIT,11.2,
Najee Harris,5600,PIT,RB,ATL,11.1,
Tyler Lockett,5400,SEA,WR,DEN,11.1,
David Njoku,5600,CLE,TE,DAL,11.0,
Brian Thomas Jr.,4700,JAX,WR,MIA,11.0,
