QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
36359244,36359322,36359354,36359592,36359610,36359770,36360098,36360130,36360383,,1. Locate the player you want to select in the list below ,,,,,,,,
36359229,36359322,36359328,36359610,36359676,36359752,36360130,36359354,36360384,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
36359244,36359322,36359314,36359610,36359670,36359750,36360130,36359328,36360395,,3. Paste the ID into the roster position desired ,,,,,,,,
36359238,36359322,36359328,36359610,36359656,36359762,36360098,36359354,36360395,,4. You must include an ID for each player, you cannot use just the player's name ,,,,,,,
36359244,36359322,36359328,36359664,36359676,36359670,36360098,36359354,36360385,,5. You can create up to 500 lineups per file ,,,,,,,,
36359247,36359322,36359314,36359610,36359656,36359676,36360098,36360130,36360385,,,,,,,,,,
36359244,36359322,36359328,36359592,36359656,36359750,36360166,36359354,36360384,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
36359244,36359322,36359314,36359592,36359752,36359722,36360130,36359344,36360384,,WR,Ja'Marr Chase (36359592),Ja'Marr Chase,36359592,WR/FLEX,8500,PHI@CIN 10/27/2024 01:00PM ET,CIN,20.59
36359247,36359322,36359328,36359592,36359676,36359762,36360130,36359344,36360383,,WR,Amon-Ra St. Brown (36359594),Amon-Ra St. Brown,36359594,WR/FLEX,8400,TEN@DET 10/27/2024 01:00PM ET,DET,18.9
36359247,36359322,36359328,36359592,36359610,36359752,36360098,36360144,36360388,,RB,Saquon Barkley (36359308),Saquon Barkley,36359308,RB/FLEX,8300,PHI@CIN 10/27/2024 01:00PM ET,PHI,23.52
36359229,36359322,36359328,36359592,36359664,36359750,36360098,36360130,36360404,,WR,A.J. Brown (36359596),A.J. Brown,36359596,WR/FLEX,8200,PHI@CIN 10/27/2024 01:00PM ET,PHI,24.13
36359244,36359322,36359328,36359610,36359722,36359790,36360092,36359354,36360381,,RB,Derrick Henry (36359310),Derrick Henry,36359310,RB/FLEX,8100,BAL@CLE 10/27/2024 01:00PM ET,BAL,24.64
36359238,36359322,36359354,36359592,36359656,36359752,36360130,36359350,36360385,,QB,Lamar Jackson (36359224),Lamar Jackson,36359224,QB,8000,BAL@CLE 10/27/2024 01:00PM ET,BAL,27.56
36359244,36359322,36359314,36359618,36359752,36359770,36360098,36359328,36360381,,WR,Nico Collins (36359598),Nico Collins,36359598,WR/FLEX,7900,IND@HOU 10/27/2024 01:00PM ET,HOU,23.14
36359244,36359322,36359314,36359656,36359670,36359762,36360098,36359344,36360383,,QB,Josh Allen (36359225),Josh Allen,36359225,QB,7800,BUF@SEA 10/27/2024 04:05PM ET,BUF,20.6
36359244,36359322,36359328,36359610,36359762,36359770,36360094,36359344,36360384,,RB,Kenneth Walker III (36359312),Kenneth Walker III,36359312,RB/FLEX,7800,BUF@SEA 10/27/2024 04:05PM ET,SEA,22.86
36359244,36359322,36359328,36359610,36359606,36359752,36360166,36359350,36360383,,RB,Joe Mixon (36359314),Joe Mixon,36359314,RB/FLEX,7700,IND@HOU 10/27/2024 01:00PM ET,HOU,24.35
36359247,36359322,36359354,36359592,36359676,36359750,36360098,36359350,36360395,,WR,Chris Godwin (36359600),Chris Godwin,36359600,WR/FLEX,7600,ATL@TB 10/27/2024 01:00PM ET,TB,20.54
36359237,36359322,36359314,36359610,36359624,36359762,36360130,36359354,36360402,,RB,Alvin Kamara (36359316),Alvin Kamara,36359316,RB/FLEX,7600,NO@LAC 10/27/2024 04:05PM ET,NO,21.14
36359243,36359322,36359328,36359610,36359656,36359664,36360100,36360130,36360383,,RB,Jonathan Taylor (36359318),Jonathan Taylor,36359318,RB/FLEX,7500,IND@HOU 10/27/2024 01:00PM ET,IND,19.65
36359229,36359322,36359314,36359610,36359752,36359750,36360098,36359344,36360403,,WR,Stefon Diggs (36359602),Stefon Diggs,36359602,WR/FLEX,7500,IND@HOU 10/27/2024 01:00PM ET,HOU,15.6
36359236,36359322,36359328,36359610,36359606,36359790,36360098,36360130,36360382,,QB,Jalen Hurts (36359226),Jalen Hurts,36359226,QB,7500,PHI@CIN 10/27/2024 01:00PM ET,PHI,20.35
36359237,36359322,36359328,36359592,36359650,36359790,36360130,36359354,36360395,,RB,Jahmyr Gibbs (36359320),Jahmyr Gibbs,36359320,RB/FLEX,7400,TEN@DET 10/27/2024 01:00PM ET,DET,19.7
36359244,36359322,36359328,36359592,36359762,36359722,36360098,36359350,36360393,,RB,Breece Hall (36359322),Breece Hall,36359322,RB/FLEX,7300,NYJ@NE 10/27/2024 01:00PM ET,NYJ,18.07
36359243,36359322,36359354,36359592,36359606,36359762,36360100,36360130,36360384,,WR,Mike Evans (36359604),Mike Evans,36359604,WR/FLEX,7300,ATL@TB 10/27/2024 01:00PM ET,TB,13.64
,,,,,,,,,,QB,Jayden Daniels (36359227),Jayden Daniels,36359227,QB,7300,CHI@WAS 10/27/2024 04:25PM ET,WAS,20.23
,,,,,,,,,,RB,Bijan Robinson (36359324),Bijan Robinson,36359324,RB/FLEX,7200,ATL@TB 10/27/2024 01:00PM ET,ATL,17.06
,,,,,,,,,,WR,Drake London (36359606),Drake London,36359606,WR/FLEX,7200,ATL@TB 10/27/2024 01:00PM ET,ATL,18.01
,,,,,,,,,,QB,Jordan Love (36359228),Jordan Love,36359228,QB,7100,GB@JAX 10/27/2024 01:00PM ET,GB,22.79
,,,,,,,,,,WR,Davante Adams (36359608),Davante Adams,36359608,WR/FLEX,7100,NYJ@NE 10/27/2024 01:00PM ET,NYJ,13.48
,,,,,,,,,,WR,Tyreek Hill (36359610),Tyreek Hill,36359610,WR/FLEX,7000,ARI@MIA 10/27/2024 01:00PM ET,MIA,11
,,,,,,,,,,RB,James Cook (36359326),James Cook,36359326,RB/FLEX,7000,BUF@SEA 10/27/2024 04:05PM ET,BUF,15.57
,,,,,,,,,,QB,Joe Burrow (36359229),Joe Burrow,36359229,QB,7000,PHI@CIN 10/27/2024 01:00PM ET,CIN,20.64
,,,,,,,,,,QB,C.J. Stroud (36359230),C.J. Stroud,36359230,QB,6900,IND@HOU 10/27/2024 01:00PM ET,HOU,16.7
,,,,,,,,,,WR,Terry McLaurin (36359612),Terry McLaurin,36359612,WR/FLEX,6900,CHI@WAS 10/27/2024 04:25PM ET,WAS,15.66
,,,,,,,,,,RB,J.K. Dobbins (36359328),J.K. Dobbins,36359328,RB/FLEX,6900,NO@LAC 10/27/2024 04:05PM ET,LAC,15.73
,,,,,,,,,,WR,Zay Flowers (36359614),Zay Flowers,36359614,WR/FLEX,6800,BAL@CLE 10/27/2024 01:00PM ET,BAL,13.13
,,,,,,,,,,WR,Marvin Harrison Jr. (36359616),Marvin Harrison Jr.,36359616,WR/FLEX,6800,ARI@MIA 10/27/2024 01:00PM ET,ARI,11
,,,,,,,,,,QB,Patrick Mahomes (36359231),Patrick Mahomes,36359231,QB,6800,KC@LV 10/27/2024 04:25PM ET,KC,15.66
,,,,,,,,,,RB,Isiah Pacheco (36359330),Isiah Pacheco,36359330,RB/FLEX,6800,KC@LV 10/27/2024 04:25PM ET,KC,15.95
,,,,,,,,,,WR,Jayden Reed (36359620),Jayden Reed,36359620,WR/FLEX,6700,GB@JAX 10/27/2024 01:00PM ET,GB,16.46
,,,,,,,,,,WR,Garrett Wilson (36359618),Garrett Wilson,36359618,WR/FLEX,6700,NYJ@NE 10/27/2024 01:00PM ET,NYJ,16.79
,,,,,,,,,,QB,Baker Mayfield (36359232),Baker Mayfield,36359232,QB,6700,ATL@TB 10/27/2024 01:00PM ET,TB,25.45
,,,,,,,,,,RB,Chuba Hubbard (36359332),Chuba Hubbard,36359332,RB/FLEX,6700,CAR@DEN 10/27/2024 04:25PM ET,CAR,16.29
,,,,,,,,,,QB,Jared Goff (36359233),Jared Goff,36359233,QB,6600,TEN@DET 10/27/2024 01:00PM ET,DET,19.3
,,,,,,,,,,RB,Josh Jacobs (36359334),Josh Jacobs,36359334,RB/FLEX,6600,GB@JAX 10/27/2024 01:00PM ET,GB,13.67
