Player_Name,Salary,Team,Pos,Opp,Proj_FP
C.J. Prosise,200.00,HOU,RB,CLE,1.72
Mike Davis,4000.00,CAR,RB,TBB,18.79
Austin Walter,200.00,SFO,RB,NOS,0.82
Josh Allen,7500.00,BUF,QB,ARI,26.94
Derek Carr,5400.00,LVR,QB,DEN,19.4
Carson Wentz,5900.00,PHI,QB,NYG,20.54
Daniel Jones,5200.00,NYG,QB,PHI,17.9
Drew Lock,5500.00,DEN,QB,LVR,18.85
Kyler Murray,8000.00,ARI,QB,BUF,27.05
Tua Tagovailoa,5600.00,MIA,QB,LAC,18.4
Tom Brady,6300.00,TBB,QB,CAR,20.7
Matthew Stafford,5800.00,DET,QB,WAS,18.98
Jared Goff,6500.00,LAR,QB,SEA,21.12
Duke Johnson,5000.00,HOU,RB,CLE,16.1
Jakeem Grant,3000.00,MIA,WR,LAC,9.64
Alex Smith,5200.00,WAS,QB,DET,16.68
Justin Herbert,6600.00,LAC,QB,MIA,21.07
Deshaun Watson,6900.00,HOU,QB,CLE,21.94
Ben Roethlisberger,6200.00,PIT,QB,CIN,19.42
New Orleans Saints,3000.00,NOS,DST,SFO,9.35
Los Angeles Rams,2200.00,LAR,DST,SEA,6.8
Drew Brees,6400.00,NOS,QB,SFO,19.74
Teddy Bridgewater,6100.00,CAR,QB,TBB,18.61
Aaron Jones,7100.00,GBP,RB,JAC,21.52
Russell Wilson,7700.00,SEA,QB,LAR,23.36
Nick Mullens,5300.00,SFO,QB,NOS,15.81
Joe Burrow,5700.00,CIN,QB,PIT,17.01
Baker Mayfield,6000.00,CLE,QB,HOU,17.84
DeVante Parker,5000.00,MIA,WR,LAC,14.8
Aaron Rodgers,7900.00,GBP,QB,JAC,23.33
Tyler Lockett,6500.00,SEA,WR,LAR,19.07
Jake Luton,5400.00,JAC,QB,GBP,15.83
Keelan Cole,3400.00,JAC,WR,GBP,9.76
Stefon Diggs,7500.00,BUF,WR,ARI,21.45
D.J. Moore,5100.00,CAR,WR,TBB,14.58
Evan Engram,4500.00,NYG,TE,PHI,12.78
Robby Anderson,6100.00,CAR,WR,TBB,17.32
D'Andre Swift,5100.00,DET,RB,WAS,14.37
Dallas Goedert,4200.00,PHI,TE,NYG,11.84
Allen Lazard,4000.00,GBP,WR,JAC,11.22
Miles Sanders,6400.00,PHI,RB,NYG,17.95
Diontae Johnson,5200.00,PIT,WR,CIN,14.41
Jacob Hollister,2600.00,SEA,TE,LAR,7.19
Detroit Lions,2600.00,DET,DST,WAS,7.14
Hunter Henry,4100.00,LAC,TE,MIA,11.26
Keenan Allen,7100.00,LAC,WR,MIA,19.48
Alvin Kamara,8200.00,NOS,RB,SFO,22.31
Josh Reynolds,3500.00,LAR,WR,SEA,9.51
