QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
15751352,15751496,15751464,15751706,15751658,15751644,15751962,15751412,15752135,,1. Locate the player you want to select in the list below ,,,,,,,,
15751349,15751496,15751412,15751800,15751648,15751640,15751956,15751424,15752149,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
15751355,15751496,15751412,15751702,15751670,15751650,15751964,15751410,15752151,,3. Paste the ID into the roster position desired ,,,,,,,,
15751361,15751496,15751412,15751700,15751652,15751638,15751950,15751736,15752136,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
15751356,15751496,15751412,15751742,15751642,15751672,15751946,15751422,15752142,,5. You can create up to 500 lineups per file ,,,,,,,,
15751352,15751496,15751460,15751646,15751696,15751656,15751968,15751420,15752132,,,,,,,,,,
15751353,15751496,15751412,15751674,15751668,15751654,15751980,15751442,15752130,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
15751365,15751496,15751412,15751688,15751680,15751676,15751948,15751414,15752131,,WR,Davante Adams (15751638),Davante Adams,15751638,WR/FLEX,9000,JAX@GB 11/15/2020 01:00PM ET,GB,29.58
15751350,15751496,15751440,15751638,15751716,15751708,15751958,15751662,15752137,,RB,Christian McCaffrey (15751408),Christian McCaffrey,15751408,RB/FLEX,9000,TB@CAR 11/15/2020 01:00PM ET,CAR,30.13
15751351,15751496,15751430,15751658,15751686,15751666,15751960,15751416,15752138,,RB,Alvin Kamara (15751410),Alvin Kamara,15751410,RB/FLEX,8200,SF@NO 11/15/2020 04:25PM ET,NO,26.82
15751354,15751496,15751444,15751638,15751684,15751694,15751952,15751660,15752139,,QB,Kyler Murray (15751349),Kyler Murray,15751349,QB,8000,BUF@ARI 11/15/2020 04:05PM ET,ARI,31.44
15751367,15751412,15751454,15751638,15751722,15751690,15751974,15751428,15752133,,QB,Aaron Rodgers (15751350),Aaron Rodgers,15751350,QB,7900,JAX@GB 11/15/2020 01:00PM ET,GB,24.83
15751373,15751412,15751468,15751638,15751704,15751712,15751954,15751418,15752145,,QB,Russell Wilson (15751351),Russell Wilson,15751351,QB,7700,SEA@LAR 11/15/2020 04:25PM ET,SEA,31.64
15751362,15751410,15751434,15751638,15751728,15751682,15752006,15751698,15752134,,WR,DeAndre Hopkins (15751640),DeAndre Hopkins,15751640,WR/FLEX,7700,BUF@ARI 11/15/2020 04:05PM ET,ARI,20.3
15751357,15751410,15751484,15751638,15751718,15751714,15751972,15751664,15752146,,WR,DK Metcalf (15751642),DK Metcalf,15751642,WR/FLEX,7600,SEA@LAR 11/15/2020 04:25PM ET,SEA,22.6
15751360,15751410,15751470,15751638,15751720,15751678,15752000,15751450,15752148,,QB,Josh Allen (15751352),Josh Allen,15751352,QB,7500,BUF@ARI 11/15/2020 04:05PM ET,BUF,26.62
15751368,15751410,15751426,15751772,15751748,15751638,15751976,15751710,15752143,,WR,Stefon Diggs (15751644),Stefon Diggs,15751644,WR/FLEX,7500,BUF@ARI 11/15/2020 04:05PM ET,BUF,19.37
15751358,15751410,15751494,15751762,15751638,15751808,15751994,15751462,15752144,,WR,Michael Thomas (15751646),Michael Thomas,15751646,WR/FLEX,7400,SF@NO 11/15/2020 04:25PM ET,NO,7.4
15751364,15751410,15751482,15751638,15751734,15751802,15752002,15751456,15752140,,RB,Aaron Jones (15751412),Aaron Jones,15751412,RB/FLEX,7100,JAX@GB 11/15/2020 01:00PM ET,GB,21.82
15751369,15751410,15751486,15751638,15751754,15751752,15751986,15751744,15752141,,WR,Keenan Allen (15751648),Keenan Allen,15751648,WR/FLEX,7100,LAC@MIA 11/15/2020 04:05PM ET,LAC,19.89
,,,,,,,,,,WR,Cooper Kupp (15751650),Cooper Kupp,15751650,WR/FLEX,6900,SEA@LAR 11/15/2020 04:25PM ET,LAR,15.12
,,,,,,,,,,QB,Deshaun Watson (15751353),Deshaun Watson,15751353,QB,6900,HOU@CLE 11/15/2020 01:00PM ET,HOU,24.47
,,,,,,,,,,RB,James Conner (15751414),James Conner,15751414,RB/FLEX,6900,CIN@PIT 11/15/2020 04:25PM ET,PIT,15.41
,,,,,,,,,,WR,Terry McLaurin (15751652),Terry McLaurin,15751652,WR/FLEX,6800,WAS@DET 11/15/2020 01:00PM ET,WAS,18.31
,,,,,,,,,,RB,Nick Chubb (15751416),Nick Chubb,15751416,RB/FLEX,6800,HOU@CLE 11/15/2020 01:00PM ET,CLE,16.8
,,,,,,,,,,RB,Kareem Hunt (15751418),Kareem Hunt,15751418,RB/FLEX,6700,HOU@CLE 11/15/2020 01:00PM ET,CLE,15.52
,,,,,,,,,,WR,Will Fuller V (15751654),Will Fuller V,15751654,WR/FLEX,6700,HOU@CLE 11/15/2020 01:00PM ET,HOU,17.88
,,,,,,,,,,TE,George Kittle (15751944),George Kittle,15751944,TE/FLEX,6600,SF@NO 11/15/2020 04:25PM ET,SF,17.35
,,,,,,,,,,RB,James Robinson (15751420),James Robinson,15751420,RB/FLEX,6600,JAX@GB 11/15/2020 01:00PM ET,JAX,19.56
,,,,,,,,,,WR,Robert Woods (15751656),Robert Woods,15751656,WR/FLEX,6600,SEA@LAR 11/15/2020 04:25PM ET,LAR,16.18
,,,,,,,,,,QB,Justin Herbert (15751354),Justin Herbert,15751354,QB,6600,LAC@MIA 11/15/2020 04:05PM ET,LAC,26.92
,,,,,,,,,,RB,Josh Jacobs (15751422),Josh Jacobs,15751422,RB/FLEX,6500,DEN@LV 11/15/2020 04:05PM ET,LV,16.04
,,,,,,,,,,QB,Jared Goff (15751355),Jared Goff,15751355,QB,6500,SEA@LAR 11/15/2020 04:25PM ET,LAR,19.6
,,,,,,,,,,WR,Tyler Lockett (15751658),Tyler Lockett,15751658,WR/FLEX,6500,SEA@LAR 11/15/2020 04:25PM ET,SEA,20.31
,,,,,,,,,,QB,Drew Brees (15751357),Drew Brees,15751357,QB,6400,SF@NO 11/15/2020 04:25PM ET,NO,20.75
,,,,,,,,,,RB,Miles Sanders (15751424),Miles Sanders,15751424,RB/FLEX,6400,PHI@NYG 11/15/2020 01:00PM ET,PHI,16.9
,,,,,,,,,,WR,Travis Fulgham (15751660),Travis Fulgham,15751660,WR/FLEX,6400,PHI@NYG 11/15/2020 01:00PM ET,PHI,19.9
,,,,,,,,,,WR,Tyler Boyd (15751662),Tyler Boyd,15751662,WR/FLEX,6400,CIN@PIT 11/15/2020 04:25PM ET,CIN,17.6
,,,,,,,,,,RB,Chase Edmonds (15751426),Chase Edmonds,15751426,RB/FLEX,6300,BUF@ARI 11/15/2020 04:05PM ET,ARI,11.95
,,,,,,,,,,QB,Tom Brady (15751356),Tom Brady,15751356,QB,6300,TB@CAR 11/15/2020 01:00PM ET,TB,20.72
,,,,,,,,,,WR,Mike Evans (15751664),Mike Evans,15751664,WR/FLEX,6300,TB@CAR 11/15/2020 01:00PM ET,TB,13.97
,,,,,,,,,,WR,DJ Chark Jr. (15751666),DJ Chark Jr.,15751666,WR/FLEX,6200,JAX@GB 11/15/2020 01:00PM ET,JAX,14.81
,,,,,,,,,,RB,Chris Carson (15751428),Chris Carson,15751428,RB/FLEX,6200,SEA@LAR 11/15/2020 04:25PM ET,SEA,17.5
,,,,,,,,,,QB,Ben Roethlisberger (15751358),Ben Roethlisberger,15751358,QB,6200,CIN@PIT 11/15/2020 04:25PM ET,PIT,19.34
,,,,,,,,,,QB,Teddy Bridgewater (15751359),Teddy Bridgewater,15751359,QB,6100,TB@CAR 11/15/2020 01:00PM ET,CAR,19.4
