Player_Name,Salary,Team,Pos,Opp,Proj_FP
P.J. Walker,4800.00,CAR,QB,DET,18.13
Derek Carr,5300.00,LVR,QB,KCC,19.34
Russell Wilson,7400.00,SEA,QB,ARI,26
Alex Smith,5300.00,WAS,QB,CIN,18.15
Deshaun Watson,6500.00,HOU,QB,NEP,22.07
Justin Herbert,6800.00,LAC,QB,NYJ,22.48
Carlos Hyde,4300.00,SEA,RB,ARI,14.17
Joe Burrow,5500.00,CIN,QB,WAS,18.07
Cincinnati Bengals,2300.00,CIN,DST,WAS,7.47
Jared Goff,5700.00,LAR,QB,TBB,18.43
Tua Tagovailoa,5800.00,MIA,QB,DEN,18.74
Carson Wentz,5700.00,PHI,QB,CLE,18.24
Kyler Murray,8500.00,ARI,QB,SEA,26.93
Curtis Samuel,4700.00,CAR,WR,DET,14.75
Jameis Winston,5900.00,NOS,QB,ATL,18.42
Tom Brady,6500.00,TBB,QB,LAR,20.21
Ben Roethlisberger,6700.00,PIT,QB,JAC,20.48
Jakeem Grant,3500.00,MIA,WR,DEN,10.5
Drew Lock,5400.00,DEN,QB,MIA,16.17
Baker Mayfield,5400.00,CLE,QB,PHI,16.04
Duke Johnson,5400.00,HOU,RB,NEP,15.66
Aaron Rodgers,7000.00,GBP,QB,IND,20.17
A.J. Green,3600.00,CIN,WR,WAS,10.36
Denver Broncos,2400.00,DEN,DST,MIA,6.79
Matthew Stafford,6000.00,DET,QB,CAR,17
Brandin Cooks,5200.00,HOU,WR,NEP,14.68
Jacksonville Jaguars,2100.00,JAC,DST,PIT,5.83
Jake Luton,5000.00,JAC,QB,PIT,13.84
Logan Thomas,3300.00,WAS,TE,CIN,9.1
Las Vegas Raiders,2000.00,LVR,DST,KCC,5.52
Darren Waller,5600.00,LVR,TE,KCC,15.31
Robby Anderson,6000.00,CAR,WR,DET,16.32
D.J. Moore,5600.00,CAR,WR,DET,15.16
Dallas Goedert,3800.00,PHI,TE,CLE,10.31
Detroit Lions,2700.00,DET,DST,CAR,7.3
Kalen Ballage,5600.00,LAC,RB,NYJ,15.11
Tyler Lockett,6700.00,SEA,WR,ARI,17.95
James Conner,6600.00,PIT,RB,JAC,17.68
Washington Football Team,2900.00,WAS,DST,CIN,7.78
Antonio Gibson,5800.00,WAS,RB,CIN,15.47
Giovani Bernard,5500.00,CIN,RB,WAS,14.71
Tyler Boyd,5600.00,CIN,WR,WAS,14.89
Keenan Allen,7400.00,LAC,WR,NYJ,19.66
DeVante Parker,5700.00,MIA,WR,DEN,15.16
DeeJay Dallas,4000.00,SEA,RB,ARI,10.61
Houston Texans,2600.00,HOU,DST,NEP,6.85
D'Andre Swift,6400.00,DET,RB,CAR,16.73
Melvin Gordon,5100.00,DEN,RB,MIA,13.31
Terry McLaurin,6900.00,WAS,WR,CIN,17.97
Noah Fant,4500.00,DEN,TE,MIA,11.66
Josh Reynolds,3900.00,LAR,WR,TBB,10.12
D.K. Metcalf,7600.00,SEA,WR,ARI,19.62
Cooper Kupp,6500.00,LAR,WR,TBB,16.72
Larry Fitzgerald,3700.00,ARI,WR,SEA,9.47
Hunter Renfrow,3700.00,LVR,WR,KCC,9.49
Will Fuller,6200.00,HOU,WR,NEP,15.81
Carolina Panthers,2700.00,CAR,DST,DET,6.89
Diontae Johnson,5900.00,PIT,WR,JAC,15.04
Mike Davis,6800.00,CAR,RB,DET,17.25
Aaron Jones,7200.00,GBP,RB,IND,18.28
Chris Godwin,5800.00,TBB,WR,LAR,14.59
Davante Adams,8600.00,GBP,WR,IND,21.61
Randall Cobb,3600.00,HOU,WR,NEP,9.02
Austin Hooper,3900.00,CLE,TE,PHI,9.79
James Robinson,6400.00,JAC,RB,PIT,16.03
DeAndre Hopkins,8100.00,ARI,WR,SEA,20.17
Robert Tonyan,3200.00,GBP,TE,IND,7.97
Henry Ruggs,4000.00,LVR,WR,KCC,9.97
KJ Hamler,3600.00,DEN,WR,MIA,8.91
Jarvis Landry,5500.00,CLE,WR,PHI,13.64
Miles Sanders,6900.00,PHI,RB,CLE,16.99
Michael Thomas,7300.00,NOS,WR,ATL,17.88
Hunter Henry,4600.00,LAC,TE,NYJ,11.29
Salvon Ahmed,4800.00,MIA,RB,DEN,11.78
Tee Higgins,5900.00,CIN,WR,WAS,14.41
Miami Dolphins,3400.00,MIA,DST,DEN,8.3
Kenny Golladay,5800.00,DET,WR,CAR,14.02
Jalen Reagor,4300.00,PHI,WR,CLE,10.42
J.D. McKissic,5200.00,WAS,RB,CIN,12.41
Josh Jacobs,7100.00,LVR,RB,KCC,16.97
JuJu Smith-Schuster,6400.00,PIT,WR,JAC,15.25
Seattle Seahawks,2300.00,SEA,DST,ARI,5.47
Cleveland Browns,3000.00,CLE,DST,PHI,7.13
Mike Williams,5100.00,LAC,WR,NYJ,12.16
Keelan Cole,3800.00,JAC,WR,PIT,8.99
Alvin Kamara,9200.00,NOS,RB,ATL,21.49
Eric Ebron,4000.00,PIT,TE,JAC,9.34
Robert Woods,6000.00,LAR,WR,TBB,14.01
Chase Claypool,6100.00,PIT,WR,JAC,14.26
Rashard Higgins,4500.00,CLE,WR,PHI,10.54
David Moore,3500.00,SEA,WR,ARI,8.19
Mike Gesicki,4300.00,MIA,TE,DEN,10.04
Jerry Jeudy,5300.00,DEN,WR,MIA,12.25
Los Angeles Chargers,4000.00,LAC,DST,NYJ,9.24
Philadelphia Eagles,2800.00,PHI,DST,CLE,6.48
New Orleans Saints,3200.00,NOS,DST,ATL,7.23
Antonio Brown,5700.00,TBB,WR,LAR,12.84
Rob Gronkowski,4300.00,TBB,TE,LAR,9.69
Mike Evans,6000.00,TBB,WR,LAR,13.41
Ronald Jones,5900.00,TBB,RB,LAR,13.16
Los Angeles Rams,2600.00,LAR,DST,TBB,5.76
Tyler Eifert,2700.00,JAC,TE,PIT,6
Jordan Akins,2500.00,HOU,TE,NEP,5.56
T.J. Hockenson,4200.00,DET,TE,CAR,9.27
Green Bay Packers,2800.00,GBP,DST,IND,6.14
Chase Edmonds,5100.00,ARI,RB,SEA,11.13
Nelson Agholor,4500.00,LVR,WR,KCC,9.75
Travis Fulgham,5600.00,PHI,WR,CLE,12.17
Kenyan Drake,5300.00,ARI,RB,SEA,11.49
Greg Olsen,2800.00,SEA,TE,ARI,6
Allen Lazard,4600.00,GBP,WR,IND,9.79
Danny Amendola,3700.00,DET,WR,CAR,7.86
Chris Conley,3000.00,JAC,WR,PIT,6.37
Tim Patrick,4800.00,DEN,WR,MIA,10.14
Jalen Guyton,3500.00,LAC,WR,NYJ,7.35
Pittsburgh Steelers,4600.00,PIT,DST,JAC,9.54
Tre'Quan Smith,3500.00,NOS,WR,ATL,7.21
Marvin Jones,5500.00,DET,WR,CAR,11.19
Nick Chubb,7000.00,CLE,RB,PHI,14.06
Kareem Hunt,6700.00,CLE,RB,PHI,13.36
Jared Cook,4100.00,NOS,TE,ATL,8.12
Emmanuel Sanders,4900.00,NOS,WR,ATL,9.66
Christian Kirk,6100.00,ARI,WR,SEA,11.87
Arizona Cardinals,2600.00,ARI,DST,SEA,5.04
Tyler Higbee,3600.00,LAR,TE,TBB,6.98
Drew Sample,2700.00,CIN,TE,WAS,5.12
DJ Chark,5700.00,JAC,WR,PIT,10.79
Cam Sims,3300.00,WAS,WR,CIN,6.23
Phillip Lindsay,4500.00,DEN,RB,MIA,8.31
Leonard Fournette,4800.00,TBB,RB,LAR,8.88
Laviska Shenault,3600.00,JAC,WR,PIT,6.6
Joshua Kelley,4000.00,LAC,RB,NYJ,7.3
Andy Isabella,3000.00,ARI,WR,SEA,5.42
Steven Sims,3000.00,WAS,WR,CIN,5.34
Gerald Everett,3000.00,LAR,TE,TBB,5.31
Tampa Bay Buccaneers,3600.00,TBB,DST,LAR,6.35
Jacob Hollister,2700.00,SEA,TE,ARI,4.72
Devontae Booker,4000.00,LVR,RB,KCC,6.82
Dan Arnold,2800.00,ARI,TE,SEA,4.78
Greg Ward,4000.00,PHI,WR,CLE,6.73
Malcolm Perry,4000.00,MIA,RB,DEN,6.54
Darrell Henderson,5300.00,LAR,RB,TBB,8.65
Malcolm Brown,4900.00,LAR,RB,TBB,7.79
Marquez Valdes-Scantling,4800.00,GBP,WR,IND,7.45
Darren Fells,2900.00,HOU,TE,NEP,4.43
Mack Hollins,3000.00,MIA,WR,DEN,4.54
Taysom Hill,4800.00,NOS,QB,ATL,7.1
Harrison Bryant,2500.00,CLE,TE,PHI,3.58
Ian Thomas,2500.00,CAR,TE,DET,3.56
Latavius Murray,5900.00,NOS,RB,ATL,8.34
Will Dissly,2500.00,SEA,TE,ARI,3.51
Isaiah Wright,3000.00,WAS,WR,CIN,4.21
Jamaal Williams,5700.00,GBP,RB,IND,7.95
Matt Breida,4000.00,MIA,RB,DEN,5.54
Kenny Stills,3000.00,HOU,WR,NEP,4.08
Cam Akers,4000.00,LAR,RB,TBB,5.21
Samaje Perine,4000.00,CIN,RB,WAS,5.16
James Washington,3000.00,PIT,WR,JAC,3.85
James O'Shaughnessy,2500.00,JAC,TE,PIT,3.17
Auden Tate,3000.00,CIN,WR,WAS,3.69
Durham Smythe,2500.00,MIA,TE,DEN,2.92
Adrian Peterson,4000.00,DET,RB,CAR,4.53
Donald Parham,2500.00,LAC,TE,NYJ,2.81
Richard Rodgers,3500.00,PHI,TE,CLE,3.89
Maxx Williams,2500.00,ARI,TE,SEA,2.74
Cameron Brate,2500.00,TBB,TE,LAR,2.71
Adam Shaheen,2500.00,MIA,TE,DEN,2.64
David Njoku,3000.00,CLE,TE,PHI,3.13
Boston Scott,5600.00,PHI,RB,CLE,5.75
Vance McDonald,2500.00,PIT,TE,JAC,2.58
Marcedes Lewis,2500.00,GBP,TE,IND,2.51
Benny Snell,4000.00,PIT,RB,JAC,3.94
Nick Vannett,2500.00,DEN,TE,MIA,2.4
Scotty Miller,3000.00,TBB,WR,LAR,2.78
Alshon Jeffery,3700.00,PHI,WR,CLE,3.42
C.J. Prosise,4000.00,HOU,RB,NEP,3.62
Rodney Smith,4000.00,CAR,RB,DET,3.52
Troymaine Pope,4000.00,LAC,RB,NYJ,3.46
Mike Thomas,3000.00,CIN,WR,WAS,2.51
Patrick Laird,4000.00,MIA,RB,DEN,3.34
Bryan Edwards,3000.00,LVR,WR,KCC,2.5
Jalen Richard,4000.00,LVR,RB,KCC,3.17
DaeSean Hamilton,3000.00,DEN,WR,MIA,2.35
Dare Ogunbowale,4000.00,JAC,RB,PIT,3.08
Peyton Barber,4000.00,WAS,RB,CIN,3.07
Marvin Hall,3800.00,DET,WR,CAR,2.84
Jesse James,2500.00,DET,TE,CAR,1.86
Jace Sternberger,2500.00,GBP,TE,IND,1.83
Jason Witten,2500.00,LVR,TE,KCC,1.8
Adam Trautman,2500.00,NOS,TE,ATL,1.78
Freddie Swain,3000.00,SEA,WR,ARI,2.03
Khadarel Hodge,3000.00,CLE,WR,PHI,1.99
Ray-Ray McCloud,3000.00,PIT,WR,JAC,1.94
Kerryon Johnson,4000.00,DET,RB,CAR,2.22
Chris Manhertz,2500.00,CAR,TE,DET,1.37
Van Jefferson,3000.00,LAR,WR,TBB,1.52
Pharoh Cooper,3000.00,CAR,WR,DET,1.44
Donovan Peoples-Jones,3200.00,CLE,WR,PHI,1.49
Jeremy Sprinkle,2500.00,WAS,TE,CIN,1.17
Deonte Harris,3200.00,NOS,WR,ATL,1.47
Foster Moreau,2500.00,LVR,TE,KCC,1.13
Tyron Johnson,3000.00,LAC,WR,NYJ,1.32
Cethan Carter,2500.00,CIN,TE,WAS,1.04
Antony Auclair,2500.00,TBB,TE,LAR,0.96
Royce Freeman,4000.00,DEN,RB,MIA,1.4
Darrius Shepherd,3000.00,GBP,WR,IND,1.03
Collin Johnson,3000.00,JAC,WR,PIT,0.97
Anthony McFarland,4000.00,PIT,RB,JAC,1.22
Trenton Cannon,4000.00,CAR,RB,DET,1.23
Marquez Callaway,3000.00,NOS,WR,ATL,0.91
D'Ernest Johnson,4000.00,CLE,RB,PHI,0.99
AJ Dillon,4000.00,GBP,RB,IND,0.94
Equanimeous St. Brown,3000.00,GBP,WR,IND,0.72
LeSean McCoy,4000.00,TBB,RB,LAR,0.95
Darrell Daniels,2600.00,ARI,TE,SEA,0.61
Corey Clement,4000.00,PHI,RB,CLE,0.78
Dontrelle Inman,3200.00,WAS,WR,CIN,0.6
K.J. Hill,3000.00,LAC,WR,NYJ,0.53
Keke Coutee,3000.00,HOU,WR,NEP,0.5
Colin Thompson,2500.00,CAR,TE,DET,0.41
Tyler Johnson,3000.00,TBB,WR,LAR,0.49
Brandon Zylstra,3000.00,CAR,WR,DET,0.43
Isaac Nauta,2500.00,DET,TE,CAR,0.3
Troy Fumagalli,2500.00,DEN,TE,MIA,0.29
Zay Jones,3000.00,LVR,WR,KCC,0.36
Johnny Mundt,2500.00,LAR,TE,TBB,0.31
Ty Montgomery,4000.00,NOS,RB,ATL,0.44
Quez Watkins,3000.00,PHI,WR,CLE,0.29
Quintez Cephus,3000.00,DET,WR,CAR,0.3
Gregory Howell,4000.00,HOU,RB,NEP,0.31
Nick Bellore,4000.00,SEA,RB,ARI,0.3
D.J. Foster,4000.00,ARI,RB,SEA,0.3
Devine Ozigbo,4000.00,JAC,RB,PIT,0.26
Xavier Jones,4000.00,LAR,RB,TBB,0.23
Justin Watson,3000.00,TBB,WR,LAR,0.12
Trent Sherfield,3000.00,ARI,WR,SEA,0.13
Diontae Spencer,3000.00,DEN,WR,MIA,0.12
Antonio Callaway,3000.00,MIA,WR,DEN,0.05
Nsimba Webster,3000.00,LAR,WR,TBB,0.06
Penny Hart,3000.00,SEA,WR,ARI,0.03
Pharaoh Brown,2500.00,HOU,TE,NEP,0.02
Jonathan Ward,4000.00,ARI,RB,SEA,0.02
Joe Mixon,6300.00,CIN,RB,WAS,0.03
