Player_Name,Salary,Team,Pos,Opp,Proj_FP
Mohamed Sanu,200.00,DET,WR,CAR,2.94
Luke Willson,200.00,BAL,TE,TEN,1.59
Taysom Hill,4800.00,NOS,QB,ATL,20.83
Alex Smith,5300.00,WAS,QB,CIN,19.1
Joe Burrow,5500.00,CIN,QB,WAS,19.69
Deshaun Watson,6500.00,HOU,QB,NEP,22.51
Lamar Jackson,7300.00,BAL,QB,TEN,24.74
Cam Newton,6200.00,NEP,QB,HOU,20.65
Justin Herbert,6800.00,LAC,QB,NYJ,22.48
Tua Tagovailoa,5800.00,MIA,QB,DEN,18.96
Carson Wentz,5700.00,PHI,QB,CLE,18.6
Cincinnati Bengals,2300.00,CIN,DST,WAS,7.47
Matt Ryan,6300.00,ATL,QB,NOS,20.22
Denzel Mims,3300.00,NYJ,WR,LAC,10.47
Ben Roethlisberger,6700.00,PIT,QB,JAC,21.06
Jakobi Meyers,4900.00,NEP,WR,HOU,15.19
Drew Lock,5400.00,DEN,QB,MIA,16.48
Matthew Stafford,6000.00,DET,QB,CAR,18.26
Baker Mayfield,5400.00,CLE,QB,PHI,16.26
Jakeem Grant,3500.00,MIA,WR,DEN,10.46
Brandin Cooks,5200.00,HOU,WR,NEP,15.08
Joe Flacco,5000.00,NYJ,QB,LAC,14.43
Denver Broncos,2400.00,DEN,DST,MIA,6.79
Mark Andrews,4900.00,BAL,TE,TEN,13.79
Adrian Peterson,4000.00,DET,RB,CAR,11.19
Curtis Samuel,4700.00,CAR,WR,DET,13.04
Duke Johnson,5400.00,HOU,RB,NEP,14.83
A.J. Green,3600.00,CIN,WR,WAS,9.89
Ryan Tannehill,6100.00,TEN,QB,BAL,16.72
Logan Thomas,3300.00,WAS,TE,CIN,9.01
Dallas Goedert,3800.00,PHI,TE,CLE,10.38
Teddy Bridgewater,6400.00,CAR,QB,DET,17.38
T.J. Hockenson,4200.00,DET,TE,CAR,11.32
Detroit Lions,2700.00,DET,DST,CAR,7.3
Kalen Ballage,5600.00,LAC,RB,NYJ,15.09
Melvin Gordon,5100.00,DEN,RB,MIA,13.71
Washington Football Team,2900.00,WAS,DST,CIN,7.78
New York Jets,2000.00,NYJ,DST,LAC,5.33
D.J. Moore,5600.00,CAR,WR,DET,14.91
Terry McLaurin,6900.00,WAS,WR,CIN,18.31
Keenan Allen,7400.00,LAC,WR,NYJ,19.55
Houston Texans,2600.00,HOU,DST,NEP,6.85
DeVante Parker,5700.00,MIA,WR,DEN,14.97
Tyler Boyd,5600.00,CIN,WR,WAS,14.72
Diontae Johnson,5900.00,PIT,WR,JAC,15.43
Atlanta Falcons,2300.00,ATL,DST,NOS,6.03
Noah Fant,4500.00,DEN,TE,MIA,11.74
Robby Anderson,6000.00,CAR,WR,DET,15.57
Antonio Gibson,5800.00,WAS,RB,CIN,14.92
Will Fuller,6200.00,HOU,WR,NEP,15.92
Giovani Bernard,5500.00,CIN,RB,WAS,14.08
Marvin Jones,5500.00,DET,WR,CAR,14.03
J.D. McKissic,5200.00,WAS,RB,CIN,13.28
Anthony Firkser,2500.00,TEN,TE,BAL,6.37
Carolina Panthers,2700.00,CAR,DST,DET,6.89
Austin Hooper,3900.00,CLE,TE,PHI,9.89
Corey Davis,4800.00,TEN,WR,BAL,12.13
Randall Cobb,3600.00,HOU,WR,NEP,9.08
Kerryon Johnson,4000.00,DET,RB,CAR,10.08
Jarvis Landry,5500.00,CLE,WR,PHI,13.79
KJ Hamler,3600.00,DEN,WR,MIA,8.97
Russell Gage,3900.00,ATL,WR,NOS,9.68
La'Mical Perine,4400.00,NYJ,RB,LAC,10.88
Breshad Perriman,4300.00,NYJ,WR,LAC,10.63
Garrett Griffin,200.00,NOS,TE,ATL,0.49
JuJu Smith-Schuster,6400.00,PIT,WR,JAC,15.66
Jalen Reagor,4300.00,PHI,WR,CLE,10.49
Miami Dolphins,3400.00,MIA,DST,DEN,8.3
Hunter Henry,4600.00,LAC,TE,NYJ,11.23
New England Patriots,3000.00,NEP,DST,HOU,7.33
Tee Higgins,5900.00,CIN,WR,WAS,14.4
Chase Claypool,6100.00,PIT,WR,JAC,14.69
Mike Davis,6800.00,CAR,RB,DET,16.38
James Conner,6600.00,PIT,RB,JAC,15.84
Eric Ebron,4000.00,PIT,TE,JAC,9.56
Cleveland Browns,3000.00,CLE,DST,PHI,7.13
Calvin Ridley,7000.00,ATL,WR,NOS,16.63
Tennessee Titans,2500.00,TEN,DST,BAL,5.93
Mike Williams,5100.00,LAC,WR,NYJ,12.09
Damiere Byrd,3500.00,NEP,WR,HOU,8.18
Rashard Higgins,4500.00,CLE,WR,PHI,10.55
Hayden Hurst,4400.00,ATL,TE,NOS,10.21
Jerry Jeudy,5300.00,DEN,WR,MIA,12.31
Jamison Crowder,6100.00,NYJ,WR,LAC,14.17
Salvon Ahmed,4800.00,MIA,RB,DEN,11.15
Los Angeles Chargers,4000.00,LAC,DST,NYJ,9.24
Philadelphia Eagles,2800.00,PHI,DST,CLE,6.48
Julio Jones,7500.00,ATL,WR,NOS,17.27
Miles Sanders,6900.00,PHI,RB,CLE,15.83
Marquise Brown,5800.00,BAL,WR,TEN,13.22
Mike Gesicki,4300.00,MIA,TE,DEN,9.78
New Orleans Saints,3200.00,NOS,DST,ATL,7.23
Quintez Cephus,3000.00,DET,WR,CAR,6.74
Jordan Akins,2500.00,HOU,TE,NEP,5.58
Todd Gurley,5900.00,ATL,RB,NOS,13.17
Alvin Kamara,9200.00,NOS,RB,ATL,20.38
Travis Fulgham,5600.00,PHI,WR,CLE,12.3
Baltimore Ravens,3500.00,BAL,DST,TEN,7.46
Tim Patrick,4800.00,DEN,WR,MIA,10.2
Michael Thomas,7300.00,NOS,WR,ATL,15.37
