QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Matt Ryan,Nyheim Hines,Dalvin Cook,Laviska Shenault,Justin Jefferson,Calvin Ridley,Hayden Hurst,Darren Waller,New York Giants
Josh Allen,Nyheim Hines,Dalvin Cook,Laviska Shenault,Gabriel Davis,Justin Jefferson,Hunter Henry,Stefon Diggs,New York Giants
Derek Carr,Nyheim Hines,Dalvin Cook,Keelan Cole,Justin Jefferson,Calvin Ridley,Darren Waller,Nelson Agholor,Minnesota Vikings
Ryan Fitzpatrick,Nyheim Hines,Dalvin Cook,Denzel Mims,Justin Jefferson,Calvin Ridley,Mike Gesicki,DeVante Parker,Cleveland Browns
Teddy Bridgewater,Nyheim Hines,Brian Hill,Justin Jefferson,Robby Anderson,D.J. Moore,Hayden Hurst,Dalvin Cook,Cleveland Browns
Patrick Mahomes,Nyheim Hines,Brian Hill,Laviska Shenault,Justin Jefferson,Antonio Brown,Travis Kelce,Tyreek Hill,New York Giants
Kirk Cousins,Nyheim Hines,Dalvin Cook,Laviska Shenault,Justin Jefferson,Robby Anderson,Kyle Rudolph,Davante Adams,Seattle Seahawks
Patrick Mahomes,Nyheim Hines,James Robinson,Marcus Kemp,Justin Jefferson,Chris Godwin,Travis Kelce,Dalvin Cook,New York Jets
Daniel Jones,Nyheim Hines,Dalvin Cook,Justin Jefferson,Calvin Ridley,Tyler Boyd,Evan Engram,Darius Slayton,Seattle Seahawks
Josh Allen,Nyheim Hines,Dalvin Cook,Gabriel Davis,Justin Jefferson,Cole Beasley,Tyler Eifert,Keenan Allen,Arizona Cardinals
