Player_Name,Salary,Team,Pos,Opp,Proj_FP
Carson Wentz,5600.00,PHI,QB,SEA,18.11
Russell Wilson,7900.00,SEA,QB,PHI,23.93
Aaron Rodgers,6700.00,GBP,QB,CHI,21.05
Mitchell Trubisky,5100.00,CHI,QB,GBP,15.82
Anthony Miller,3000.00,CHI,WR,GBP,8.66
Philadelphia Eagles,2100.00,PHI,DST,SEA,5.99
Seattle Seahawks,2500.00,SEA,DST,PHI,6.79
Dallas Goedert,4200.00,PHI,TE,SEA,11.27
Chris Carson,6000.00,SEA,RB,PHI,16.03
Davante Adams,8800.00,GBP,WR,CHI,23.52
Aaron Jones,7000.00,GBP,RB,CHI,18.45
Travis Fulgham,5100.00,PHI,WR,SEA,13.28
David Montgomery,5300.00,CHI,RB,GBP,13.57
Miles Sanders,6600.00,PHI,RB,SEA,16.57
Darnell Mooney,3200.00,CHI,WR,GBP,7.94
Tyler Lockett,6900.00,SEA,WR,PHI,16.91
Allen Robinson,6400.00,CHI,WR,GBP,15.61
David Moore,3300.00,SEA,WR,PHI,7.87
Chicago Bears,2600.00,CHI,DST,GBP,6.11
Robert Tonyan,3400.00,GBP,TE,CHI,7.85
Jacob Hollister,3000.00,SEA,TE,PHI,6.84
D.K. Metcalf,7900.00,SEA,WR,PHI,17.73
Jimmy Graham,3500.00,CHI,TE,GBP,7.7
Jalen Reagor,4400.00,PHI,WR,SEA,9.55
Greg Ward,3600.00,PHI,WR,SEA,7.46
Green Bay Packers,3900.00,GBP,DST,CHI,7.95
Cordarrelle Patterson,3400.00,CHI,WR,GBP,6.25
Cole Kmet,2500.00,CHI,TE,GBP,4.34
Jamaal Williams,5400.00,GBP,RB,CHI,9.32
Allen Lazard,4600.00,GBP,WR,CHI,7.73
Will Dissly,2900.00,SEA,TE,PHI,4.83
Richard Rodgers,3600.00,PHI,TE,SEA,5.67
Marquez Valdes-Scantling,4400.00,GBP,WR,CHI,6.78
Carlos Hyde,5200.00,SEA,RB,PHI,7.59
Jace Sternberger,2500.00,GBP,TE,CHI,3.33
Boston Scott,5000.00,PHI,RB,SEA,5.85
Alshon Jeffery,3100.00,PHI,WR,SEA,2.9
Freddie Swain,3000.00,SEA,WR,PHI,1.83
Jalen Hurts,5000.00,PHI,QB,SEA,2.98
Tyler Ervin,4000.00,GBP,RB,CHI,2.08
Marcedes Lewis,2500.00,GBP,TE,CHI,1.26
DeeJay Dallas,4000.00,SEA,RB,PHI,1.66
Darrius Shepherd,3000.00,GBP,WR,CHI,0.98
Corey Clement,4000.00,PHI,RB,SEA,1.16
Javon Wims,3000.00,CHI,WR,GBP,0.81
Demetrius Harris,2500.00,CHI,TE,GBP,0.67
Equanimeous St. Brown,3000.00,GBP,WR,CHI,0.73
Caleb Wilson,2500.00,PHI,TE,SEA,0.59
Colby Parkinson,2500.00,SEA,TE,PHI,0.57
John Hightower,3000.00,PHI,WR,SEA,0.59
Malik Taylor,3000.00,GBP,WR,CHI,0.61
Ryan Nall,4000.00,CHI,RB,GBP,0.18
Artavis Pierce,4000.00,CHI,RB,GBP,0.14
Penny Hart,3000.00,SEA,WR,PHI,0.02
