Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2382643618,OneHotTamale97,0,217.18,QB Patrick Mahomes RB James Robinson RB Nyheim Hines WR Tyreek Hill WR Robert Woods FLEX Denzel Mims WR Gabriel Davis TE Travis Kelce DST Saints ,,Dalvin Cook,RB,32.00%,11.2
2,2382502169,Brandon4633,0,215.68,QB Patrick Mahomes FLEX Derrick Henry RB James Robinson RB LeSean McCoy WR Tyreek Hill WR Justin Jefferson WR Laviska Shenault Jr. TE Ian Thomas DST Saints ,,Saints ,DST,30.50%,14
3,2382604343,EkaterinaDavid,0,204.70001,QB Derek Carr RB Derrick Henry RB Nick Chubb WR Tyreek Hill WR A.J. Brown WR Sterling Shepard FLEX Austin Hooper TE Trey Burton DST Bills ,,Nick Chubb,RB,27.50%,29.6
4,2382722140,tpendleton2,0,197.60002,QB Matt Ryan RB Derrick Henry FLEX James Robinson RB Brian Hill WR Tyreek Hill WR Calvin Ridley WR DJ Moore TE Kyle Rudolph DST Jaguars ,,Nyheim Hines,RB,25.00%,17.5
5,2382659401,Ziohex,0,195.34,QB Justin Herbert RB Austin Ekeler RB Wayne Gallman Jr. FLEX Tyreek Hill WR Justin Jefferson WR DeVante Parker WR Cole Beasley TE Kyle Rudolph DST Browns ,,Justin Jefferson,FLEX,24.00%,26
6,2382705141,DanielleN2279,0,194.87999,QB Ryan Fitzpatrick RB Nick Chubb RB James Robinson FLEX Ronald Jones II WR Justin Jefferson WR Mike Evans WR DeVante Parker TE Evan Engram DST Jets ,,DeVante Parker,WR,19.00%,22.9
7,2382381885,Luap21,0,193.97998,QB Patrick Mahomes RB Derrick Henry RB Nyheim Hines WR Tyreek Hill WR Nelson Agholor FLEX Rashard Higgins WR Breshad Perriman TE Jonnu Smith DST Saints ,,Darren Waller,TE,18.50%,6.3
8,2382547722,RLJ4,0,188.38,QB Patrick Mahomes RB Nick Chubb RB Nyheim Hines FLEX Brian Hill WR Tyreek Hill WR Justin Jefferson WR Andy Isabella TE Darren Waller DST Browns ,,Brian Hill,RB,17.50%,5.5
9,2382681912,whatsup123456789,0,185.98,QB Ryan Fitzpatrick RB Wayne Gallman Jr. RB Brian Hill WR Tyreek Hill FLEX Calvin Ridley WR Justin Jefferson WR DeVante Parker TE Noah Fant DST Saints ,,Travis Kelce,TE,17.00%,16.2
10,2382615308,TeamPops2,0,184.98,QB Ryan Fitzpatrick RB Dalvin Cook RB James Robinson FLEX Wayne Gallman Jr. WR Tyreek Hill WR Stefon Diggs WR Gabriel Davis TE Kyle Rudolph DST Broncos ,,Josh Jacobs,RB,16.50%,6.4
11,2382439608,S.F.Waldron,0,182.78,QB Ryan Fitzpatrick RB Dalvin Cook RB Nick Chubb WR Tyreek Hill WR Robby Anderson WR Gabriel Davis TE Mike Gesicki FLEX Jack Doyle DST Dolphins ,,Stefon Diggs,WR,16.00%,10.9
12,2382335213,ndesmarais15,0,180.18,QB Patrick Mahomes RB Nyheim Hines RB Brian Hill FLEX Tyreek Hill WR Justin Jefferson WR Antonio Brown WR Laviska Shenault Jr. TE Travis Kelce DST Giants ,,Wayne Gallman Jr.,FLEX,15.50%,18.1
13,2382669330,bosox2225,0,178.48001,QB Patrick Mahomes RB Nick Chubb RB Wayne Gallman Jr. WR Tyreek Hill FLEX Antonio Brown WR Curtis Samuel WR Mike Williams TE Trey Burton DST Browns ,,Nelson Agholor,WR,15.50%,10.4
14,2382522155,G-Force23,0,175.68001,QB Ryan Fitzpatrick RB Dalvin Cook RB Nick Chubb FLEX Matt Breida WR Tyreek Hill WR DeVante Parker WR Curtis Samuel TE Kyle Rudolph DST Raiders ,,Keenan Allen,WR,15.00%,16
15,2382419719,robert21990,0,174.31999,QB Baker Mayfield RB Nick Chubb RB Austin Ekeler FLEX DeAndre Hopkins WR A.J. Brown WR DeVante Parker WR Jarvis Landry TE Mo Alie-Cox DST Cardinals ,,Tyreek Hill,WR,14.00%,60.9
16,2382443711,jonadamek,0,173.78,QB Patrick Mahomes RB Nyheim Hines RB Matt Breida WR Tyreek Hill WR A.J. Brown WR Sammy Watkins TE Travis Kelce FLEX Jonnu Smith DST Broncos ,,DJ Moore,WR,13.50%,10.1
17,2382690667,Leonard_Washington08,0,171.08,QB Patrick Mahomes RB Kareem Hunt RB Nyheim Hines WR Tyreek Hill WR Chris Godwin FLEX Corey Davis WR Andy Isabella TE Travis Kelce DST Browns ,,Curtis Samuel,WR,13.50%,12.7
18,2382643389,westinray,0,168.78,QB Patrick Mahomes FLEX Wayne Gallman Jr. RB Nyheim Hines RB Brian Hill WR Keenan Allen WR Stefon Diggs WR Justin Jefferson TE Mike Gesicki DST Falcons ,,James Robinson,RB,13.00%,29.9
19,2382630950,hilliard,0,168.59999,QB Tom Brady RB James Robinson FLEX Austin Ekeler RB Malcolm Brown WR A.J. Brown WR Mike Evans WR Tyler Boyd TE Evan Engram DST Saints ,,Derek Carr,QB,13.00%,4.6
20,2382593723,juliusjj,0,168.28,QB Ryan Fitzpatrick RB Josh Jacobs RB Nick Chubb WR Tyreek Hill WR DeVante Parker FLEX Mike Williams WR Nelson Agholor TE Trey Burton DST Browns ,,Ryan Fitzpatrick,QB,13.00%,19.28
21,2382334575,Joe0171,0,167.78001,QB Patrick Mahomes RB Clyde Edwards-Helaire RB Ronald Jones II WR Tyreek Hill WR Demarcus Robinson WR A.J. Green FLEX Travis Kelce TE Rob Gronkowski DST Vikings ,,Calvin Ridley,WR,12.50%,17
22,2382685018,alets20,0,166.6,QB Derek Carr RB James Robinson RB Jordan Wilkins FLEX DeAndre Hopkins WR Tyreek Hill WR Justin Jefferson WR Denzel Mims TE Darren Waller DST Jets ,,Patrick Mahomes,QB,12.50%,35.28
23,2382507727,sethmertz,0,165.79999,QB Matt Ryan RB Nick Chubb RB James Robinson FLEX Justin Jefferson WR Robert Woods WR Jakobi Meyers WR Tyler Boyd TE Evan Engram DST Saints ,,Austin Ekeler,RB,12.00%,23.9
24,2382342414,downtownboosy,0,164.54,QB Justin Herbert RB Austin Ekeler FLEX Latavius Murray RB Nyheim Hines WR Cooper Kupp WR DeVante Parker WR Jakobi Meyers TE Evan Engram DST Saints ,,Josh Allen,QB,12.00%,17.48
25,2382689655,cwsmarathon,0,164.28,QB Patrick Mahomes RB Dalvin Cook RB James Robinson FLEX Nyheim Hines WR Justin Jefferson WR Cole Beasley WR Andy Isabella TE Kyle Rudolph DST Saints ,,Kareem Hunt,RB,12.00%,6.2
26,2382664713,Carolina_Dolfan,0,163.24,QB Justin Herbert RB Josh Jacobs RB James Robinson FLEX Matt Breida WR Tyreek Hill WR Mike Williams WR Nelson Agholor TE Austin Hooper DST Saints ,,Keelan Cole Sr.,WR,11.00%,7.4
