Player_Name,Salary,Team,Pos,Opp,Proj_FP
Eric Tomlinson,200,BAL,TE,CLE,1.54
Lamar Jackson,11600,BAL,QB,CLE,23.37
Andy Dalton,10000,DAL,QB,CIN,15.95
Devin Duvernay,800,BAL,WR,CLE,8.36
Michael Gallup,4400,DAL,WR,CIN,9.27
Dez Bryant,1000,BAL,WR,CLE,7.85
Dallas Cowboys,3200,DAL,DST,CIN,5.57
Ezekiel Elliott,10200,DAL,RB,CIN,15.47
Marquise Brown,7200,BAL,WR,CLE,12.86
Baltimore Ravens,5800,BAL,DST,CLE,9.11
CeeDee Lamb,6600,DAL,WR,CIN,11.84
Amari Cooper,9600,DAL,WR,CIN,13.74
J.K. Dobbins,8600,BAL,RB,CLE,13.22
Luke Willson,1800,BAL,TE,CLE,6.01
Dalton Schultz,5200,DAL,TE,CIN,7.87
Mark Ingram,5600,BAL,RB,CLE,9.11
Miles Boykin,600,BAL,WR,CLE,5.38
Cedrick Wilson,1200,DAL,WR,CIN,3.15
Tony Pollard,2600,DAL,RB,CIN,6.15
Gus Edwards,5400,BAL,RB,CLE,4.47
Blake Bell,200,DAL,TE,CIN,1.05
Noah Brown,200,DAL,WR,CIN,0.93
Justice Hill,1600,BAL,RB,CLE,0.99
James Proche,200,BAL,WR,CLE,0.53
Sean McKeon,200,DAL,TE,CIN,0.08
Rico Dowdle,200,DAL,RB,CIN,0.05
