Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2427396762,linc285,0,71.79,CPT Deshaun Watson FLEX Jonathan Taylor FLEX Keke Coutee FLEX Chad Hansen FLEX David Johnson FLEX Zach Pascal,,Jonathan Taylor,CPT,60.71%,11.7
2,2427301225,ggutshall360,0,64.19,CPT Deshaun Watson FLEX T.Y. Hilton FLEX Keke Coutee FLEX Jacoby Brissett FLEX David Johnson FLEX Colts ,,Deshaun Watson,FLEX,60.71%,16.06
3,2427336777,track1213,0,63.79,CPT Deshaun Watson FLEX T.Y. Hilton FLEX Nyheim Hines FLEX Keke Coutee FLEX David Johnson FLEX Jack Doyle,,Philip Rivers,FLEX,53.57%,8.66
4,2427421896,StormOne,0,63.22,CPT Chad Hansen FLEX Jonathan Taylor FLEX Deshaun Watson FLEX Philip Rivers FLEX David Johnson FLEX Zach Pascal,,Keke Coutee,FLEX,42.86%,9.2
5,2427227750,brewerswx,0,63.09,CPT Deshaun Watson FLEX Brandin Cooks FLEX Keke Coutee FLEX Michael Pittman Jr. FLEX David Johnson FLEX Trey Burton,,T.Y. Hilton,FLEX,42.86%,6.9
6,2427164179,32domthebomb,0,61.66,CPT Jonathan Taylor FLEX Deshaun Watson FLEX Keke Coutee FLEX Michael Pittman Jr. FLEX David Johnson FLEX Texans ,,Colts ,FLEX,39.29%,4
7,2427382228,ndesmarais15,0,58.949997,CPT Deshaun Watson FLEX Philip Rivers FLEX Brandin Cooks FLEX Keke Coutee FLEX Trey Burton FLEX Zach Pascal,,Nyheim Hines,FLEX,39.29%,3.8
8,2427413407,damnshamesparks,0,56.65,CPT Deshaun Watson FLEX Philip Rivers FLEX Colts  FLEX Rodrigo Blankenship FLEX Zach Pascal FLEX Steven Mitchell Jr.,,David Johnson,FLEX,35.71%,19.8
9,2427296132,Itsme85,0,56.489998,CPT Deshaun Watson FLEX T.Y. Hilton FLEX Michael Pittman Jr. FLEX Chad Hansen FLEX David Johnson FLEX Trey Burton,,Chad Hansen,FLEX,32.14%,0
10,2427285242,LukeWerth,0,54.62,CPT Jonathan Taylor FLEX Deshaun Watson FLEX Philip Rivers FLEX Keke Coutee FLEX Rodrigo Blankenship FLEX Mo Alie-Cox,,Brandin Cooks,FLEX,28.57%,4.3
