Player_Name,Salary,Team,Pos,Opp,Proj_FP
Eric Tomlinson,200,BAL,TE,JAC,1.36
Lamar Jackson,12800,BAL,QB,JAC,26.06
Gardner Minshew,9800,JAC,QB,BAL,15.43
Baltimore Ravens,4800,BAL,DST,JAC,9.69
J.K. Dobbins,9000,BAL,RB,JAC,14.85
James Robinson,10000,JAC,RB,BAL,17.54
Mark Andrews,8800,BAL,TE,JAC,13.17
DJ Chark,7600,JAC,WR,BAL,11.90
Jacksonville Jaguars,2400,JAC,DST,BAL,4.74
Keelan Cole,5600,JAC,WR,BAL,9.38
Tyler Eifert,4200,JAC,TE,BAL,6.76
Laviska Shenault,5200,JAC,WR,BAL,8.58
Gus Edwards,6600,BAL,RB,JAC,9.64
Marquise Brown,8400,BAL,WR,JAC,12.12
Collin Johnson,1600,JAC,WR,BAL,6.10
Willie Snead,6200,BAL,WR,JAC,8.18
Devin Duvernay,1400,BAL,WR,JAC,5.76
Dez Bryant,200,BAL,WR,JAC,4.42
James O'Shaughnessy,400,JAC,TE,BAL,3.37
Miles Boykin,2600,BAL,WR,JAC,3.29
Chris Conley,200,JAC,WR,BAL,3.05
James Proche,200,BAL,WR,JAC,1.68
Justice Hill,1000,BAL,RB,JAC,1.70
Dare Ogunbowale,600,JAC,RB,BAL,1.64
Devine Ozigbo,800,JAC,RB,BAL,0.28
Eric Saubert,1200,JAC,TE,BAL,0.02
