Player_Name,Salary,Team,Pos,Opp,Proj_FP
Teddy Bridgewater,9400,CAR,QB,GBP,17.91
D.J. Moore,7600,CAR,WR,GBP,15.17
Aaron Rodgers,11200,GBP,QB,CAR,22.28
Mike Davis,9000,CAR,RB,GBP,16.70
Robby Anderson,8200,CAR,WR,GBP,15.89
Davante Adams,12200,GBP,WR,CAR,23.79
Curtis Samuel,7000,CAR,WR,GBP,12.08
Allen Lazard,5000,GBP,WR,CAR,10.29
Aaron Jones,10400,GBP,RB,CAR,18.24
Green Bay Packers,4600,GBP,DST,CAR,7.51
Robert Tonyan,6400,GBP,TE,CAR,9.60
Jamaal Williams,3200,GBP,RB,CAR,9.83
Carolina Panthers,2400,CAR,DST,GBP,4.42
Marquez Valdes-Scantling,5400,GBP,WR,CAR,7.75
Ian Thomas,800,CAR,TE,GBP,4.54
Marcedes Lewis,1400,GBP,TE,CAR,2.80
Rodney Smith,1200,CAR,RB,GBP,3.95
Equanimeous St. Brown,400,GBP,WR,CAR,2.19
Chris Manhertz,200,CAR,TE,GBP,1.49
Tavon Austin,1000,GBP,WR,CAR,1.65
Pharoh Cooper,600,CAR,WR,GBP,1.43
AJ Dillon,200,GBP,RB,CAR,1.35
Brandon Zylstra,200,CAR,WR,GBP,0.90
Trenton Cannon,200,CAR,RB,GBP,0.76
Colin Thompson,200,CAR,TE,GBP,0.41
Dominique Dafney,200,GBP,TE,CAR,0.34
