QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
16092587,16092614,16092608,16092692,16092672,16092694,16092760,16092684,16092821,,1. Locate the player you want to select in the list below ,,,,,,,,
16092587,16092614,16092612,16092692,16092672,16092694,16092760,16092682,16092819,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16092587,16092614,16092610,16092692,16092672,16092694,16092764,16092606,16092821,,3. Paste the ID into the roster position desired ,,,,,,,,
16092587,16092614,16092618,16092692,16092672,16092678,16092760,16092690,16092821,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16092587,16092614,16092608,16092692,16092672,16092676,16092766,16092688,16092821,,5. You can create up to 500 lineups per file ,,,,,,,,
16092587,16092614,16092616,16092692,16092672,16092694,16092760,16092674,16092820,,,,,,,,,,
16092587,16092614,16092606,16092672,16092694,16092700,16092760,16092686,16092822,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16092588,16092614,16092608,16092692,16092672,16092682,16092762,16092680,16092821,,RB,Jonathan Taylor (16092606),Jonathan Taylor,16092606,RB/FLEX,7900,IND@BUF 01/09/2021 01:05PM ET,IND,17.52
16092589,16092614,16092606,16092672,16092694,16092684,16092774,16092678,16092823,,WR,Stefon Diggs (16092672),Stefon Diggs,16092672,WR/FLEX,7700,IND@BUF 01/09/2021 01:05PM ET,BUF,21.85
16092587,16092614,16092606,16092672,16092694,16092678,16092770,16092698,16092818,,QB,Josh Allen (16092587),Josh Allen,16092587,QB,7500,IND@BUF 01/09/2021 01:05PM ET,BUF,27.25
16092591,16092614,16092606,16092692,16092672,16092678,16092772,16092620,16092821,,WR,Chris Godwin (16092674),Chris Godwin,16092674,WR/FLEX,7000,TB@WAS 01/09/2021 08:15PM ET,TB,16.17
16092590,16092614,16092606,16092672,16092684,16092678,16092768,16092702,16092819,,WR,Tyler Lockett (16092676),Tyler Lockett,16092676,WR/FLEX,6900,LAR@SEA 01/09/2021 04:40PM ET,SEA,16.96
