Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2477190722,spacecowboy24 (10/16),0,214.83998,QB Ben Roethlisberger RB Alvin Kamara RB Nick Chubb FLEX Diontae Johnson WR Jarvis Landry WR JuJu Smith-Schuster WR Chase Claypool TE Eric Ebron DST Titans ,,Derrick Henry,RB,48.82%,8.1
2,2477440192,Piratesin13 (2/2),0,211.43999,QB Ben Roethlisberger RB Nick Chubb RB Kareem Hunt FLEX A.J. Brown WR Diontae Johnson WR JuJu Smith-Schuster WR Chase Claypool TE Eric Ebron DST Saints ,,Alvin Kamara,RB,48.60%,19.6
3,2477182533,bigdog83 (19/20),0,210.84,QB Ben Roethlisberger FLEX Nick Chubb RB James Conner RB Kareem Hunt WR Diontae Johnson WR JuJu Smith-Schuster WR Chase Claypool TE Eric Ebron DST Saints ,,Corey Davis,WR,43.71%,0
4,2477371804,mcqueenrc (4/20),0,210.04,QB Ben Roethlisberger RB Alvin Kamara RB Nick Chubb FLEX James Conner WR Diontae Johnson WR Jarvis Landry WR JuJu Smith-Schuster TE Austin Hooper DST Titans ,,Michael Thomas,WR,38.98%,18.3
5,2477334231,NmemoryofStuartScott,0,209.14,QB Ben Roethlisberger RB Alvin Kamara RB Nick Chubb WR Diontae Johnson WR JuJu Smith-Schuster WR Marquise Brown FLEX Austin Hooper TE Eric Ebron DST Saints ,,Lamar Jackson,QB,35.39%,28.76
6,2477134308,bigdog83 (14/20),0,207.74,QB Ben Roethlisberger RB Nick Chubb RB James Conner FLEX A.J. Brown WR Diontae Johnson WR Jarvis Landry WR JuJu Smith-Schuster TE Austin Hooper DST Saints ,,Diontae Johnson,WR,32.94%,25.7
7,2477360636,grindley.c (16/20),0,207.43999,QB Ben Roethlisberger RB Alvin Kamara RB James Conner WR A.J. Brown WR Diontae Johnson FLEX Jarvis Landry WR JuJu Smith-Schuster TE Eric Ebron DST Titans ,,J.K. Dobbins,FLEX,32.33%,10.7
8,2477001618,mm1509 (11/20),0,207.13998,QB Ben Roethlisberger RB Alvin Kamara RB James Conner WR Michael Thomas FLEX Diontae Johnson WR JuJu Smith-Schuster WR Chase Claypool TE Eric Ebron DST Ravens ,,Marquise Brown,WR,31.98%,22.8
9,2477354607,grindley.c (5/20),0,206.54,QB Ben Roethlisberger RB Alvin Kamara RB James Conner WR Michael Thomas WR Diontae Johnson WR JuJu Smith-Schuster FLEX Chase Claypool TE Austin Hooper DST Titans ,,Mark Andrews,TE,30.98%,8.1
9,2477354613,grindley.c (11/20),0,206.53998,QB Ben Roethlisberger RB Alvin Kamara RB Kareem Hunt WR Michael Thomas WR Diontae Johnson WR JuJu Smith-Schuster FLEX Chase Claypool TE Eric Ebron DST Ravens ,,Chase Claypool,WR,29.75%,22.9
11,2477411471,Steffes787,0,203.63998,QB Ben Roethlisberger RB Alvin Kamara RB Kareem Hunt WR A.J. Brown WR JuJu Smith-Schuster WR Marquise Brown FLEX Chase Claypool TE Eric Ebron DST Saints ,,JuJu Smith-Schuster,WR,26.33%,37.7
