CAPT,FLEX,FLEX,FLEX,FLEX,FLEX
Ben Roethlisberger,JuJu Smith-Schuster,Diontae Johnson,Eric Ebron,Jarvis Landry,Benny Snell
Ben Roethlisberger,JuJu Smith-Schuster,Diontae Johnson,Jarvis Landry,Austin Hooper,Donovan Peoples-Jones
Ben Roethlisberger,JuJu Smith-Schuster,Diontae Johnson,Chase Claypool,Austin Hooper,Benny Snell
Ben Roethlisberger,Baker Mayfield,JuJu Smith-Schuster,Diontae Johnson,Austin Hooper,Harrison Bryant
Diontae Johnson,Ben Roethlisberger,JuJu Smith-Schuster,Eric Ebron,Jarvis Landry,Benny Snell
JuJu Smith-Schuster,Ben Roethlisberger,Diontae Johnson,Jarvis Landry,Kareem Hunt,Benny Snell
Jarvis Landry,Ben Roethlisberger,JuJu Smith-Schuster,Diontae Johnson,Kareem Hunt,Benny Snell
JuJu Smith-Schuster,Ben Roethlisberger,Baker Mayfield,Diontae Johnson,Austin Hooper,Donovan Peoples-Jones
Ben Roethlisberger,JuJu Smith-Schuster,Eric Ebron,Jarvis Landry,Austin Hooper,Kareem Hunt
Ben Roethlisberger,JuJu Smith-Schuster,Diontae Johnson,Eric Ebron,Austin Hooper,Rashard Higgins
Ben Roethlisberger,JuJu Smith-Schuster,Chase Claypool,Jarvis Landry,Kareem Hunt,Benny Snell
Diontae Johnson,Ben Roethlisberger,JuJu Smith-Schuster,Jarvis Landry,Austin Hooper,Donovan Peoples-Jones
Ben Roethlisberger,Baker Mayfield,JuJu Smith-Schuster,Chase Claypool,Austin Hooper,Donovan Peoples-Jones
Ben Roethlisberger,Baker Mayfield,JuJu Smith-Schuster,Jarvis Landry,Austin Hooper,James Washington
Ben Roethlisberger,Baker Mayfield,Diontae Johnson,Eric Ebron,Jarvis Landry,Ja'Marcus Bradley
Ben Roethlisberger,Diontae Johnson,Chase Claypool,Jarvis Landry,Rashard Higgins,Benny Snell
Ben Roethlisberger,JuJu Smith-Schuster,Diontae Johnson,Austin Hooper,Kareem Hunt,Pittsburgh Steelers
Ben Roethlisberger,Baker Mayfield,Diontae Johnson,Jarvis Landry,Austin Hooper,Ray-Ray McCloud
Diontae Johnson,Ben Roethlisberger,Baker Mayfield,Jarvis Landry,Austin Hooper,James Washington
Ben Roethlisberger,JuJu Smith-Schuster,Diontae Johnson,Jarvis Landry,Kareem Hunt,Ray-Ray McCloud
Ben Roethlisberger,JuJu Smith-Schuster,Diontae Johnson,Chase Claypool,Rashard Higgins,Donovan Peoples-Jones
