Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Ben Roethlisberger,10400,PIT,QB,CLE,20.07,20.60%
Baker Mayfield,9600,CLE,QB,PIT,15.82,8.70%
JuJu Smith-Schuster,8800,PIT,WR,CLE,14.80,30.90%
Diontae Johnson,9800,PIT,WR,CLE,16.47,30.90%
Eric Ebron,5400,PIT,TE,CLE,9.55,14.90%
Chase Claypool,8600,PIT,WR,CLE,13.43,22.40%
Jarvis Landry,9000,CLE,WR,PIT,14.64,25.50%
James Conner,7800,PIT,RB,CLE,12.31,26.00%
Austin Hooper,4800,CLE,TE,PIT,9.39,12.40%
Cleveland Browns,2800,CLE,DST,PIT,5.75,12.90%
Kareem Hunt,6400,CLE,RB,PIT,10.38,20.30%
Rashard Higgins,5000,CLE,WR,PIT,8.48,11.00%
Pittsburgh Steelers,4600,PIT,DST,CLE,7.27,20.80%
Nick Chubb,10200,CLE,RB,PIT,13.13,21.70%
Donovan Peoples-Jones,2000,CLE,WR,PIT,4.95,4.50%
Benny Snell,1000,PIT,RB,CLE,5.31,0.10%
James Washington,1400,PIT,WR,CLE,3.72,0.90%
David Njoku,1600,CLE,TE,PIT,2.99,3.30%
Harrison Bryant,800,CLE,TE,PIT,2.57,0.10%
Vance McDonald,4000,PIT,TE,CLE,2.57,0.90%
Ray-Ray McCloud,400,PIT,WR,CLE,1.94,0.90%
Ja'Marcus Bradley,200,CLE,WR,PIT,1.88,0.10%
Anthony McFarland,200,PIT,RB,CLE,1.15,2.70%
D'Ernest Johnson,200,CLE,RB,PIT,0.36,0.10%
