CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
16117649,16117654,16117651,16117661,16117653,16117673,,1. Locate the player you want to select in the list below ,,,,,,,,
16117649,16117654,16117651,16117653,16117663,16117670,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16117649,16117654,16117651,16117655,16117663,16117673,,3. Paste the ID into the roster position desired ,,,,,,,,
16117649,16117652,16117654,16117651,16117663,16117674,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16117651,16117649,16117654,16117661,16117653,16117673,,5. You can create up to 500 lineups per file ,,,,,,,,
16117654,16117649,16117651,16117653,16117657,16117673,,,,,,,,,,
16117653,16117649,16117654,16117651,16117657,16117673,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16117654,16117649,16117652,16117651,16117663,16117670,,QB,Ben Roethlisberger (16117649),Ben Roethlisberger,16117649,CPT,15600,CLE@PIT 01/10/2021 08:15PM ET,PIT,19.55
16117649,16117654,16117661,16117653,16117663,16117657,,RB,Nick Chubb (16117650),Nick Chubb,16117650,CPT,15300,CLE@PIT 01/10/2021 08:15PM ET,CLE,18.89
16117649,16117654,16117651,16117661,16117663,16117662,,WR,Diontae Johnson (16117651),Diontae Johnson,16117651,CPT,14700,CLE@PIT 01/10/2021 08:15PM ET,PIT,15.25
16117649,16117654,16117655,16117653,16117657,16117673,,QB,Baker Mayfield (16117652),Baker Mayfield,16117652,CPT,14400,CLE@PIT 01/10/2021 08:15PM ET,CLE,16.66
16117651,16117649,16117654,16117653,16117663,16117670,,WR,Jarvis Landry (16117653),Jarvis Landry,16117653,CPT,13500,CLE@PIT 01/10/2021 08:15PM ET,CLE,12.73
16117649,16117652,16117654,16117655,16117663,16117670,,WR,JuJu Smith-Schuster (16117654),JuJu Smith-Schuster,16117654,CPT,13200,CLE@PIT 01/10/2021 08:15PM ET,PIT,14.69
16117649,16117652,16117654,16117653,16117663,16117672,,WR,Chase Claypool (16117655),Chase Claypool,16117655,CPT,12900,CLE@PIT 01/10/2021 08:15PM ET,PIT,13.87
16117649,16117652,16117651,16117661,16117653,16117681,,RB,James Conner (16117656),James Conner,16117656,CPT,11700,CLE@PIT 01/10/2021 08:15PM ET,PIT,13.35
16117649,16117651,16117655,16117653,16117662,16117673,,QB,Ben Roethlisberger (16117605),Ben Roethlisberger,16117605,FLEX,10400,CLE@PIT 01/10/2021 08:15PM ET,PIT,19.55
16117649,16117654,16117651,16117663,16117657,16117664,,RB,Nick Chubb (16117606),Nick Chubb,16117606,FLEX,10200,CLE@PIT 01/10/2021 08:15PM ET,CLE,18.89
16117649,16117652,16117651,16117653,16117663,16117676,,WR,Diontae Johnson (16117607),Diontae Johnson,16117607,FLEX,9800,CLE@PIT 01/10/2021 08:15PM ET,PIT,15.25
16117651,16117649,16117652,16117653,16117663,16117672,,QB,Baker Mayfield (16117608),Baker Mayfield,16117608,FLEX,9600,CLE@PIT 01/10/2021 08:15PM ET,CLE,16.66
16117649,16117654,16117651,16117653,16117657,16117676,,RB,Kareem Hunt (16117657),Kareem Hunt,16117657,CPT,9600,CLE@PIT 01/10/2021 08:15PM ET,CLE,13.84
16117649,16117654,16117651,16117655,16117662,16117670,,WR,Jarvis Landry (16117609),Jarvis Landry,16117609,FLEX,9000,CLE@PIT 01/10/2021 08:15PM ET,CLE,12.73
,,,,,,,QB,Mason Rudolph (16117658),Mason Rudolph,16117658,CPT,9000,CLE@PIT 01/10/2021 08:15PM ET,PIT,5.59
,,,,,,,QB,Josh Dobbs (16117659),Josh Dobbs,16117659,CPT,9000,CLE@PIT 01/10/2021 08:15PM ET,PIT,2.08
,,,,,,,QB,Case Keenum (16117660),Case Keenum,16117660,CPT,9000,CLE@PIT 01/10/2021 08:15PM ET,CLE,1.84
,,,,,,,WR,JuJu Smith-Schuster (16117610),JuJu Smith-Schuster,16117610,FLEX,8800,CLE@PIT 01/10/2021 08:15PM ET,PIT,14.69
,,,,,,,WR,Chase Claypool (16117611),Chase Claypool,16117611,FLEX,8600,CLE@PIT 01/10/2021 08:15PM ET,PIT,13.87
,,,,,,,TE,Eric Ebron (16117661),Eric Ebron,16117661,CPT,8100,CLE@PIT 01/10/2021 08:15PM ET,PIT,9.52
,,,,,,,RB,James Conner (16117612),James Conner,16117612,FLEX,7800,CLE@PIT 01/10/2021 08:15PM ET,PIT,13.35
,,,,,,,WR,Rashard Higgins (16117662),Rashard Higgins,16117662,CPT,7500,CLE@PIT 01/10/2021 08:15PM ET,CLE,10.32
,,,,,,,TE,Austin Hooper (16117663),Austin Hooper,16117663,CPT,7200,CLE@PIT 01/10/2021 08:15PM ET,CLE,8.73
,,,,,,,DST,Steelers  (16117664),Steelers ,16117664,CPT,6900,CLE@PIT 01/10/2021 08:15PM ET,PIT,9.25
,,,,,,,RB,Kareem Hunt (16117613),Kareem Hunt,16117613,FLEX,6400,CLE@PIT 01/10/2021 08:15PM ET,CLE,13.84
,,,,,,,QB,Mason Rudolph (16117614),Mason Rudolph,16117614,FLEX,6000,CLE@PIT 01/10/2021 08:15PM ET,PIT,5.59
,,,,,,,QB,Josh Dobbs (16117615),Josh Dobbs,16117615,FLEX,6000,CLE@PIT 01/10/2021 08:15PM ET,PIT,2.08
,,,,,,,QB,Case Keenum (16117616),Case Keenum,16117616,FLEX,6000,CLE@PIT 01/10/2021 08:15PM ET,CLE,1.84
,,,,,,,TE,Vance McDonald (16117665),Vance McDonald,16117665,CPT,6000,CLE@PIT 01/10/2021 08:15PM ET,PIT,2.49
