QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Baker Mayfield,Clyde Edwards-Helaire,Leonard Fournette,Michael Thomas,Jarvis Landry,Tyreek Hill,Travis Kelce,Austin Hooper,Cleveland Browns
Patrick Mahomes,Clyde Edwards-Helaire,Leonard Fournette,Michael Thomas,Jarvis Landry,Emmanuel Sanders,Travis Kelce,Mecole Hardman,Tampa Bay Buccaneers
Patrick Mahomes,Clyde Edwards-Helaire,Kareem Hunt,Michael Thomas,Jarvis Landry,Tyreek Hill,Austin Hooper,Mecole Hardman,New Orleans Saints
Patrick Mahomes,Alvin Kamara,Leonard Fournette,Michael Thomas,Tyreek Hill,Mecole Hardman,Austin Hooper,Rob Gronkowski,Tampa Bay Buccaneers
Baker Mayfield,Clyde Edwards-Helaire,Alvin Kamara,Michael Thomas,Jarvis Landry,Rashard Higgins,Travis Kelce,Jared Cook,Tampa Bay Buccaneers
Patrick Mahomes,Clyde Edwards-Helaire,Leonard Fournette,Michael Thomas,Antonio Brown,Demarcus Robinson,Travis Kelce,Austin Hooper,New Orleans Saints
Drew Brees,Clyde Edwards-Helaire,Alvin Kamara,Michael Thomas,Jarvis Landry,Emmanuel Sanders,Travis Kelce,Rob Gronkowski,Cleveland Browns
Patrick Mahomes,Clyde Edwards-Helaire,Alvin Kamara,Michael Thomas,Mecole Hardman,Khadarel Hodge,Travis Kelce,Rob Gronkowski,New Orleans Saints
Baker Mayfield,Clyde Edwards-Helaire,Alvin Kamara,Michael Thomas,Tyreek Hill,Antonio Brown,Austin Hooper,Rashard Higgins,New Orleans Saints
Baker Mayfield,Alvin Kamara,Kareem Hunt,Michael Thomas,Jarvis Landry,Emmanuel Sanders,Travis Kelce,Austin Hooper,New Orleans Saints
Patrick Mahomes,Clyde Edwards-Helaire,Kareem Hunt,Michael Thomas,Jarvis Landry,Demarcus Robinson,Travis Kelce,Rob Gronkowski,Kansas City Chiefs
Patrick Mahomes,Clyde Edwards-Helaire,Kareem Hunt,Jarvis Landry,Tyreek Hill,Rashard Higgins,Travis Kelce,Khadarel Hodge,Tampa Bay Buccaneers
Patrick Mahomes,Clyde Edwards-Helaire,Alvin Kamara,Antonio Brown,Mecole Hardman,Rashard Higgins,Travis Kelce,Austin Hooper,Kansas City Chiefs
Tom Brady,Clyde Edwards-Helaire,Alvin Kamara,Michael Thomas,Jarvis Landry,Antonio Brown,Austin Hooper,Chris Godwin,Cleveland Browns
Patrick Mahomes,Clyde Edwards-Helaire,Alvin Kamara,Jarvis Landry,Tyreek Hill,Antonio Brown,Harrison Bryant,Mecole Hardman,Tampa Bay Buccaneers
Patrick Mahomes,Clyde Edwards-Helaire,Leonard Fournette,Michael Thomas,Tyreek Hill,Khadarel Hodge,Travis Kelce,Harrison Bryant,Kansas City Chiefs
Drew Brees,Leonard Fournette,Kareem Hunt,Michael Thomas,Tyreek Hill,Antonio Brown,Travis Kelce,Emmanuel Sanders,Cleveland Browns
Patrick Mahomes,Leonard Fournette,Kareem Hunt,Michael Thomas,Chris Godwin,Mecole Hardman,Travis Kelce,Austin Hooper,Kansas City Chiefs
Drew Brees,Clyde Edwards-Helaire,Alvin Kamara,Michael Thomas,Tyreek Hill,Chris Godwin,Jared Cook,Mecole Hardman,Cleveland Browns
Patrick Mahomes,Alvin Kamara,Kareem Hunt,Jarvis Landry,Tyreek Hill,Emmanuel Sanders,Austin Hooper,Demarcus Robinson,Tampa Bay Buccaneers
