Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Drew Brees,5600.00,NOS,QB,TBB,18,0.00
Tom Brady,6300.00,TBB,QB,NOS,19.24,0.00
Michael Thomas,6700.00,NOS,WR,TBB,19.99,0.00
Alvin Kamara,7900.00,NOS,RB,TBB,21.39,0.00
Antonio Brown,5400.00,TBB,WR,NOS,13.36,0.00
Leonard Fournette,4900.00,TBB,RB,NOS,12.05,0.00
Chris Godwin,6100.00,TBB,WR,NOS,14.32,0.00
Emmanuel Sanders,4500.00,NOS,WR,TBB,10.3,0.00
Mike Evans,6400.00,TBB,WR,NOS,14.2,0.00
Jared Cook,4000.00,NOS,TE,TBB,8.63,0.00
Rob Gronkowski,3600.00,TBB,TE,NOS,7.75,0.00
New Orleans Saints,3300.00,NOS,DST,TBB,6.6,0.00
Tampa Bay Buccaneers,3100.00,TBB,DST,NOS,6.18,0.00
Latavius Murray,4300.00,NOS,RB,TBB,7.22,0.00
Ronald Jones,5200.00,TBB,RB,NOS,8.69,0.00
Deonte Harris,3500.00,NOS,WR,TBB,5.19,0.00
Marquez Callaway,3100.00,NOS,WR,TBB,3.58,0.00
Taysom Hill,5000.00,NOS,QB,TBB,4.92,0.00
Cameron Brate,2900.00,TBB,TE,NOS,2.68,0.00
Scotty Miller,3400.00,TBB,WR,NOS,2.88,0.00
Josh Hill,2500.00,NOS,TE,TBB,1.22,0.00
Adam Trautman,2500.00,NOS,TE,TBB,0.94,0.00
Tanner Hudson,2500.00,TBB,TE,NOS,0.61,0.00
Tyler Johnson,3000.00,TBB,WR,NOS,0.59,0.00
Lil'Jordan Humphrey,3000.00,NOS,WR,TBB,0.3,0.00
Ke'Shawn Vaughn,4000.00,TBB,RB,NOS,0.39,0.00
Dwayne Washington,4000.00,NOS,RB,TBB,0.21,0.00
