QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
16186786,16186807,16186797,16186855,16186847,16186841,16186895,16186851,16186940,,1. Locate the player you want to select in the list below ,,,,,,,,
16186786,16186807,16186801,16186855,16186843,16186841,16186895,16186851,16186939,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16186785,16186807,16186797,16186855,16186847,16186841,16186897,16186895,16186938,,3. Paste the ID into the roster position desired ,,,,,,,,
16186785,16186807,16186801,16186855,16186843,16186841,16186897,16186895,16186940,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16186786,16186807,16186801,16186855,16186847,16186843,16186895,16186845,16186940,,5. You can create up to 500 lineups per file ,,,,,,,,
16186785,16186807,16186801,16186855,16186847,16186841,16186895,16186851,16186937,,,,,,,,,,
16186786,16186807,16186797,16186855,16186843,16186841,16186903,16186839,16186940,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16186786,16186807,16186801,16186855,16186843,16186841,16186897,16186839,16186937,,TE,Travis Kelce (16186895),Travis Kelce,16186895,TE/FLEX,8000,BUF@KC 01/24/2021 06:40PM ET,KC,22.48
16186785,16186807,16186797,16186855,16186847,16186843,16186895,16186857,16186940,,WR,Davante Adams (16186839),Davante Adams,16186839,WR/FLEX,8000,TB@GB 01/24/2021 03:05PM ET,GB,26.8
16186786,16186807,16186799,16186847,16186843,16186851,16186895,16186845,16186939,,QB,Patrick Mahomes (16186785),Patrick Mahomes,16186785,QB,7600,BUF@KC 01/24/2021 06:40PM ET,KC,26.94
16186787,16186807,16186801,16186847,16186843,16186841,16186897,16186839,16186939,,WR,Tyreek Hill (16186841),Tyreek Hill,16186841,WR/FLEX,7200,BUF@KC 01/24/2021 06:40PM ET,KC,22.55
16186786,16186807,16186797,16186855,16186847,16186843,16186897,16186895,16186937,,WR,Stefon Diggs (16186843),Stefon Diggs,16186843,WR/FLEX,7000,BUF@KC 01/24/2021 06:40PM ET,BUF,22.5
