QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Duke Johnson,Tyler Lockett,Stefon Diggs,Christian Kirk,Evan Engram,Aaron Jones,Los Angeles Rams
Kyler Murray,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,Keenan Allen,Dallas Goedert,Larry Fitzgerald,New Orleans Saints
Josh Allen,Mike Davis,Miles Sanders,Jakeem Grant,Stefon Diggs,Terry McLaurin,Hunter Henry,DeAndre Hopkins,New Orleans Saints
Derek Carr,Mike Davis,Aaron Jones,Tyler Lockett,Robby Anderson,Jerry Jeudy,Darren Waller,Miles Sanders,New Orleans Saints
Jared Goff,Mike Davis,Duke Johnson,DeVante Parker,Tyler Lockett,Cooper Kupp,Noah Fant,Alvin Kamara,New Orleans Saints
Kyler Murray,Mike Davis,Duke Johnson,Stefon Diggs,D.J. Moore,Diontae Johnson,Noah Fant,DeAndre Hopkins,Detroit Lions
Justin Herbert,Mike Davis,Duke Johnson,DeVante Parker,Robby Anderson,Davante Adams,Hunter Henry,Aaron Jones,Cleveland Browns
Josh Allen,Mike Davis,D'Andre Swift,Stefon Diggs,Robby Anderson,Larry Fitzgerald,Noah Fant,Alvin Kamara,Miami Dolphins
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,DeAndre Hopkins,John Brown,Jacob Hollister,Alvin Kamara,Detroit Lions
Carson Wentz,Mike Davis,Aaron Jones,Allen Lazard,Davante Adams,Jalen Reagor,Evan Engram,Alvin Kamara,New Orleans Saints
Tua Tagovailoa,Mike Davis,Aaron Jones,Jakeem Grant,Tyler Lockett,Keenan Allen,Noah Fant,Davante Adams,Miami Dolphins
Carson Wentz,Mike Davis,Duke Johnson,Stefon Diggs,Terry McLaurin,Davante Adams,Dallas Goedert,Darius Slayton,Miami Dolphins
Justin Herbert,Mike Davis,Duke Johnson,Jakeem Grant,Stefon Diggs,Keenan Allen,Darren Waller,Alvin Kamara,New York Giants
Josh Allen,Mike Davis,Duke Johnson,Robby Anderson,Keenan Allen,DeAndre Hopkins,Dallas Goedert,Cole Beasley,Green Bay Packers
Jared Goff,Mike Davis,Aaron Jones,D.J. Moore,Cooper Kupp,D.K. Metcalf,Dallas Goedert,Miles Sanders,Los Angeles Rams
Russell Wilson,Mike Davis,Duke Johnson,Keenan Allen,Terry McLaurin,Cooper Kupp,Jacob Hollister,Aaron Jones,Los Angeles Chargers
Kyler Murray,Mike Davis,Aaron Jones,Tyler Lockett,DeAndre Hopkins,Cole Beasley,Hunter Henry,D'Andre Swift,Los Angeles Chargers
Kyler Murray,Mike Davis,Duke Johnson,Tyler Lockett,Larry Fitzgerald,Davante Adams,Darren Waller,John Brown,Denver Broncos
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,Diontae Johnson,Josh Reynolds,Dallas Goedert,Alvin Kamara,Philadelphia Eagles
Tom Brady,Mike Davis,Aaron Jones,Stefon Diggs,D.J. Moore,Davante Adams,Jacob Hollister,Chris Godwin,Denver Broncos
