QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Denzel Mims,Tyler Lockett,D.K. Metcalf,Darren Waller,Larry Fitzgerald,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Tyler Lockett,Greg Olsen,DeAndre Hopkins,Jacksonville Jaguars
Russell Wilson,Duke Johnson,Dalvin Cook,Jakobi Meyers,Adam Thielen,Tyler Lockett,Evan Baylis,D.K. Metcalf,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Logan Thomas,DeAndre Hopkins,Denver Broncos
Kirk Cousins,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Amari Cooper,Adam Thielen,Darren Waller,Justin Jefferson,Cincinnati Bengals
P.J. Walker,Duke Johnson,Dalvin Cook,Curtis Samuel,Adam Thielen,Robby Anderson,Darren Waller,Kenny Golladay,Cincinnati Bengals
Deshaun Watson,Duke Johnson,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Brandin Cooks,Mark Andrews,Will Fuller,Washington Football Team
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Evan Baylis,Aaron Jones,Washington Football Team
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,D.J. Moore,Davante Adams,Mark Andrews,Kenny Golladay,Cincinnati Bengals
Kyler Murray,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,D.K. Metcalf,Evan Baylis,DeAndre Hopkins,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Giovani Bernard,Jakobi Meyers,Tyler Lockett,D.K. Metcalf,Robert Tonyan,DeAndre Hopkins,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Tyler Lockett,Dan Arnold,D.K. Metcalf,Las Vegas Raiders
Deshaun Watson,Dalvin Cook,James Conner,Jakobi Meyers,Brandin Cooks,Adam Thielen,Jordan Akins,Tyler Lockett,Cincinnati Bengals
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,Robby Anderson,DeAndre Hopkins,T.J. Hockenson,James Conner,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Adam Thielen,Tyler Lockett,DeAndre Hopkins,Greg Olsen,James Conner,Cincinnati Bengals
P.J. Walker,Dalvin Cook,James Conner,Curtis Samuel,Jakobi Meyers,D.J. Moore,Darren Waller,Kenny Golladay,Washington Football Team
Russell Wilson,Carlos Hyde,James Conner,Adam Thielen,Tyler Lockett,D.K. Metcalf,Mark Andrews,Larry Fitzgerald,Denver Broncos
Derek Carr,Carlos Hyde,Duke Johnson,Adam Thielen,Hunter Renfrow,Tyreek Hill,Darren Waller,Dalvin Cook,Cincinnati Bengals
Russell Wilson,Duke Johnson,James Conner,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Darren Waller,Larry Fitzgerald,Atlanta Falcons
Russell Wilson,Carlos Hyde,Dalvin Cook,Jakeem Grant,Tyler Lockett,DeAndre Hopkins,Mark Andrews,David Moore,Cincinnati Bengals
