QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Lamar Jackson,Alvin Kamara,James Conner,Michael Thomas,Corey Davis,Marquise Brown,Mark Andrews,Jonnu Smith,Pittsburgh Steelers
Ben Roethlisberger,Alvin Kamara,David Montgomery,Michael Thomas,Corey Davis,JuJu Smith-Schuster,Eric Ebron,Jarvis Landry,Tennessee Titans
Lamar Jackson,David Montgomery,Gus Edwards,Michael Thomas,Corey Davis,Marquise Brown,Mark Andrews,Allen Robinson,Cleveland Browns
Mitchell Trubisky,Alvin Kamara,David Montgomery,Michael Thomas,Corey Davis,Diontae Johnson,Cole Kmet,Allen Robinson,Tennessee Titans
Ben Roethlisberger,Alvin Kamara,James Conner,Michael Thomas,JuJu Smith-Schuster,Diontae Johnson,Mark Andrews,Austin Hooper,Baltimore Ravens
Lamar Jackson,David Montgomery,James Conner,Corey Davis,Marquise Brown,JuJu Smith-Schuster,Mark Andrews,Diontae Johnson,Chicago Bears
Ryan Tannehill,Alvin Kamara,David Montgomery,Michael Thomas,Corey Davis,Jarvis Landry,Mark Andrews,Jonnu Smith,Cleveland Browns
Ben Roethlisberger,Alvin Kamara,Derrick Henry,Michael Thomas,JuJu Smith-Schuster,Chase Claypool,Cole Kmet,Austin Hooper,Tennessee Titans
Mitchell Trubisky,Alvin Kamara,Derrick Henry,Michael Thomas,JuJu Smith-Schuster,Allen Robinson,Jonnu Smith,Anthony Miller,Tennessee Titans
Ben Roethlisberger,James Conner,Derrick Henry,Michael Thomas,JuJu Smith-Schuster,Diontae Johnson,Jonnu Smith,Jarvis Landry,Tennessee Titans
Lamar Jackson,Alvin Kamara,Derrick Henry,Corey Davis,Marquise Brown,Anthony Miller,Mark Andrews,Cole Kmet,Cleveland Browns
Drew Brees,Alvin Kamara,Derrick Henry,Michael Thomas,Corey Davis,Allen Robinson,Eric Ebron,Marquez Callaway,Tennessee Titans
Ben Roethlisberger,David Montgomery,Kareem Hunt,Michael Thomas,Diontae Johnson,Chase Claypool,Mark Andrews,Jarvis Landry,Baltimore Ravens
Ben Roethlisberger,Alvin Kamara,Gus Edwards,Michael Thomas,Marquise Brown,Diontae Johnson,Eric Ebron,Jarvis Landry,Baltimore Ravens
Lamar Jackson,Derrick Henry,Gus Edwards,Corey Davis,Marquise Brown,Diontae Johnson,Mark Andrews,Jonnu Smith,New Orleans Saints
Drew Brees,David Montgomery,Derrick Henry,Michael Thomas,JuJu Smith-Schuster,Diontae Johnson,Cole Kmet,Emmanuel Sanders,Tennessee Titans
Ben Roethlisberger,David Montgomery,Derrick Henry,Michael Thomas,Corey Davis,Diontae Johnson,David Njoku,Chase Claypool,Tennessee Titans
Lamar Jackson,David Montgomery,Derrick Henry,Michael Thomas,Corey Davis,Dez Bryant,Mark Andrews,Cole Kmet,Pittsburgh Steelers
Drew Brees,Alvin Kamara,David Montgomery,Michael Thomas,Diontae Johnson,Anthony Miller,Mark Andrews,Jared Cook,Baltimore Ravens
Mitchell Trubisky,Alvin Kamara,James Conner,Michael Thomas,Diontae Johnson,Allen Robinson,Mark Andrews,Anthony Miller,Pittsburgh Steelers
