QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,DeAndre Hopkins,Dawson Knox,Duke Johnson,New Orleans Saints
Justin Herbert,Mike Davis,Aaron Jones,Jakeem Grant,Tyler Lockett,Keenan Allen,Hunter Henry,Alvin Kamara,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Stefon Diggs,Michael Thomas,Larry Fitzgerald,Dallas Goedert,Christian Kirk,Los Angeles Rams
Jared Goff,Mike Davis,Aaron Jones,Tyler Lockett,Josh Reynolds,Terry McLaurin,Darren Waller,Cooper Kupp,Miami Dolphins
Aaron Rodgers,Mike Davis,Aaron Jones,Tyler Lockett,Robby Anderson,Keelan Cole,Robert Tonyan,Davante Adams,Denver Broncos
Tom Brady,Mike Davis,Aaron Jones,D.J. Moore,Stefon Diggs,Chris Godwin,Rob Gronkowski,Miles Sanders,Cleveland Browns
Drew Lock,Mike Davis,Aaron Jones,Jerry Jeudy,D.K. Metcalf,Henry Ruggs,Noah Fant,Alvin Kamara,Detroit Lions
Ben Roethlisberger,Mike Davis,Aaron Jones,Stefon Diggs,Chase Claypool,JuJu Smith-Schuster,Drew Sample,James Conner,Green Bay Packers
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,Diontae Johnson,Robert Woods,Jacob Hollister,Josh Jacobs,Philadelphia Eagles
Deshaun Watson,Mike Davis,Aaron Jones,Stefon Diggs,Brandin Cooks,Will Fuller,Austin Hooper,D'Andre Swift,Los Angeles Chargers
Carson Wentz,Mike Davis,Aaron Jones,Stefon Diggs,Jalen Reagor,Travis Fulgham,Evan Engram,Antonio Gibson,Pittsburgh Steelers
Joe Burrow,Mike Davis,Aaron Jones,Tee Higgins,DJ Chark,Tyler Boyd,Eric Ebron,Alvin Kamara,Houston Texans
Drew Brees,Mike Davis,Aaron Jones,Michael Thomas,Brandon Aiyuk,Emmanuel Sanders,T.J. Hockenson,James Robinson,New York Giants
Josh Allen,Aaron Jones,Jerick McKinnon,A.J. Green,DeAndre Hopkins,John Brown,Mike Gesicki,Cole Beasley,Tampa Bay Buccaneers
Matthew Stafford,Aaron Jones,Alvin Kamara,Curtis Samuel,Davante Adams,Danny Amendola,Logan Thomas,Marvin Jones,Seattle Seahawks
Baker Mayfield,Mike Davis,Aaron Jones,Davante Adams,Jarvis Landry,Rashard Higgins,Jordan Akins,Nick Chubb,Washington Football Team
Derek Carr,Aaron Jones,Giovani Bernard,Davante Adams,Tim Patrick,Hunter Renfrow,Darren Waller,Leonard Fournette,Arizona Cardinals
Daniel Jones,Aaron Jones,Alvin Kamara,Davante Adams,Darius Slayton,Sterling Shepard,Richard Rodgers,Mike Williams,Carolina Panthers
Nick Mullens,Aaron Jones,Wayne Gallman,Michael Thomas,Davante Adams,Richie James,Jordan Reed,Kareem Hunt,Las Vegas Raiders
Jake Luton,Aaron Jones,Alvin Kamara,Chris Conley,Davante Adams,Mike Evans,Tyler Eifert,Melvin Gordon,Buffalo Bills
