QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Russell Wilson,Carlos Hyde,Duke Johnson,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Logan Thomas,DeAndre Hopkins,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Dallas Goedert,DeAndre Hopkins,Las Vegas Raiders
Russell Wilson,Duke Johnson,James Conner,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Darren Waller,Larry Fitzgerald,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Melvin Gordon,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Dallas Goedert,DeAndre Hopkins,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Tyler Lockett,Terry McLaurin,D.K. Metcalf,Darren Waller,Larry Fitzgerald,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,James Conner,Curtis Samuel,Brandin Cooks,Will Fuller,Darren Waller,Davante Adams,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Curtis Samuel,Keenan Allen,D.K. Metcalf,Greg Olsen,DeAndre Hopkins,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Giovani Bernard,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Logan Thomas,DeAndre Hopkins,Denver Broncos
Russell Wilson,Carlos Hyde,James Conner,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Darren Waller,Larry Fitzgerald,Miami Dolphins
Russell Wilson,Carlos Hyde,Kalen Ballage,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Robert Tonyan,DeAndre Hopkins,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Jakeem Grant,Tyler Lockett,D.K. Metcalf,Noah Fant,DeAndre Hopkins,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Tyler Lockett,D.K. Metcalf,Larry Fitzgerald,Darren Waller,James Conner,Detroit Lions
Russell Wilson,Carlos Hyde,James Conner,Tyler Lockett,D.K. Metcalf,Larry Fitzgerald,Darren Waller,Antonio Gibson,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Robert Tonyan,DeAndre Hopkins,Houston Texans
Deshaun Watson,Duke Johnson,James Conner,Curtis Samuel,Brandin Cooks,Keenan Allen,Darren Waller,Will Fuller,Cincinnati Bengals
Justin Herbert,Carlos Hyde,Duke Johnson,Curtis Samuel,Keenan Allen,Terry McLaurin,Hunter Henry,D.K. Metcalf,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Antonio Gibson,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Logan Thomas,DeAndre Hopkins,Jacksonville Jaguars
Russell Wilson,Carlos Hyde,D'Andre Swift,Robby Anderson,Tyler Lockett,D.K. Metcalf,Darren Waller,Larry Fitzgerald,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Aaron Jones,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Darren Waller,Larry Fitzgerald,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Brandin Cooks,Tyler Lockett,D.K. Metcalf,Logan Thomas,DeAndre Hopkins,Las Vegas Raiders
