QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Jakobi Meyers,Tyler Lockett,D.K. Metcalf,Logan Thomas,DeAndre Hopkins,Cincinnati Bengals
Kirk Cousins,Carlos Hyde,Dalvin Cook,Curtis Samuel,Amari Cooper,Adam Thielen,Darren Waller,Justin Jefferson,Cincinnati Bengals
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,D.J. Moore,Davante Adams,Mark Andrews,Kenny Golladay,Cincinnati Bengals
Alex Smith,Carlos Hyde,Dalvin Cook,Adam Thielen,Tyler Boyd,Terry McLaurin,Logan Thomas,James Conner,Detroit Lions
Kyler Murray,Carlos Hyde,Dalvin Cook,Jakeem Grant,Tyler Lockett,Larry Fitzgerald,Dallas Goedert,DeAndre Hopkins,Denver Broncos
Derek Carr,Carlos Hyde,Dalvin Cook,Curtis Samuel,Hunter Renfrow,Tyreek Hill,Darren Waller,D'Andre Swift,Washington Football Team
Lamar Jackson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Corey Davis,Marquise Brown,Mark Andrews,Aaron Jones,Las Vegas Raiders
Russell Wilson,Dalvin Cook,Antonio Gibson,Tyler Lockett,DeVante Parker,D.K. Metcalf,Evan Baylis,Giovani Bernard,Jacksonville Jaguars
Cam Newton,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Damiere Byrd,Travis Kelce,Mike Davis,Carolina Panthers
Tom Brady,Carlos Hyde,Dalvin Cook,Curtis Samuel,Adam Thielen,Cooper Kupp,Rob Gronkowski,Chris Godwin,Houston Texans
Matt Ryan,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Michael Thomas,Hayden Hurst,Calvin Ridley,New York Jets
Russell Wilson,Dalvin Cook,Melvin Gordon,Denzel Mims,Tyler Lockett,DeAndre Hopkins,Noah Fant,David Moore,Atlanta Falcons
Joe Burrow,Carlos Hyde,Dalvin Cook,A.J. Green,Terry McLaurin,Tee Higgins,Mark Andrews,Ezekiel Elliott,Miami Dolphins
Ben Roethlisberger,Carlos Hyde,Dalvin Cook,Adam Thielen,Diontae Johnson,JuJu Smith-Schuster,Tyler Eifert,James Robinson,Cincinnati Bengals
Philip Rivers,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Davante Adams,Michael Pittman,Trey Burton,Miles Sanders,New England Patriots
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Randall Cobb,Julio Jones,Jordan Akins,Alvin Kamara,Tennessee Titans
Patrick Mahomes,Carlos Hyde,Dalvin Cook,Curtis Samuel,Henry Ruggs,Jarvis Landry,Travis Kelce,Sammy Watkins,Philadelphia Eagles
Jared Goff,Carlos Hyde,Dalvin Cook,Adam Thielen,Josh Reynolds,Robert Woods,Darren Waller,Mike Evans,New Orleans Saints
Russell Wilson,Dalvin Cook,DeeJay Dallas,Michael Gallup,D.K. Metcalf,DeAndre Hopkins,Greg Olsen,La'Mical Perine,Cleveland Browns
