QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Deshaun Watson,Duke Johnson,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Brandin Cooks,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Jakobi Meyers,Tyler Lockett,D.K. Metcalf,Logan Thomas,DeAndre Hopkins,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Adam Thielen,Darren Waller,Will Fuller,Las Vegas Raiders
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Will Fuller,Mark Andrews,James Conner,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Denzel Mims,Tyler Lockett,D.K. Metcalf,Darren Waller,Larry Fitzgerald,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Amari Cooper,Darren Waller,Will Fuller,Washington Football Team
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Tyler Lockett,Greg Olsen,DeAndre Hopkins,Jacksonville Jaguars
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Dallas Goedert,Larry Fitzgerald,Detroit Lions
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Tyler Lockett,Dan Arnold,D.K. Metcalf,Houston Texans
Russell Wilson,Dalvin Cook,Aaron Jones,Curtis Samuel,Jakobi Meyers,Tyler Lockett,Evan Baylis,D.K. Metcalf,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Randall Cobb,Darren Waller,Davante Adams,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Will Fuller,Darren Waller,Antonio Gibson,Denver Broncos
Kirk Cousins,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Amari Cooper,Adam Thielen,Darren Waller,Justin Jefferson,Cincinnati Bengals
P.J. Walker,Duke Johnson,Dalvin Cook,Curtis Samuel,Adam Thielen,Robby Anderson,Darren Waller,Kenny Golladay,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,D.J. Moore,Darren Waller,Will Fuller,Carolina Panthers
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Noah Fant,Larry Fitzgerald,New York Jets
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,DeAndre Hopkins,Austin Hooper,David Moore,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Tyler Lockett,Tyler Boyd,Terry McLaurin,Evan Baylis,D.K. Metcalf,Cincinnati Bengals
Deshaun Watson,Dalvin Cook,Giovani Bernard,Curtis Samuel,Jakobi Meyers,Brandin Cooks,Darren Waller,Will Fuller,Atlanta Falcons
