QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,John Brown,Hunter Henry,Duke Johnson,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Robby Anderson,Cole Beasley,Darren Waller,Duke Johnson,Los Angeles Rams
Josh Allen,Mike Davis,Aaron Jones,Jakeem Grant,Stefon Diggs,Terry McLaurin,Dawson Knox,Alvin Kamara,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Keenan Allen,Larry Fitzgerald,DeAndre Hopkins,Dallas Goedert,Duke Johnson,New Orleans Saints
Drew Lock,Mike Davis,Aaron Jones,Stefon Diggs,Michael Thomas,Jerry Jeudy,Noah Fant,Duke Johnson,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,Cooper Kupp,Austin Hooper,John Brown,Miami Dolphins
Josh Allen,Mike Davis,Aaron Jones,D.J. Moore,Stefon Diggs,John Brown,Evan Engram,Miles Sanders,Detroit Lions
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Diontae Johnson,Davante Adams,Logan Thomas,Gabriel Davis,New Orleans Saints
Carson Wentz,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Jalen Reagor,Dallas Goedert,James Conner,Green Bay Packers
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,D.K. Metcalf,John Brown,Robert Tonyan,D'Andre Swift,Seattle Seahawks
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Chris Godwin,Jacob Hollister,Duke Johnson,Philadelphia Eagles
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Curtis Samuel,John Brown,Mike Gesicki,Josh Jacobs,Cleveland Browns
Joe Burrow,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Tee Higgins,Drew Sample,Alvin Kamara,Los Angeles Chargers
Ben Roethlisberger,Mike Davis,Aaron Jones,Stefon Diggs,Chase Claypool,JuJu Smith-Schuster,Darren Waller,Duke Johnson,Houston Texans
Jared Goff,Mike Davis,Aaron Jones,Stefon Diggs,Josh Reynolds,Cooper Kupp,T.J. Hockenson,Duke Johnson,Pittsburgh Steelers
Kyler Murray,Mike Davis,Aaron Jones,Stefon Diggs,A.J. Green,Christian Kirk,Dan Arnold,Alvin Kamara,Denver Broncos
Deshaun Watson,Mike Davis,Aaron Jones,Stefon Diggs,Darius Slayton,Brandin Cooks,Jordan Akins,Alvin Kamara,New Orleans Saints
Derek Carr,Mike Davis,Aaron Jones,Stefon Diggs,Keenan Allen,Henry Ruggs,Darren Waller,Antonio Gibson,New York Giants
Justin Herbert,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,DJ Chark,Hunter Henry,Mike Williams,Carolina Panthers
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,John Brown,Sterling Shepard,Eric Ebron,Robert Woods,Las Vegas Raiders
