QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Russell Wilson,Carlos Hyde,Duke Johnson,Curtis Samuel,Robby Anderson,Tyler Lockett,Darren Waller,D.K. Metcalf,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Tyler Lockett,Logan Thomas,D.K. Metcalf,Jacksonville Jaguars
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,Adam Thielen,Robby Anderson,Darren Waller,Terry McLaurin,Cincinnati Bengals
Russell Wilson,Carlos Hyde,James Conner,Curtis Samuel,Jakobi Meyers,Tyler Lockett,Mark Andrews,D.K. Metcalf,Washington Football Team
Russell Wilson,Carlos Hyde,Dalvin Cook,Jakeem Grant,Amari Cooper,Tyler Lockett,Dallas Goedert,D.K. Metcalf,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Denzel Mims,Tyler Lockett,Noah Fant,D.K. Metcalf,Denver Broncos
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
P.J. Walker,Carlos Hyde,Duke Johnson,Curtis Samuel,D.J. Moore,Davante Adams,Darren Waller,Dalvin Cook,Las Vegas Raiders
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,A.J. Green,Tyler Lockett,Austin Hooper,D.K. Metcalf,Detroit Lions
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Justin Jefferson,Tyler Lockett,Greg Olsen,Mike Davis,Cincinnati Bengals
Kyler Murray,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Larry Fitzgerald,Noah Fant,DeAndre Hopkins,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Giovani Bernard,Curtis Samuel,Tyler Lockett,Tyler Boyd,Darren Waller,D.K. Metcalf,Houston Texans
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Anthony Firkser,Antonio Gibson,New York Jets
Lamar Jackson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Adam Thielen,Mark Andrews,Marquise Brown,Carolina Panthers
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,David Moore,Darren Waller,D'Andre Swift,Atlanta Falcons
Derek Carr,Carlos Hyde,Dalvin Cook,Curtis Samuel,D.K. Metcalf,Henry Ruggs,Darren Waller,Aaron Jones,Cincinnati Bengals
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,Robby Anderson,DeVante Parker,Darren Waller,Cooper Kupp,Miami Dolphins
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Robert Tonyan,DeeJay Dallas,New England Patriots
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Robby Anderson,Travis Kelce,Ezekiel Elliott,Tennessee Titans
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,Michael Gallup,Mike Gesicki,D.K. Metcalf,Seattle Seahawks
