first_name,last_name,position,reg_line,pp_line,game_date,team,opp,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Frederik,Andersen,G,1,,2019-10-02,TOR,OTT,6.5,4,8400,2,0.0,14.3,22.8,20.2,2.4,,
Auston,Matthews,C,2,1,2019-10-02,TOR,OTT,6.5,4,7700,24,4.5,20.1,33.0,15.5,2.0,,
Jacob,Markstrom,G,1,,2019-10-02,VAN,EDM,6,2.9,7200,16,-4.2,10.1,28.6,15.2,2.1,,
Marc-Andre,Fleury,G,1,,2019-10-02,VGK,SJS,6.5,3.7,8100,20,2.8,14.6,29.6,15.1,1.9,,
Braden,Holtby,G,1,,2019-10-02,WSH,STL,5.5,2.5,7700,4,7.7,15.2,31.0,14.9,1.9,,
Jordan,Binnington,G,1,,2019-10-02,STL,WSH,5.5,3,7800,15,-7.7,13.6,32.1,14.5,1.9,,
Mike,Smith,G,1,,2019-10-02,EDM,VAN,6,3.2,7400,14,1.4,18.2,28.2,13.9,1.9,,
Alex,Ovechkin,W,1,1,2019-10-02,WSH,STL,5.5,2.5,8000,3,11.5,14.3,22.5,13.8,1.7,,
John,Tavares,C,1,1,2019-10-02,TOR,OTT,6.5,4,7500,24,4.5,8.2,14.5,13.2,1.8,,
Connor,McDavid,C,1,1,2019-10-02,EDM,VAN,6,3.2,8100,28,3.0,6.6,13.0,12.7,1.6,,
Martin,Jones,G,1,,2019-10-02,SJS,VGK,6.5,2.8,7300,17,-4.2,5.0,11.6,12.4,1.7,,
Leon,Draisaitl,W,2,1,2019-10-02,EDM,VAN,6,3.2,7000,4,3.0,12.8,35.0,12.4,1.8,,
Brent,Burns,D,2,1,2019-10-02,SJS,VGK,6.5,2.8,7000,15,4.0,9.6,13.0,12.2,1.7,,
Mitchell,Marner,W,1,1,2019-10-02,TOR,OTT,6.5,4,6600,12,0.0,7.5,18.5,12.2,1.8,,
Jonathan,Marchessault,W,1,2,2019-10-02,VGK,SJS,6.5,3.7,6400,26,11.5,19.2,26.5,11.6,1.8,,
Morgan,Rielly,D,1,1,2019-10-02,TOR,OTT,6.5,4,6200,24,2.0,16.2,27.0,11.4,1.8,,
Thomas,Chabot,D,1,1,2019-10-02,OTT,TOR,6.5,2.5,5800,21,3.5,7.2,14.0,11.2,1.9,,
Elias,Pettersson,C,1,1,2019-10-02,VAN,EDM,6,2.9,6300,30,2.0,6.0,15.5,11.1,1.8,,
Craig,Anderson,G,1,,2019-10-02,OTT,TOR,6.5,2.5,6800,18,-7.7,14.4,37.5,11.0,1.6,,
Mark,Stone,W,2,1,2019-10-02,VGK,SJS,6.5,3.7,6900,26,1.0,15.4,44.5,11.0,1.6,,
Erik,Karlsson,D,1,1,2019-10-02,SJS,VGK,6.5,2.8,6000,15,0.5,11.3,23.5,10.5,1.8,,
William,Nylander,W,2,2,2019-10-02,TOR,OTT,6.5,4,5500,12,0.0,4.1,7.0,10.5,1.9,,
John,Carlson,D,1,1,2019-10-02,WSH,STL,5.5,2.5,5900,19,3.5,9.9,18.0,10.5,1.8,,
Brock,Boeser,W,1,1,2019-10-02,VAN,EDM,6,2.9,5800,10,3.5,10.4,16.0,10.4,1.8,,
Alex,Pietrangelo,D,1,1,2019-10-02,STL,WSH,5.5,3,5500,31,3.0,13.7,23.0,10.1,1.8,,
Tomas,Hertl,C,2,1,2019-10-02,SJS,VGK,6.5,2.8,5900,31,0.0,3.8,12.0,10.0,1.7,,
Vladimir,Tarasenko,W,1,2,2019-10-02,STL,WSH,5.5,3,6700,27,4.5,10.7,22.5,9.8,1.5,,
Bo,Horvat,C,2,2,2019-10-02,VAN,EDM,6,2.9,4800,30,2.0,5.4,10.0,9.8,2.0,,
William,Karlsson,C,1,2,2019-10-02,VGK,SJS,6.5,3.7,6100,15,2.0,10.2,19.0,9.8,1.6,,
Logan,Couture,C,1,1,2019-10-02,SJS,VGK,6.5,2.8,5800,31,3.5,12.2,25.5,9.7,1.7,,
Tyson,Barrie,D,2,2,2019-10-02,TOR,OTT,6.5,4,5600,24,0.5,3.7,6.0,9.7,1.7,,
Brady,Tkachuk,W,1,1,2019-10-02,OTT,TOR,6.5,2.5,5200,21,1.5,9.9,17.0,9.6,1.8,,
Ryan,O'Reilly,C,2,1,2019-10-02,STL,WSH,5.5,3,5500,1,6.5,17.7,30.0,9.6,1.7,,
Alexander,Edler,D,1,1,2019-10-02,VAN,EDM,6,2.9,5100,13,5.5,13.0,18.5,9.6,1.9,,
Timo,Meier,W,1,1,2019-10-02,SJS,VGK,6.5,2.8,5900,9,0.5,4.9,11.0,9.4,1.6,,
Ryan,Nugent-Hopkins,C,2,1,2019-10-02,EDM,VAN,6,3.2,5300,28,0.0,6.8,12.5,9.4,1.8,,
Nicklas,Backstrom,C,1,1,2019-10-02,WSH,STL,5.5,2.5,6600,18,1.5,8.9,33.5,9.2,1.4,,
Andreas,Johnsson,W,2,1,2019-10-02,TOR,OTT,6.5,4,5400,12,1.5,7.4,18.0,9.2,1.7,,
Shea,Theodore,D,2,1,2019-10-02,VGK,SJS,6.5,3.7,5300,11,4.0,12.2,17.0,8.9,1.7,,
Brayden,Schenn,C,1,2,2019-10-02,STL,WSH,5.5,3,4700,1,0.0,7.4,18.0,8.8,1.9,,
T.J.,Oshie,W,2,1,2019-10-02,WSH,STL,5.5,2.5,5700,3,0.0,5.4,21.0,8.8,1.5,,
Justin,Faulk,D,1,1,2019-10-02,STL,WSH,5.5,3,4800,31,3.5,9.9,14.0,8.6,1.8,,
