first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,pos
Anton,Khudobin,G,,1,,YES,1/22/2021,Turbo,DAL,NSH,1.5,5.5,2.8,7900,29,6.3,22,28.6,15.4,1.95,1
Juuse,Saros,G,,1,,,1/22/2021,Turbo,NSH,DAL,-1.5,5.5,2.8,7800,6,6.3,16.7,31.4,14.4,1.85,1
Kevin,Lankinen,G,,0,,YES,1/22/2021,Turbo,CHI,DET,-1.5,6,3.1,6500,12,0,0,0,14.1,2.17,0
Cam,Talbot,G,,1,,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,8200,26,-6.3,11.2,17.2,13.5,1.65,1
Patrick,Kane,W,,1,1,,1/22/2021,Turbo,CHI,DET,-1.5,6,3.1,7200,14,6,14.6,24,13,1.81,1
Thomas,Greiss,G,,1,,,1/22/2021,Turbo,DET,CHI,1.5,6,2.9,7700,27,-6.3,14.8,27.2,12.6,1.64,1
Brent,Burns,D,,x,1,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,6200,13,4.5,9.3,25.5,11.9,1.92,x
Alex,DeBrincat,W,,1,1,,1/22/2021,Turbo,CHI,DET,-1.5,6,3.1,5900,14,1.5,11.4,21,11.4,1.93,1
Viktor,Arvidsson,W,,1,1,,1/22/2021,Turbo,NSH,DAL,-1.5,5.5,2.8,5500,3,8,14.5,22.5,11.4,2.07,1
Devan,Dubnyk,G,,1,,YES,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,6900,18,1.4,5.9,17.2,11.3,1.64,1
Dylan,Larkin,C,,1,1,,1/22/2021,Turbo,DET,CHI,1.5,6,2.9,6400,30,3,12.1,21.5,10.9,1.7,1
Anthony,Mantha,W,,2,1,,1/22/2021,Turbo,DET,CHI,1.5,6,2.9,5600,21,1.5,8.4,11.5,10.8,1.93,2
Roman,Josi,D,,x,1,,1/22/2021,Turbo,NSH,DAL,-1.5,5.5,2.8,6800,27,4.5,14.6,35.5,10.8,1.59,x
Tomas,Hertl,C,,1,1,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,5900,25,3,12.9,26.5,10.6,1.8,1
Filip,Forsberg,W,,1,1,,1/22/2021,Turbo,NSH,DAL,-1.5,5.5,2.8,6300,3,11.5,15.2,20.5,10.6,1.68,1
Kevin,Fiala,W,,2,1,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,5600,27,1.5,11,16,10.5,1.88,2
Alexander,Radulov,W,,2,1,,1/22/2021,Turbo,DAL,NSH,1.5,5.5,2.8,5200,24,1.5,6.2,12.5,10.3,1.98,2
Ryan,Ellis,D,,x,2,,1/22/2021,Turbo,NSH,DAL,-1.5,5.5,2.8,6600,27,5.5,15.1,27.5,10.2,1.55,x
Evander,Kane,W,,1,1,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,6100,2,3,16,34,10.1,1.66,1
Jamie,Benn,W,,1,1,,1/22/2021,Turbo,DAL,NSH,1.5,5.5,2.8,5700,24,0,12.2,27.5,9.8,1.72,1
Joe,Pavelski,C,,2,1,,1/22/2021,Turbo,DAL,NSH,1.5,5.5,2.8,5200,10,0,4,10.5,9.8,1.88,2
Miro,Heiskanen,D,,x,2,,1/22/2021,Turbo,DAL,NSH,1.5,5.5,2.8,5500,15,1.5,4.1,7,9.8,1.78,x
Erik,Karlsson,D,,x,1,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,4800,13,2.5,5.3,8.5,9.8,2.04,x
Logan,Couture,C,,2,1,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,5100,25,0,10.8,27,9.4,1.84,2
Dylan,Strome,C,,2,1,,1/22/2021,Turbo,CHI,DET,-1.5,6,3.1,5000,24,1.5,8.1,19,9.3,1.86,2
Dominik,Kubalik,W,,2,2,,1/22/2021,Turbo,CHI,DET,-1.5,6,3.1,4600,14,0,11.5,39,9.3,2.02,2
Jared,Spurgeon,D,,x,,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,4200,30,2,4.4,7.5,9.1,2.17,x
John,Klingberg,D,DTD,x,1,,1/22/2021,Turbo,DAL,NSH,1.5,5.5,2.8,4800,15,0,7.1,16.5,9,1.88,x
Zach,Parise,W,,1,1,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,4400,27,3,7.2,12.5,9,2.05,1
Tyler,Bertuzzi,W,,3,1,,1/22/2021,Turbo,DET,CHI,1.5,6,2.9,4900,21,3.5,9.5,17,8.4,1.71,3
Timo,Meier,W,,1,2,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,6000,2,1.5,12.2,24.5,8.3,1.38,1
Matt,Duchene,C,,2,1,,1/22/2021,Turbo,NSH,DAL,-1.5,5.5,2.8,4800,8,1.5,9.8,21.5,8.1,1.69,2
Matt,Dumba,D,,x,1,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,4900,30,0.5,12.2,29.5,8,1.63,x
Kirill,Kaprizov,W,,1,1,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,5200,27,4.5,9.8,21.5,8,1.54,1
