C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
16216291,16216184,16216146,16216442,16216357,16216103,16216160,16216154,16216180,,1. Locate the player you want to select in the list below ,,,,,,,,
16216394,16216539,16216146,16216442,16216382,16216103,16216160,16216547,16216345,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16216203,16216377,16216146,16216442,16216382,16216103,16216160,16216547,16216287,,3. Paste the ID into the roster position desired ,,,,,,,,
16216394,16216506,16216146,16216442,16216316,16216103,16216160,16216154,16216116,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16216394,16216203,16216442,16216382,16216287,16216103,16216160,16216547,16216345,,5. You can create up to 500 lineups per file ,,,,,,,,
16216139,16216539,16216146,16216442,16216108,16216103,16216160,16216547,16216345,,,,,,,,,,
16216363,16216150,16216146,16216442,16216386,16216103,16216160,16216154,16216371,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16216150,16216184,16216146,16216442,16216357,16216103,16216160,16216336,16216180,,G,Cam Talbot (16216186),Cam Talbot,16216186,G,8200,SJ@MIN 01/22/2021 08:00PM ET,MIN,16.13
16216150,16216506,16216146,16216442,16216316,16216103,16216160,16216336,16216116,,G,Malcolm Subban (16216293),Malcolm Subban,16216293,G,8000,DET@CHI 01/22/2021 08:00PM ET,CHI,2.1
16216139,16216150,16216146,16216442,16216108,16216103,16216160,16216547,16216585,,G,Kaapo Kahkonen (16216381),Kaapo Kahkonen,16216381,G,8000,SJ@MIN 01/22/2021 08:00PM ET,MIN,14.4
16216139,16216406,16216146,16216108,16216164,16216103,16216160,16216547,16216398,,G,Anton Khudobin (16216154),Anton Khudobin,16216154,G,7900,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
16216139,16216150,16216382,16216287,16216108,16216103,16216160,16216547,16216203,,G,Collin Delia (16216535),Collin Delia,16216535,G,7800,DET@CHI 01/22/2021 08:00PM ET,CHI,4.55
16216291,16216184,16216146,16216357,16216174,16216103,16216160,16216336,16216180,,G,Juuse Saros (16216336),Juuse Saros,16216336,G,7800,NSH@DAL 01/22/2021 08:30PM ET,NSH,27.1
16216291,16216184,16216382,16216357,16216174,16216103,16216160,16216547,16216396,,G,Thomas Greiss (16216136),Thomas Greiss,16216136,G,7700,DET@CHI 01/22/2021 08:00PM ET,DET,15.85
16216291,16216150,16216146,16216442,16216386,16216103,16216199,16216547,16216371,,G,Jake Oettinger (16216508),Jake Oettinger,16216508,G,7700,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
16216139,16216406,16216146,16216442,16216108,16216103,16216160,16216154,16216585,,G,Pekka Rinne (16216114),Pekka Rinne,16216114,G,7600,NSH@DAL 01/22/2021 08:30PM ET,NSH,3.5
16216406,16216289,16216146,16216442,16216164,16216103,16216160,16216154,16216398,,G,Jonathan Bernier (16216143),Jonathan Bernier,16216143,G,7500,DET@CHI 01/22/2021 08:00PM ET,DET,16.85
16216139,16216406,16216442,16216108,16216164,16216103,16216160,16216154,16216398,,RW,Patrick Kane (16216146),Patrick Kane,16216146,W/UTIL,7200,DET@CHI 01/22/2021 08:00PM ET,CHI,14.4
16216150,16216203,16216146,16216382,16216287,16216103,16216160,16216547,16216386,,G,Martin Jones (16216170),Martin Jones,16216170,G,7100,SJ@MIN 01/22/2021 08:00PM ET,SJ,11
16216291,16216394,16216146,16216442,16216345,16216103,16216226,16216154,16216566,,G,Devan Dubnyk (16216107),Devan Dubnyk,16216107,G,6900,SJ@MIN 01/22/2021 08:00PM ET,SJ,1.75
,,,,,,,,,,D,Roman Josi (16216199),Roman Josi,16216199,D/UTIL,6800,NSH@DAL 01/22/2021 08:30PM ET,NSH,10.47
,,,,,,,,,,D,Ryan Ellis (16216176),Ryan Ellis,16216176,D/UTIL,6600,NSH@DAL 01/22/2021 08:30PM ET,NSH,14.7
,,,,,,,,,,G,Jimmy Howard (16216115),Jimmy Howard,16216115,G,6500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,G,Calvin Pickard (16216219),Calvin Pickard,16216219,G,6500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,G,Pat Nagle (16216240),Pat Nagle,16216240,G,6500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,G,Matt Tomkins (16216306),Matt Tomkins,16216306,G,6500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,G,Kevin Boyle (16216429),Kevin Boyle,16216429,G,6500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,G,Kaden Fulcher (16216538),Kaden Fulcher,16216538,G,6500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,G,Kevin Lankinen (16216547),Kevin Lankinen,16216547,G,6500,DET@CHI 01/22/2021 08:00PM ET,CHI,2
,,,,,,,,,,G,Cale Morris (16216613),Cale Morris,16216613,G,6500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,G,Ben Bishop (16216155),Ben Bishop,16216155,G,6500,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,G,Landon Bow (16216426),Landon Bow,16216426,G,6500,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,G,Connor Ingram (16216427),Connor Ingram,16216427,G,6500,NSH@DAL 01/22/2021 08:30PM ET,NSH,0
,,,,,,,,,,G,Kasimir Kaskisuo (16216428),Kasimir Kaskisuo,16216428,G,6500,NSH@DAL 01/22/2021 08:30PM ET,NSH,0
,,,,,,,,,,G,Alex Stalock (16216171),Alex Stalock,16216171,G,6500,SJ@MIN 01/22/2021 08:00PM ET,MIN,0
,,,,,,,,,,G,Andrew Hammond (16216309),Andrew Hammond,16216309,G,6500,SJ@MIN 01/22/2021 08:00PM ET,MIN,0
,,,,,,,,,,G,Josef Korenar (16216533),Josef Korenar,16216533,G,6500,SJ@MIN 01/22/2021 08:00PM ET,SJ,0
,,,,,,,,,,G,Alexei Melnichuk (16216534),Alexei Melnichuk,16216534,G,6500,SJ@MIN 01/22/2021 08:00PM ET,SJ,0
,,,,,,,,,,G,Andrew Shortridge (16216578),Andrew Shortridge,16216578,G,6500,SJ@MIN 01/22/2021 08:00PM ET,SJ,0
,,,,,,,,,,C,Dylan Larkin (16216363),Dylan Larkin,16216363,C/UTIL,6400,DET@CHI 01/22/2021 08:00PM ET,DET,13.12
,,,,,,,,,,LW,Filip Forsberg (16216287),Filip Forsberg,16216287,W/UTIL,6300,NSH@DAL 01/22/2021 08:30PM ET,NSH,13.3
,,,,,,,,,,D,Brent Burns (16216103),Brent Burns,16216103,D/UTIL,6200,SJ@MIN 01/22/2021 08:00PM ET,SJ,11.6
,,,,,,,,,,RW,Evander Kane (16216174),Evander Kane,16216174,W/UTIL,6100,SJ@MIN 01/22/2021 08:00PM ET,SJ,13
,,,,,,,,,,C,Tyler Seguin (16216201),Tyler Seguin,16216201,C/UTIL,6000,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,LW,Timo Meier (16216396),Timo Meier,16216396,W/UTIL,6000,SJ@MIN 01/22/2021 08:00PM ET,SJ,11
,,,,,,,,,,LW,Alex DeBrincat (16216442),Alex DeBrincat,16216442,W/UTIL,5900,DET@CHI 01/22/2021 08:00PM ET,CHI,10.32
,,,,,,,,,,C,Tomas Hertl (16216291),Tomas Hertl,16216291,C/UTIL,5900,SJ@MIN 01/22/2021 08:00PM ET,SJ,14.58
,,,,,,,,,,D,Duncan Keith (16216095),Duncan Keith,16216095,D/UTIL,5700,DET@CHI 01/22/2021 08:00PM ET,CHI,11.35
,,,,,,,,,,C,Jonathan Toews (16216137),Jonathan Toews,16216137,C/UTIL,5700,DET@CHI 01/22/2021 08:00PM ET,CHI,0
