first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Robin,Lehner,G,,1,,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,8500,1,3.5,12.3,26.8,16.5,1.94,,
Cam,Talbot,G,,1,,YES,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,7900,3,-6.3,15,37.5,14.7,1.86,,
Max,Pacioretty,W,,1,1,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,6900,20,3,6.6,18,13.8,2,,
John,Gibson,G,,1,,YES,1/14/2021,Later,ANA,VGK,1.5,6,2.4,6800,30,-4.2,13.1,24.2,12.3,1.81,,
Alex,Pietrangelo,D,,x,2,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,6000,6,4.5,14.2,30,12.1,2.02,,
Marc-Andre,Fleury,G,,2,,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,8300,1,1.1,12.9,20.7,12.1,1.46,,
Jonathan,Quick,G,,1,,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,7700,10,9.5,21.5,38.2,11.8,1.53,,
Mark,Stone,W,,1,1,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,6000,20,0,7.8,19.5,11.5,1.92,,
Shea,Theodore,D,,x,1,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,6400,6,3.5,11.5,17,11.4,1.78,,
Jonathan,Marchessault,W,,2,1,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,5500,20,1,5.9,12.5,10.4,1.89,,
Kevin,Fiala,W,,2,1,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,6500,10,6.5,19.9,31,9.6,1.48,,
Reilly,Smith,W,,2,2,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,4700,20,1.5,5.9,13,9.4,2,,
Rickard,Rakell,W,,1,1,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,6400,13,1.5,13.4,26,9,1.41,,
Anze,Kopitar,C,,1,1,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,6000,17,2,10.2,25,8.9,1.48,,
William,Karlsson,C,,2,1,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,6100,18,2,6.5,13,8.9,1.46,,
Troy,Grosenick,G,,2,,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,7500,10,,,,8.8,1.17,,
Zach,Parise,W,,1,1,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,4200,10,0,7.2,15,8.6,2.05,,
Jakob,Silfverberg,W,,1,1,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,5900,13,3.5,14.4,34.5,8.5,1.44,,
Ryan,Getzlaf,C,,2,2,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,5000,1,0,5.6,11,8.4,1.68,,
Alec,Martinez,D,,x,2,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,4200,6,2.5,7.1,16.5,8.4,2,,
Drew,Doughty,D,,x,1,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,5400,21,3.5,9.3,13,8.2,1.52,,
Alex,Iafallo,W,,1,1,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,5300,9,1,9.6,15.5,8.1,1.53,,
Ryan,Suter,D,,x,2,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,4100,2,0.5,5.3,12.5,8,1.95,,
Dustin,Brown,W,,1,1,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,4900,9,1.5,15.8,46,8,1.63,,
Alex,Tuch,W,,3,2,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,4100,20,0,4.3,10.5,7.6,1.85,,
Nick,Bonino,C,,2,2,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,3200,2,2,6.9,15.5,7.6,2.38,,
Jeff,Carter,W,,2,2,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,4700,9,3,7.7,12.5,7.6,1.62,,
Adam,Henrique,C,,1,1,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,5200,1,0,6.8,15.5,7.3,1.4,,
Gabriel,Vilardi,C,,3,2,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,2700,17,1.5,9,19.5,7.2,2.67,,
Adrian,Kempe,W,,3,1,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,3800,9,1.5,8.5,14.5,7.2,1.89,,
Matt,Dumba,D,,x,1,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,4200,2,2.5,7.7,12,7.1,1.69,,
Cam,Fowler,D,,x,2,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,3100,1,0,4,7.5,7.1,2.29,,
Hampus,Lindholm,D,,x,,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,5500,1,0,7.3,17,7.1,1.29,,
Jared,Spurgeon,D,,x,1,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,4900,2,1.5,10,30,6.9,1.41,,
Andreas,Athanasiou,W,,2,2,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,3600,9,1.5,2.5,4.5,6.8,1.89,,
Olli,Maatta,D,,x,,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,4300,21,2.5,6.5,10.5,6.5,1.51,,
Jonas,Brodin,D,,x,,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,3100,2,0.5,5.4,15,6.5,2.1,,
Matt,Roy,D,,x,,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,3800,21,1,4.5,13,6.1,1.61,,
Brayden,McNabb,D,,x,,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,4900,6,1,4.4,9.5,5.6,1.14,,
Marcus,Johansson,W,,2,2,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,3200,10,2,7.9,14.5,5.6,1.75,,
Kevin,Shattenkirk,D,,x,1,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,3400,1,0.5,5.5,9,5.4,1.59,,
Jordan,Greenway,W,,3,2,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,2700,10,1.5,2.7,3.5,5.1,1.89,,
Josh,Manson,D,,x,,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,3800,1,0,5.1,11,5.1,1.34,,
Danton,Heinen,W,,2,2,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,4100,13,1.5,4.7,11.5,5.1,1.24,,
Mikey,Anderson,D,,x,2,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,3800,21,0,6.2,17.5,4.9,1.29,,
Chandler,Stephenson,C,,1,,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,3700,18,0,4.3,11.5,4.8,1.3,,
Cody,Glass,C,,3,2,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,2700,18,1.5,3.5,10,4.7,1.74,,
Joel,Eriksson Ek,C,,3,,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,3400,2,3,5,11,4.5,1.32,,
Sam,Steel,C,,3,2,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,3100,1,0,3.8,11.5,4.5,1.45,,
Carson,Soucy,D,,x,,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,2500,2,0.5,4.3,14.5,4.4,1.76,,
Max,Comtois,W,,3,2,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,2500,13,0,5.5,10,4.3,1.72,,
Zach,Whitecloud,D,,x,,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,2500,6,1,5.1,8.5,4.2,1.68,,
Trevor,Moore,W,,4,,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,2500,9,0,5.5,10,4.1,1.64,,
Carter,Rowney,W,,4,,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,2500,13,0.5,5.9,10,4.1,1.64,,
Nick,Bjugstad,C,,1,2,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,3500,2,0,2.4,8,4.1,1.17,,
Austin,Wagner,W,,3,,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,2500,9,0,2.9,11.5,4.1,1.64,,
Troy,Terry,W,,3,,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,3300,13,1.5,5.5,9.5,3.8,1.15,,
Blake,Lizotte,C,,2,2,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,3300,17,0,4.4,14,3.7,1.12,,
Marcus,Foligno,W,,3,,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,2800,10,0.5,3.7,7,3.6,1.29,,
William,Carrier,W,,4,,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,2500,20,0,0.6,1.5,3.4,1.36,,
Ryan,Hartman,W,,4,,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,2500,10,0.5,3.1,5,3.2,1.28,,
Tomas,Nosek,C,,4,,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,2500,18,0,4.6,10,3.1,1.24,,
Isac,Lundestrom,W,,2,,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,2500,13,0,2.9,5.5,3.1,1.24,,
Nicolas,Roy,W,,3,,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,2600,20,1.5,2.9,6.5,3.1,1.19,,
Matt,Luff,W,,4,,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,2500,9,0,2.8,6.5,3.1,1.24,,
Victor,Rask,C,,4,,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,2500,2,1.5,5.5,10,3,1.2,,
Jani,Hakanpaa,D,,x,,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,2500,1,1,3.6,11,2.9,1.16,,
Nico,Sturm,W,,4,,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,2500,10,0,3.3,10,2.9,1.16,,
Nicolas,Deslauriers,W,,4,,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,2500,13,0,7.8,33.5,2.8,1.12,,
Greg,Pateryn,D,,x,,,1/14/2021,Later,MIN,LAK,-1.5,5.5,3,2500,2,0.5,2.2,4.5,2.6,1.04,,
Derek,Grant,C,,4,1,,1/14/2021,Later,ANA,VGK,1.5,6,2.4,2500,1,0,2.2,4.5,2.5,1,,
Mark,Alt,D,,x,,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,2500,21,1.5,1.9,2.5,2.3,0.92,,
Ryan,Reaves,W,,4,,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,2500,20,0,1.3,6,2.1,0.84,,
Keegan,Kolesar,W,,3,,,1/14/2021,Later,VGK,ANA,-1.5,6,3.6,2500,20,1.5,1.5,1.5,2,0.8,,
Kale,Clague,D,,x,,,1/14/2021,Later,LAK,MIN,1.5,5.5,2.5,2500,21,0,1.3,3.5,1.8,0.72,,
