C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
16154646,16155077,16154603,16154685,16154772,16154831,16154613,16154641,16154764,,1. Locate the player you want to select in the list below ,,,,,,,,
16154734,16154646,16154603,16154685,16154772,16154831,16154601,16154648,16154557,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16154734,16155077,16154603,16154772,16154557,16154831,16154776,16154641,16155065,,3. Paste the ID into the roster position desired ,,,,,,,,
16154559,16154691,16154603,16154772,16154764,16154831,16154776,16154648,16154557,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16154734,16154646,16154603,16154764,16154557,16154831,16154689,16154641,16154555,,5. You can create up to 500 lineups per file ,,,,,,,,
16154734,16155073,16154603,16154685,16154764,16154831,16154776,16154641,16154886,,,,,,,,,,
16155077,16154796,16154603,16154685,16154876,16154831,16154689,16154641,16154557,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16154572,16154646,16154603,16154685,16154557,16154613,16154776,16154641,16155065,,G,Robin Lehner (16154641),Robin Lehner,16154641,G,8500,ANH@VGK 01/14/2021 10:00PM ET,VGK,16.16
16154572,16154796,16154603,16154772,16154764,16154831,16154776,16154641,16154880,,C,Connor McDavid (16154930) (LOCKED),Connor McDavid,16154930,C/UTIL,8500,VAN@EDM 01/14/2021 09:00PM ET,EDM,16.38
16154572,16154646,16154603,16154685,16154553,16154831,16154689,16154641,16154638,,G,Marc-Andre Fleury (16154550),Marc-Andre Fleury,16154550,G,8300,ANH@VGK 01/14/2021 10:00PM ET,VGK,12.65
16154572,16155077,16154603,16154557,16154555,16154831,16154613,16154641,16154886,,C,Leon Draisaitl (16154872) (LOCKED),Leon Draisaitl,16154872,C/UTIL,8200,VAN@EDM 01/14/2021 09:00PM ET,EDM,16.19
16154734,16154646,16154685,16154772,16154876,16154831,16154776,16154641,16154798,,G,Darcy Kuemper (16154657) (LOCKED),Darcy Kuemper,16154657,G,8000,SJ@ARI 01/14/2021 09:00PM ET,ARI,16.66
16154559,16154646,16154603,16154685,16154876,16154831,16154776,16154648,16154638,,G,Antti Raanta (16154824) (LOCKED),Antti Raanta,16154824,G,8000,SJ@ARI 01/14/2021 09:00PM ET,ARI,14.05
16154559,16154646,16154685,16154772,16154764,16154831,16154689,16154648,16154723,,G,Mike Smith (16154547) (LOCKED),Mike Smith,16154547,G,8000,VAN@EDM 01/14/2021 09:00PM ET,EDM,11.64
16154646,16155073,16154603,16154772,16154876,16154831,16154689,16154641,16155065,,G,Mikko Koskinen (16154640) (LOCKED),Mikko Koskinen,16154640,G,8000,VAN@EDM 01/14/2021 09:00PM ET,EDM,13.92
16154572,16154734,16154685,16154772,16154886,16154831,16154689,16154641,16155077,,G,Cam Talbot (16154648),Cam Talbot,16154648,G,7900,MIN@LA 01/14/2021 10:00PM ET,MIN,15.05
16154734,16154646,16154603,16154876,16154886,16154831,16154613,16154641,16154638,,G,Kaapo Kahkonen (16154907),Kaapo Kahkonen,16154907,G,7900,MIN@LA 01/14/2021 10:00PM ET,MIN,16.08
16154691,16154646,16154603,16154876,16154764,16154831,16154689,16154648,16154880,,D,Brent Burns (16154561) (LOCKED),Brent Burns,16154561,D/UTIL,7700,SJ@ARI 01/14/2021 09:00PM ET,SJ,12.13
