C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
16155255,16155463,16155237,16155276,16155319,16155351,16155243,16155252,16155313,,1. Locate the player you want to select in the list below ,,,,,,,,
16155299,16155255,16155237,16155276,16155319,16155351,16155235,16155257,16155220,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16155299,16155463,16155237,16155319,16155220,16155351,16155323,16155252,16155455,,3. Paste the ID into the roster position desired ,,,,,,,,
16155222,16155282,16155237,16155319,16155313,16155351,16155323,16155257,16155220,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16155299,16155255,16155237,16155313,16155220,16155351,16155280,16155252,16155218,,5. You can create up to 500 lineups per file ,,,,,,,,
16155299,16155459,16155237,16155276,16155313,16155351,16155323,16155252,16155384,,,,,,,,,,
16155463,16155331,16155237,16155276,16155378,16155351,16155280,16155252,16155220,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16155228,16155255,16155237,16155276,16155220,16155243,16155323,16155252,16155455,,G,Robin Lehner (16155252),Robin Lehner,16155252,G,8500,ANH@VGK 01/14/2021 10:00PM ET,VGK,16.16
16155228,16155331,16155237,16155319,16155313,16155351,16155323,16155252,16155382,,G,Marc-Andre Fleury (16155213),Marc-Andre Fleury,16155213,G,8300,ANH@VGK 01/14/2021 10:00PM ET,VGK,12.65
16155228,16155255,16155237,16155276,16155216,16155351,16155280,16155252,16155250,,G,Cam Talbot (16155257),Cam Talbot,16155257,G,7900,MIN@LA 01/14/2021 10:00PM ET,MIN,15.05
16155228,16155463,16155237,16155220,16155218,16155351,16155243,16155252,16155384,,G,Kaapo Kahkonen (16155392),Kaapo Kahkonen,16155392,G,7900,MIN@LA 01/14/2021 10:00PM ET,MIN,16.08
16155299,16155255,16155276,16155319,16155378,16155351,16155323,16155252,16155333,,G,Jonathan Quick (16155232),Jonathan Quick,16155232,G,7700,MIN@LA 01/14/2021 10:00PM ET,LA,11.82
16155222,16155255,16155237,16155276,16155378,16155351,16155323,16155257,16155250,,G,Troy Grosenick (16155348),Troy Grosenick,16155348,G,7500,MIN@LA 01/14/2021 10:00PM ET,LA,0
16155222,16155255,16155276,16155319,16155313,16155351,16155280,16155257,16155292,,LW,Max Pacioretty (16155237),Max Pacioretty,16155237,W/UTIL,6900,ANH@VGK 01/14/2021 10:00PM ET,VGK,14.15
16155255,16155459,16155237,16155319,16155378,16155351,16155280,16155252,16155455,,G,Ryan Miller (16155210),Ryan Miller,16155210,G,6800,ANH@VGK 01/14/2021 10:00PM ET,ANH,12.73
16155228,16155299,16155276,16155319,16155384,16155351,16155280,16155252,16155463,,G,John Gibson (16155296),John Gibson,16155296,G,6800,ANH@VGK 01/14/2021 10:00PM ET,ANH,12.07
16155299,16155255,16155237,16155378,16155384,16155351,16155243,16155252,16155250,,G,Oscar Dansk (16155327),Oscar Dansk,16155327,G,6500,ANH@VGK 01/14/2021 10:00PM ET,VGK,0.7
16155282,16155255,16155237,16155378,16155313,16155351,16155280,16155257,16155382,,G,Anthony Stolarz (16155328),Anthony Stolarz,16155328,G,6500,ANH@VGK 01/14/2021 10:00PM ET,ANH,16.1
16155228,16155299,16155276,16155313,16155220,16155351,16155243,16155252,16155405,,G,Olle Eriksson Ek (16155475),Olle Eriksson Ek,16155475,G,6500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
16155228,16155299,16155237,16155276,16155313,16155351,16155235,16155232,16155463,,G,Alex Stalock (16155247),Alex Stalock,16155247,G,6500,MIN@LA 01/14/2021 10:00PM ET,MIN,13.11
,,,,,,,,,,G,Andrew Hammond (16155345),Andrew Hammond,16155345,G,6500,MIN@LA 01/14/2021 10:00PM ET,MIN,0
,,,,,,,,,,G,Calvin Petersen (16155367),Calvin Petersen,16155367,G,6500,MIN@LA 01/14/2021 10:00PM ET,LA,17.39
,,,,,,,,,,RW,Kevin Fiala (16155378),Kevin Fiala,16155378,W/UTIL,6500,MIN@LA 01/14/2021 10:00PM ET,MIN,11.02
,,,,,,,,,,G,Mat Robson (16155492),Mat Robson,16155492,G,6500,MIN@LA 01/14/2021 10:00PM ET,MIN,0
,,,,,,,,,,RW,Rickard Rakell (16155292),Rickard Rakell,16155292,W/UTIL,6400,ANH@VGK 01/14/2021 10:00PM ET,ANH,9.6
,,,,,,,,,,D,Shea Theodore (16155351),Shea Theodore,16155351,D/UTIL,6400,ANH@VGK 01/14/2021 10:00PM ET,VGK,11.97
,,,,,,,,,,C,William Karlsson (16155299),William Karlsson,16155299,C/UTIL,6100,ANH@VGK 01/14/2021 10:00PM ET,VGK,9.2
,,,,,,,,,,D,Alex Pietrangelo (16155245),Alex Pietrangelo,16155245,D/UTIL,6000,ANH@VGK 01/14/2021 10:00PM ET,VGK,12.35
,,,,,,,,,,RW,Mark Stone (16155276),Mark Stone,16155276,W/UTIL,6000,ANH@VGK 01/14/2021 10:00PM ET,VGK,11.36
,,,,,,,,,,C,Anze Kopitar (16155228),Anze Kopitar,16155228,C/UTIL,6000,MIN@LA 01/14/2021 10:00PM ET,LA,10.02
,,,,,,,,,,LW,Jakob Silfverberg (16155286),Jakob Silfverberg,16155286,W/UTIL,5900,ANH@VGK 01/14/2021 10:00PM ET,ANH,9
,,,,,,,,,,LW,Jonathan Marchessault (16155319),Jonathan Marchessault,16155319,W/UTIL,5500,ANH@VGK 01/14/2021 10:00PM ET,VGK,10.51
