C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
13456928,13456950,13457090,13457092,13457122,13457316,13457330,13457534,13456982,,1. Locate the player you want to select in the list below ,,,,,,,,
13456928,13456950,13457090,13457092,13457122,13457320,13457330,13457534,13456966,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
13456928,13456950,13457090,13457092,13457122,13457316,13457334,13457534,13456966,,3. Paste the ID into the roster position desired ,,,,,,,,
13456928,13456966,13457076,13457090,13457114,13457316,13457330,13457534,13456982,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
13456928,13456966,13457076,13457090,13457092,13457326,13457334,13457534,13456982,,5. You can create up to 500 lineups per file ,,,,,,,,
13456928,13456950,13457090,13457122,13457118,13457316,13457320,13457534,13456966,,,,,,,,,,
13456928,13456950,13457076,13457122,13457118,13457316,13457330,13457534,13456982,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
13456928,13456950,13457090,13457084,13457108,13457330,13457334,13457534,13456966,,G,Frederik Andersen (13457534),Frederik Andersen,13457534,G,8400,OTT@TOR 10/02/2019 07:00PM ET,TOR,15.5
13456928,13456966,13457076,13457090,13457092,13457330,13457328,13457534,13456982,,G,Michael Hutchinson (13457542),Michael Hutchinson,13457542,G,8200,OTT@TOR 10/02/2019 07:00PM ET,TOR,8.88
13456928,13456950,13457090,13457122,13457118,13457314,13457330,13457534,13456966,,C,Connor McDavid (13456926),Connor McDavid,13456926,C/UTIL,8100,VAN@EDM 10/02/2019 10:00PM ET,EDM,14.48
13456928,13456950,13457090,13457122,13457118,13457326,13457330,13457534,13456952,,G,Marc-Andre Fleury (13457535),Marc-Andre Fleury,13457535,G,8100,SJ@VGK 10/02/2019 10:30PM ET,VGK,13.82
13456928,13456950,13457090,13457092,13457118,13457326,13457330,13457534,13456966,,LW,Alex Ovechkin (13457068),Alex Ovechkin,13457068,W/UTIL,8000,WAS@STL 10/02/2019 08:00PM ET,WAS,14.71
13456928,13456950,13457076,13457122,13457118,13457316,13457334,13457534,13456966,,G,Malcolm Subban (13457543),Malcolm Subban,13457543,G,7900,SJ@VGK 10/02/2019 10:30PM ET,VGK,11.07
13456928,13456952,13457076,13457090,13457150,13457326,13457334,13457534,13456966,,G,Jordan Binnington (13457536),Jordan Binnington,13457536,G,7800,WAS@STL 10/02/2019 08:00PM ET,STL,14.46
13456928,13456950,13457076,13457100,13457122,13457326,13457334,13457534,13456966,,C,Auston Matthews (13456928),Auston Matthews,13456928,C/UTIL,7700,OTT@TOR 10/02/2019 07:00PM ET,TOR,14.05
13456928,13456952,13457090,13457092,13457150,13457316,13457326,13457534,13456966,,G,Braden Holtby (13457537),Braden Holtby,13457537,G,7700,WAS@STL 10/02/2019 08:00PM ET,WAS,13.78
13456928,13456950,13457090,13457092,13457100,13457330,13457334,13457534,13456966,,G,Jake Allen (13457544),Jake Allen,13457544,G,7600,WAS@STL 10/02/2019 08:00PM ET,STL,11.2
13456928,13456950,13457090,13457100,13457122,13457330,13457334,13457534,13456952,,C,John Tavares (13456930),John Tavares,13456930,C/UTIL,7500,OTT@TOR 10/02/2019 07:00PM ET,TOR,13.23
13456928,13456950,13457090,13457084,13457108,13457330,13457328,13457534,13456982,,G,Pheonix Copley (13457545),Pheonix Copley,13457545,G,7500,WAS@STL 10/02/2019 08:00PM ET,WAS,12.72
13456928,13456952,13457090,13457084,13457122,13457326,13457334,13457534,13456966,,G,Mike Smith (13457538),Mike Smith,13457538,G,7400,VAN@EDM 10/02/2019 10:00PM ET,EDM,11.54
,,,,,,,,,,G,Martin Jones (13457539),Martin Jones,13457539,G,7300,SJ@VGK 10/02/2019 10:30PM ET,SJ,11.18
,,,,,,,,,,G,Jacob Markstrom (13457540),Jacob Markstrom,13457540,G,7200,VAN@EDM 10/02/2019 10:00PM ET,VAN,13.92
,,,,,,,,,,G,Mikko Koskinen (13457546),Mikko Koskinen,13457546,G,7200,VAN@EDM 10/02/2019 10:00PM ET,EDM,12.01
,,,,,,,,,,G,Aaron Dell (13457547),Aaron Dell,13457547,G,7100,SJ@VGK 10/02/2019 10:30PM ET,SJ,7.97
,,,,,,,,,,LW,Leon Draisaitl (13457070),Leon Draisaitl,13457070,W/UTIL,7000,VAN@EDM 10/02/2019 10:00PM ET,EDM,13.3
,,,,,,,,,,G,Thatcher Demko (13457548),Thatcher Demko,13457548,G,7000,VAN@EDM 10/02/2019 10:00PM ET,VAN,14.18
,,,,,,,,,,D,Brent Burns (13457314),Brent Burns,13457314,D/UTIL,7000,SJ@VGK 10/02/2019 10:30PM ET,SJ,12.87
,,,,,,,,,,RW,Mark Stone (13457072),Mark Stone,13457072,W/UTIL,6900,SJ@VGK 10/02/2019 10:30PM ET,VGK,11.79
,,,,,,,,,,G,Craig Anderson (13457541),Craig Anderson,13457541,G,6800,OTT@TOR 10/02/2019 07:00PM ET,OTT,12.33
,,,,,,,,,,RW,Vladimir Tarasenko (13457074),Vladimir Tarasenko,13457074,W/UTIL,6700,WAS@STL 10/02/2019 08:00PM ET,STL,11.68
,,,,,,,,,,RW,Mitchell Marner (13457076),Mitchell Marner,13457076,W/UTIL,6600,OTT@TOR 10/02/2019 07:00PM ET,TOR,11.6
,,,,,,,,,,G,Anders Nilsson (13457549),Anders Nilsson,13457549,G,6600,OTT@TOR 10/02/2019 07:00PM ET,OTT,12.32
,,,,,,,,,,C,Nicklas Backstrom (13456932),Nicklas Backstrom,13456932,C/UTIL,6600,WAS@STL 10/02/2019 08:00PM ET,WAS,9.62
,,,,,,,,,,G,Kasimir Kaskisuo (13457550),Kasimir Kaskisuo,13457550,G,6500,OTT@TOR 10/02/2019 07:00PM ET,TOR,0
,,,,,,,,,,G,Marcus Hogberg (13457556),Marcus Hogberg,13457556,G,6500,OTT@TOR 10/02/2019 07:00PM ET,OTT,6.98
,,,,,,,,,,G,Joseph Woll (13457559),Joseph Woll,13457559,G,6500,OTT@TOR 10/02/2019 07:00PM ET,TOR,0
,,,,,,,,,,G,Filip Gustavsson (13457563),Filip Gustavsson,13457563,G,6500,OTT@TOR 10/02/2019 07:00PM ET,OTT,0
,,,,,,,,,,G,Ilya Samsonov (13457551),Ilya Samsonov,13457551,G,6500,WAS@STL 10/02/2019 08:00PM ET,WAS,0
,,,,,,,,,,G,Ville Husso (13457552),Ville Husso,13457552,G,6500,WAS@STL 10/02/2019 08:00PM ET,STL,0
,,,,,,,,,,G,Vitek Vanecek (13457554),Vitek Vanecek,13457554,G,6500,WAS@STL 10/02/2019 08:00PM ET,WAS,0
,,,,,,,,,,G,Adam Wilcox (13457557),Adam Wilcox,13457557,G,6500,WAS@STL 10/02/2019 08:00PM ET,STL,0
