Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1638414691,MongoTastic92 (2/4),0,162.4,C Auston Matthews UTIL William Karlsson C Jean-Gabriel Pageau W Leon Draisaitl W Mitchell Marner W Reilly Smith D Kris Russell D Tim Heed G Mike Smith,,Auston Matthews,C,41.47%,32
1,1638414692,MongoTastic92 (3/4),0,162.4,C Auston Matthews UTIL William Karlsson C Jean-Gabriel Pageau W Leon Draisaitl W Mitchell Marner W Reilly Smith D Deryk Engelland D Ethan Bear G Mike Smith,,Frederik Andersen,G,33.47%,11.6
1,1638415116,treasontank,0,162.4,C Auston Matthews UTIL William Karlsson C Jean-Gabriel Pageau W Leon Draisaitl W Mitchell Marner W Reilly Smith D Deryk Engelland D Ethan Bear G Mike Smith,,Mitchell Marner,W,28.84%,9.5
1,1638416299,pickit25,0,162.4,C Auston Matthews UTIL William Karlsson C Jean-Gabriel Pageau W Leon Draisaitl W Mitchell Marner W Reilly Smith D Deryk Engelland D Ethan Bear G Mike Smith,,Max Pacioretty,W,28.00%,16.8
1,1638419387,mattasnow,0,162.4,C Auston Matthews UTIL William Karlsson C Jean-Gabriel Pageau W Leon Draisaitl W Mitchell Marner W Reilly Smith D Deryk Engelland D Ethan Bear G Mike Smith,,Alexander Edler,UTIL,27.37%,25.9
6,1638401573,radiomike (7/14),0,159.7,C Auston Matthews C Alexander Kerfoot W Reilly Smith W Brady Tkachuk W Bobby Ryan UTIL Thomas Chabot D Tyson Barrie D Alexander Edler G Marc-Andre Fleury,,Cody Glass,UTIL,26.95%,11.5
7,1638402315,Halichap79,0,156.4,C Auston Matthews C Cody Glass W Mitchell Marner W Max Pacioretty W Tanner Pearson UTIL Joakim Nygard D Morgan Rielly D Alexander Edler G Frederik Andersen,,John Tavares,C,25.05%,8
7,1638418709,flittle53090 (2/2),0,156.4,C Ryan Nugent-Hopkins C Alexander Kerfoot W Leon Draisaitl W Reilly Smith W Brady Tkachuk D Tyson Barrie UTIL Alexander Edler D Oscar Klefbom G Marc-Andre Fleury,,Connor McDavid,UTIL,22.74%,11.5
9,1638399681,Royalblue (3/10),0,150.5,UTIL Auston Matthews C Alexander Kerfoot C Chris Tierney W Leon Draisaitl W Mitchell Marner W Alexander Steen D Tyson Barrie D Alexander Edler G Marc-Andre Fleury,,Kasperi Kapanen,W,22.74%,1.5
10,1638410985,wwegner,0,150.4,C Auston Matthews UTIL Ryan O'Reilly C Cody Glass W Max Pacioretty W Reilly Smith W Kasperi Kapanen D Shea Theodore D Alexander Edler G Frederik Andersen,,Morgan Rielly,D,20.00%,16.8
11,1638408901,wsmr317 (3/12),0,149.4,C Auston Matthews C John Tavares UTIL Cody Glass W Mitchell Marner W Sammy Blais W Josh Leivo D Tyson Barrie D Alexander Edler G Marc-Andre Fleury,,William Nylander,W,18.53%,9.5
12,1638399688,Royalblue (10/10),0,145.5,C Alexander Kerfoot C Chris Tierney W Leon Draisaitl W Mitchell Marner W Brady Tkachuk UTIL Morgan Rielly D Tyson Barrie D Alexander Edler G Marc-Andre Fleury,,Tyson Barrie,D,18.32%,22
13,1638400107,n.rubert (1/6),0,144.9,C Paul Stastny C Lean Bergmann W Leon Draisaitl W Reilly Smith W Jaden Schwartz D Morgan Rielly D Tyson Barrie UTIL Alexander Edler G Frederik Andersen,,Andreas Johnsson,W,16.84%,5.8
14,1638402605,ndesmarais15 (14/14),0,143.9,C Auston Matthews C Bo Horvat UTIL Cody Glass W William Nylander W Andreas Johnsson W Tanner Pearson D Morgan Rielly D Alexander Edler G Frederik Andersen,,Bo Horvat,C,15.37%,1.5
15,1638402603,ndesmarais15 (12/14),0,143.1,C Auston Matthews C Bo Horvat UTIL Cody Glass W Mitchell Marner W J.T. Miller W Tanner Pearson D Morgan Rielly D Alexander Edler G Frederik Andersen,,Leon Draisaitl,W,15.16%,33.5
16,1638399684,Royalblue (6/10),0,142.3,C Ryan Nugent-Hopkins C Alexander Kerfoot UTIL Leon Draisaitl W Mitchell Marner W Brady Tkachuk W Bobby Ryan D Tyson Barrie D Alexander Edler G Marc-Andre Fleury,,Mark Stone,W,14.95%,16.3
