first_name,last_name,position,reg_line,pp_line,game_date,team,opp,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Carter,Hutton,G,1,,2019-10-03,BUF,PIT,6,2.6,6800,30,4.9,8.8,13.7,18.4,2.7,,
Andrei,Vasilevskiy,G,1,,2019-10-03,TBL,FLA,6.5,3.7,8400,8,-2.1,6.5,22.8,18.3,2.2,,
Ben,Bishop,G,1,,2019-10-03,DAL,BOS,5.5,2.8,7700,9,-2.8,17.3,32.4,17.4,2.3,,
Devan,Dubnyk,G,1,,2019-10-03,MIN,NSH,5.5,2.4,6900,29,2.1,13.8,26.5,17.2,2.5,,
David,Rittich,G,1,,2019-10-03,CGY,COL,6.5,3.1,7400,6,7.7,14.5,20.7,16.2,2.2,,
Matt,Murray,G,1,,2019-10-03,PIT,BUF,6,3.4,8300,21,4.2,8.5,11.9,16.0,1.9,,
Darcy,Kuemper,G,2,,2019-10-03,ARI,ANA,5.5,2.7,7300,1,4.2,23.6,40.3,15.6,2.1,,
Connor,Hellebuyck,G,1,,2019-10-03,WPG,NYR,6,2.9,7500,10,5.6,12.8,24.2,15.5,2.1,,
John,Gibson,G,1,,2019-10-03,ANA,ARI,5.5,2.8,7900,28,3.5,16.6,32.8,15.3,1.9,,
Pekka,Rinne,G,1,,2019-10-03,NSH,MIN,5.5,3.1,8200,27,-11.2,12.8,30.3,15.2,1.9,,
Jack,Eichel,C,1,1,2019-10-03,BUF,PIT,6,2.6,6700,8,11.0,15.3,23.0,15.2,2.3,,
Carey,Price,G,1,,2019-10-03,MTL,CAR,5.5,2.5,7900,19,-0.7,14.2,25.6,15.1,1.9,,
Sergei,Bobrovsky,G,1,,2019-10-03,FLA,TBL,6.5,2.8,7100,7,7.7,16.9,30.7,14.3,2.0,,
Petr,Mrazek,G,1,,2019-10-03,CAR,MTL,5.5,3,7800,25,-7.7,9.6,31.7,14.2,1.8,,
Philipp,Grubauer,G,1,,2019-10-03,COL,CGY,6.5,3.4,7900,26,6.3,15.6,32.4,14.2,1.8,,
Tuukka,Rask,G,1,,2019-10-03,BOS,DAL,5.5,2.8,7600,13,-2.8,11.4,22.1,13.9,1.8,,
Henrik,Lundqvist,G,1,,2019-10-03,NYR,WPG,6,3.1,7600,5,-2.8,10.2,18.4,13.8,1.8,,
Nathan,MacKinnon,C,1,1,2019-10-03,COL,CGY,6.5,3.4,7300,21,1.5,13.0,24.5,13.3,1.8,,
David,Pastrnak,W,1,1,2019-10-03,BOS,DAL,5.5,2.8,7200,11,5.0,13.3,21.5,13.3,1.8,,
Brad,Marchand,W,1,1,2019-10-03,BOS,DAL,5.5,2.8,6800,11,4.5,7.9,15.0,12.8,1.9,,
