Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1640041325,Emac (13/20),0,191.5,C Mark Scheifele C Mika Zibanejad UTIL Ryan Getzlaf W Blake Wheeler W Nikolaj Ehlers W Evgenii Dadonov D Kevin Shattenkirk D Ville Heinola G Pekka Rinne,,Nathan MacKinnon,C,31.34%,21.1
2,1639979629,Lamoosh2332 (6/20),0,186.6,C Nathan MacKinnon C Mark Scheifele W Blake Wheeler W Nikolaj Ehlers UTIL Tyson Jost W Joonas Donskoi D Jacob Trouba D Josh Morrissey G Matt Murray,,Nikita Kucherov,W,27.87%,16.5
3,1640000124,CJ22,0,175.6,C Mika Zibanejad UTIL Matt Duchene C Lias Andersson W Johnny Gaudreau W Artemi Panarin W Victor Olofsson D Kris Letang D Ryan Ellis G John Gibson,,Victor Olofsson,W,20.19%,8
4,1640056836,ybomb,0,175,C Nathan MacKinnon C Mika Zibanejad W Mikko Rantanen W Nick Suzuki W Victor Olofsson D Roman Josi UTIL Jacob Trouba D Josh Morrissey G Carter Hutton,,Jonathan Huberdeau,W,19.24%,4.5
5,1639981262,jsanterre16 (1/2),0,174.2,UTIL Evgeni Malkin C Mika Zibanejad C Nick Bonino W Artemi Panarin W Joe Pavelski W Kaapo Kakko D Jacob Trouba D Kevin Shattenkirk G Henrik Lundqvist,,Darcy Kuemper,G,17.98%,11.9
6,1640043135,Wanna_Square_Up1567 (11/20),0,173.8,C Mark Scheifele C Mika Zibanejad UTIL Blake Wheeler W Nikolaj Ehlers W Chris Kreider W Pavel Buchnevich D Jacob Trouba D Josh Brown G David Rittich,,Artemi Panarin,W,16.61%,15
7,1640068487,Conser22 (1/2),0,173.6,C Mika Zibanejad C Matt Duchene W Filip Forsberg W Artemi Panarin UTIL Clayton Keller W Jordan Weal D Jacob Trouba D Cale Makar G Pekka Rinne,,Aleksander Barkov,C,16.30%,0
7,1640068980,Conser22 (2/2),0,173.6,C Mika Zibanejad C Matt Duchene W Filip Forsberg W Artemi Panarin UTIL Clayton Keller W Jordan Weal D Jacob Trouba D Cale Makar G Pekka Rinne,,Jake Guentzel,W,14.20%,0
9,1640055372,msw6880 (4/20),0,171.2,C Nathan MacKinnon C Mika Zibanejad UTIL Radek Faksa W Gabriel Landeskog W Artemi Panarin W Joonas Donskoi D Jacob Trouba D John Klingberg G Carter Hutton,,Jack Eichel,UTIL,13.67%,6
10,1640014395,nickps (14/20),0,170.6,C Mark Scheifele C Mika Zibanejad UTIL Blake Wheeler W Artemi Panarin W Nikolaj Ehlers W Pavel Buchnevich D Brady Skjei D Henri Jokiharju G Pekka Rinne,,Sidney Crosby,C,13.14%,7.8
