Name,Salary,Team,Pos,Opp,Proj_FP,Line,PP_Line
Patrick Kane,7800,CHI,RW,NSH,23.26,1,1
Malcolm Subban,6800,CHI,G,NSH,17.77,,
Connor Hellebuyck,7700,WPG,G,EDM,16.96,,
Tuukka Rask,7900,BOS,G,PIT,16.40,,
Alexandar Georgiev,7300,NYR,G,BUF,16.16,,
Tristan Jarry,7600,PIT,G,BOS,16.00,,
Anton Khudobin,8500,DAL,G,DET,15.87,,
Kaapo Kahkonen,8000,MIN,G,LA,15.73,,
Joonas Korpisalo,8000,CLS,G,FLA,15.72,,
Darcy Kuemper,8000,ARI,G,ANH,15.65,,
Jacob Markstrom,7700,CGY,G,TOR,15.43,,
Brad Marchand,7900,BOS,LW,PIT,15.08,1,1
Connor McDavid,8500,EDM,C,WPG,15.05,1,1
Patrice Bergeron,8200,BOS,C,PIT,14.90,1,1
Auston Matthews,8000,TOR,C,CGY,14.82,1,1
Semyon Varlamov,8100,NYI,G,WAS,14.77,,
Brian Elliott,8000,PHI,G,NJ,14.74,,
Robin Lehner,8100,VGK,G,STL,14.74,,
Frederik Andersen,7800,TOR,G,CGY,14.53,,
Jordan Binnington,7400,STL,G,VGK,14.49,,
Philipp Grubauer,8400,COL,G,SJ,14.31,,
Jack Eichel,7600,BUF,C,NYR,14.19,1,1
Martin Jones,6900,SJ,G,COL,13.76,,
Linus Ullmark,7900,BUF,G,NYR,13.58,,
Nathan MacKinnon,8400,COL,C,SJ,13.53,1,1
Sergei Bobrovsky,7500,FLA,G,CLS,13.34,,
John Gibson,7600,ANH,G,ARI,13.33,,
Brent Burns,6900,SJ,D,COL,13.25,x,1
Leon Draisaitl,7100,EDM,C,WPG,13.19,2,1
Mikko Koskinen,7800,EDM,G,WPG,13.15,,
Thomas Greiss,6800,DET,G,DAL,12.99,,
Artemi Panarin,6800,NYR,LW,BUF,12.90,2,1
Matthew Tkachuk,7400,CGY,RW,TOR,12.90,1,1
Mark Scheifele,7300,WPG,C,EDM,12.60,1,1
Scott Wedgewood,7000,NJ,G,PHI,12.34,,
Cal Petersen,6900,LA,G,MIN,12.30,,
Taylor Hall,7300,BUF,LW,NYR,12.03,1,1
Blake Wheeler,7000,WPG,RW,EDM,12.02,1,1
Mika Zibanejad,6600,NYR,C,BUF,12.01,1,1
Max Pacioretty,6700,VGK,LW,STL,11.98,1,1
Mitch Marner,7600,TOR,RW,CGY,11.94,1,1
Vitek Vanecek,7300,WAS,G,NYI,11.76,,
Ryan Nugent-Hopkins,7500,EDM,LW,WPG,11.67,1,1
Johnny Gaudreau,6100,CGY,LW,TOR,11.62,2,1
Kyle Connor,7200,WPG,LW,EDM,11.45,1,1
Pekka Rinne,8100,NSH,G,CHI,11.45,,
Mikko Rantanen,7700,COL,RW,SJ,11.28,1,1
Viktor Arvidsson,5400,NSH,RW,CHI,11.26,1,1
Tomas Hertl,5300,SJ,C,COL,11.26,2,1
Evander Kane,6000,SJ,RW,COL,11.16,2,2
Elias Lindholm,5900,CGY,C,TOR,11.12,1,1
Logan Couture,4700,SJ,C,COL,11.08,1,1
John Tavares,6800,TOR,C,CGY,11.08,2,1
Dylan Larkin,7000,DET,C,DAL,11.07,1,1
Roman Josi,6800,NSH,D,CHI,11.01,x,1
Aleksander Barkov,6900,FLA,C,CLS,10.97,1,1
Alex Pietrangelo,6700,VGK,D,STL,10.96,x,1
Mark Stone,6200,VGK,RW,STL,10.93,1,1
Sidney Crosby,6700,PIT,C,BOS,10.88,1,1
Evgeni Malkin,5200,PIT,C,BOS,10.78,2,1
John Carlson,7100,WAS,D,NYI,10.73,x,1
Mark Giordano,6300,CGY,D,TOR,10.51,x,2
Sean Monahan,6000,CGY,C,TOR,10.44,2,1
Erik Karlsson,5000,SJ,D,COL,10.39,x,1
Adam Fox,6600,NYR,D,BUF,10.24,x,1
Shea Theodore,7000,VGK,D,STL,10.18,x,2
Nikolaj Ehlers,5400,WPG,RW,EDM,10.12,2,2
Jake Guentzel,6400,PIT,LW,BOS,10.07,1,1
Craig Smith,4200,BOS,RW,PIT,10.00,3,2
Filip Forsberg,6600,NSH,LW,CHI,9.96,1,1
Aaron Ekblad,6500,FLA,D,CLS,9.96,x,1
Kris Letang,5800,PIT,D,BOS,9.87,x,1
Ryan O'Reilly,5000,STL,C,VGK,9.86,1,1
Kevin Hayes,6300,PHI,C,NJ,9.77,1,2
Anze Kopitar,6400,LA,C,MIN,9.77,1,1
Gabriel Landeskog,7100,COL,LW,SJ,9.76,1,1
Pavel Buchnevich,6000,NYR,RW,BUF,9.66,2,2
Matt Grzelcyk,4700,BOS,D,PIT,9.65,x,1
Mikael Granlund,3300,NSH,LW,CHI,9.63,2,2
Alexander Radulov,5900,DAL,RW,DET,9.59,2,1
Ryan Ellis,5700,NSH,D,CHI,9.57,x,2
Nicklas Backstrom,6200,WAS,C,NYI,9.49,1,1
Chris Kreider,4000,NYR,LW,BUF,9.47,1,1
Victor Olofsson,5000,BUF,LW,NYR,9.44,2,1
Connor Murphy,5200,CHI,D,NSH,9.39,x,2
Charlie McAvoy,5300,BOS,D,PIT,9.37,x,2
Conor Garland,5700,ARI,RW,ANH,9.30,1,1
Dylan Strome,4800,CHI,C,NSH,9.30,2,1
Sam Reinhart,5300,BUF,RW,NYR,9.29,1,1
Charlie Coyle,4000,BOS,C,PIT,9.29,3,2
T.J. Oshie,5900,WAS,RW,NYI,9.24,1,1
Matt Duchene,3900,NSH,C,CHI,9.09,2,1
Dominik Kubalik,4700,CHI,LW,NSH,9.08,2,1
Claude Giroux,4300,PHI,C,NJ,9.07,3,1
Rickard Rakell,4600,ANH,RW,ARI,9.07,1,2
Kyle Palmieri,5100,NJ,RW,PHI,9.05,1,1
Jakub Vrana,5800,WAS,LW,NYI,9.04,1,1
Joe Pavelski,6100,DAL,C,DET,9.03,2,1
Jake DeBrusk,4300,BOS,RW,PIT,8.98,1,2
David Krejci,4900,BOS,C,PIT,8.97,2,1
Phil Kessel,5500,ARI,RW,ANH,8.95,2,2
Jonathan Marchessault,4600,VGK,LW,STL,8.94,2,1
William Nylander,5800,TOR,RW,CGY,8.92,2,2
Zach Parise,5100,MIN,LW,LA,8.83,1,1
James van Riemsdyk,3800,PHI,RW,NJ,8.81,1,2
Torey Krug,5000,STL,D,VGK,8.81,x,1
Clayton Keller,4500,ARI,LW,ANH,8.81,2,2
Oliver Bjorkstrand,4700,CLS,RW,FLA,8.72,2,1
Zach Werenski,4700,CLS,D,FLA,8.72,x,2
Patric Hornqvist,4000,FLA,RW,CLS,8.60,2,1
Timo Meier,5200,SJ,LW,COL,8.58,3,2
Reilly Smith,4500,VGK,RW,STL,8.57,2,2
Seth Jones,4300,CLS,D,FLA,8.56,x,1
Tyler Bertuzzi,4900,DET,RW,DAL,8.50,1,1
Jesse Puljujarvi,3000,EDM,RW,WPG,8.50,1,2
Anthony Mantha,5000,DET,RW,DAL,8.49,2,1
Jonathan Huberdeau,6900,FLA,LW,CLS,8.49,2,1
Jack Studnicka,2900,BOS,RW,PIT,8.46,2,
Neal Pionk,4000,WPG,D,EDM,8.45,x,2
