nbaName,Salary,Team,Pos,Opp,Proj_FP,Line,PP_Line
Kevin Lankinen,7300,CHI,G,NSH,16.08,,
Braden Holtby,8300,VAN,G,OTT,15.89,,
Juuse Saros,8100,NSH,G,CHI,14.04,,
Patrick Kane,8000,CHI,RW,NSH,13.76,1,1
Matt Murray,7000,OTT,G,VAN,12.77,,
Viktor Arvidsson,6100,NSH,RW,CHI,11.87,1,1
Roman Josi,6500,NSH,D,CHI,11.57,x,1
Brock Boeser,5800,VAN,RW,OTT,11.24,2,1
Bo Horvat,7000,VAN,C,OTT,10.79,1,1
Elias Pettersson,6200,VAN,C,OTT,10.51,2,1
Filip Forsberg,6400,NSH,LW,CHI,10.38,1,1
J.T. Miller,5900,VAN,LW,OTT,10.29,2,1
Quinn Hughes,6300,VAN,D,OTT,9.97,x,1
Mikael Granlund,3400,NSH,LW,CHI,9.85,2,2
Connor Murphy,5400,CHI,D,NSH,9.81,x,2
Ryan Ellis,5900,NSH,D,CHI,9.44,x,2
Dylan Strome,5500,CHI,C,NSH,9.36,2,1
Brady Tkachuk,7200,OTT,LW,VAN,9.20,1,1
Matt Duchene,5000,NSH,C,CHI,9.04,2,1
Dominik Kubalik,5300,CHI,LW,NSH,9.03,2,1
Evgenii Dadonov,3800,OTT,RW,VAN,8.79,3,1
Tyler Myers,4700,VAN,D,OTT,8.63,x,
Joshua Norris,5300,OTT,C,VAN,8.42,1,1
Alexander Edler,4300,VAN,D,OTT,8.40,x,
Duncan Keith,5200,CHI,D,NSH,8.37,x,1
Nate Schmidt,4500,VAN,D,OTT,8.15,x,2
Tanner Pearson,3600,VAN,LW,OTT,8.05,1,2
Thomas Chabot,5700,OTT,D,VAN,8.04,x,1
Ryan Johansen,4600,NSH,C,CHI,7.69,1,1
Andrew Shaw,3300,CHI,RW,NSH,7.24,3,1
Mattias Ekholm,3800,NSH,D,CHI,7.17,x,
Mattias Janmark,3100,CHI,LW,NSH,7.04,1,2
Nils Hoglander,3900,VAN,RW,OTT,7.00,1,2
Connor Brown,4200,OTT,RW,VAN,6.89,2,
Luke Kunin,4000,NSH,RW,CHI,6.68,2,2
Pius Suter,5100,CHI,C,NSH,6.62,1,2
Erik Haula,3200,NSH,C,CHI,6.39,3,2
Tim Stutzle,3700,OTT,LW,VAN,5.93,2,2
Drake Batherson,4800,OTT,RW,VAN,5.87,1,1
Jake Virtanen,3000,VAN,LW,OTT,5.87,3,2
Nick Cousins,2500,NSH,LW,CHI,5.85,3,2
Nikita Zadorov,2800,CHI,D,NSH,5.84,x,
Chris Tierney,3500,OTT,C,VAN,5.60,2,
Nicolas Beaudin,2500,CHI,D,NSH,5.57,x,
Mike Reilly,4400,OTT,D,VAN,5.24,x,2
Philipp Kurashev,2800,CHI,RW,NSH,5.23,2,2
Nikita Zaitsev,4900,OTT,D,VAN,5.02,x,
Dante Fabbro,2900,NSH,D,CHI,4.92,x,
Erik Gudbranson,3400,OTT,D,VAN,4.27,x,
Colin White,2600,OTT,RW,VAN,4.14,3,2
Derek Stepan,4000,OTT,C,VAN,4.06,4,2
Christian Wolanin,2500,OTT,D,VAN,3.85,x,2
Calvin de Haan,3600,CHI,D,NSH,3.82,x,
Tyler Motte,3200,VAN,RW,OTT,3.75,4,
Brandon Sutter,3100,VAN,C,OTT,3.72,3,
Brandon Hagel,2500,CHI,LW,NSH,3.46,4,
Nick Paul,4500,OTT,LW,VAN,3.40,3,
Carl Soderberg,2700,CHI,C,NSH,3.28,3,
Ian Mitchell,2500,CHI,D,NSH,3.09,x,2
Jordie Benn,3100,VAN,D,OTT,3.04,x,
Antoine Roussel,2500,VAN,LW,OTT,2.90,4,
Zack MacEwen,2500,VAN,RW,OTT,2.77,3,2
Austin Watson,2500,OTT,RW,VAN,2.55,4,
David Kampf,2500,CHI,C,NSH,2.53,4,
Jalen Chatfield,2500,VAN,D,OTT,2.51,x,
Mathieu Olivier,2500,NSH,RW,CHI,2.47,4,
Ryan Carpenter,2500,CHI,RW,NSH,2.34,4,
Brad Richardson,2600,NSH,C,CHI,2.30,4,
Jay Beagle,2500,VAN,C,OTT,2.29,4,
Mark Borowiecki,3000,NSH,D,CHI,2.27,x,
Braydon Coburn,2500,OTT,D,VAN,2.17,x,
Colton Sissons,2900,NSH,RW,CHI,2.15,3,
Yakov Trenin,2500,NSH,LW,CHI,2.03,4,
Matthew Highmore,2500,CHI,LW,NSH,1.85,3,
Cedric Paquette,2500,OTT,C,VAN,1.80,4,
Matt Benning,2500,NSH,D,CHI,1.66,x,
Kasimir Kaskisuo,6500,NSH,G,CHI,0.0,,
Anthony Richard,2500,NSH,C,CHI,0.0,,
Lucas Carlsson,2500,CHI,D,NSH,0.0,x,
Lukas Jasek,2500,VAN,RW,OTT,0.0,,
Alexandre Carrier,2500,NSH,D,CHI,0.0,x,
Jean-Christophe Beaudin,2500,OTT,C,VAN,0.0,,
Ashton Sautner,2500,VAN,D,OTT,0.0,x,
Thomas Novak,2500,NSH,C,CHI,0.0,,
Guillaume Brisebois,2500,VAN,D,OTT,0.0,x,
Filip Chlapik,2500,OTT,C,VAN,0.0,7,
Tyler Lewington,2500,NSH,D,CHI,0.0,x,
Rem Pitlick,2500,NSH,C,CHI,0.0,,
Eeli Tolvanen,2500,NSH,LW,CHI,0.0,5,
Sean Malone,2500,NSH,C,CHI,0.0,,
Anton Lindholm,2500,CHI,D,NSH,0.0,x,
Olli Juolevi,2600,VAN,D,OTT,0.0,x,
Alexander Nylander,2500,CHI,LW,NSH,0.0,8,
Logan Brown,2500,OTT,C,VAN,0.0,,
Vitali Abramov,2500,OTT,RW,VAN,0.0,,
Filip Gustavsson,6500,OTT,G,VAN,0.0,,
Chad Krys,2500,CHI,D,NSH,0.0,x,
Cam Morrison,2500,CHI,LW,NSH,0.0,,
Frederic Allard,2500,NSH,D,CHI,0.0,x,
Michal Teply,2500,CHI,LW,NSH,0.0,,
Matt Tomkins,6500,CHI,G,NSH,0.0,,
Cole Smith,2500,NSH,LW,CHI,0.0,,
Marc Michaelis,2500,VAN,LW,OTT,0.0,5,
Matej Chalupa,2500,CHI,RW,NSH,0.0,,
Jack Rathbone,2500,VAN,D,OTT,0.0,x,
Wyatt Kalynuk,2500,CHI,D,NSH,0.0,x,
