C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
16260118,16260172,16260624,16260772,16260888,16261572,16261646,16262370,16260880,,1. Locate the player you want to select in the list below ,,,,,,,,
16260118,16260172,16260688,16260772,16260902,16261572,16261646,16262362,16260170,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16260118,16260184,16260624,16260772,16260786,16261596,16261646,16262362,16260888,,3. Paste the ID into the roster position desired ,,,,,,,,
16260116,16260172,16260634,16260888,16260792,16261572,16261624,16262362,16260880,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16260116,16260138,16260694,16260916,16260880,16261572,16261646,16262362,16260172,,5. You can create up to 500 lineups per file ,,,,,,,,
16260118,16260184,16260680,16260772,16260786,16261572,16261624,16262362,16260784,,,,,,,,,,
16260114,16260118,16260772,16260792,16260880,16261624,16261646,16262362,16260172,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16260118,16260138,16260624,16260772,16260888,16261624,16261634,16262362,16260916,,LW,Alex Ovechkin (16260618),Alex Ovechkin,16260618,W/UTIL,8700,NYI@WAS 01/28/2021 07:00PM ET,WAS,14.05
16260116,16260184,16260634,16260772,16260786,16261646,16261634,16262362,16260784,,C,Nathan MacKinnon (16260112),Nathan MacKinnon,16260112,C/UTIL,8600,SJ@COL 01/28/2021 09:00PM ET,COL,16.13
16260116,16260172,16260688,16260792,16260880,16261572,16261646,16262370,16260170,,G,Philipp Grubauer (16262326),Philipp Grubauer,16262326,G,8500,SJ@COL 01/28/2021 09:00PM ET,COL,15.57
16260116,16260138,16260786,16260784,16260916,16261572,16261608,16262362,16260184,,C,Connor McDavid (16260114),Connor McDavid,16260114,C/UTIL,8500,TOR@EDM 01/28/2021 10:00PM ET,EDM,19.52
16260122,16260170,16260688,16260786,16260784,16261572,16261646,16262362,16260184,,G,Andrei Vasilevskiy (16262327),Andrei Vasilevskiy,16262327,G,8400,TB@CAR 01/28/2021 07:00PM ET,TB,15.4
16260118,16260168,16260624,16260772,16260874,16261596,16261608,16262362,16260916,,G,Anton Khudobin (16262328),Anton Khudobin,16262328,G,8400,DET@DAL 01/28/2021 08:30PM ET,DAL,21.6
16260172,16260170,16260624,16260772,16260792,16261572,16261596,16262362,16260880,,C,Auston Matthews (16260116),Auston Matthews,16260116,C/UTIL,8400,TOR@EDM 01/28/2021 10:00PM ET,TOR,17.61
16260118,16260172,16260624,16260772,16260786,16261608,16261634,16262362,16260880,,RW,Steven Stamkos (16260620),Steven Stamkos,16260620,W/UTIL,8300,TB@CAR 01/28/2021 07:00PM ET,TB,16.32
