Name,Salary,Team,Pos,Opp,Proj_FP,Line,PP_Line
Andrei Vasilevskiy,8500,TB,G,DET,16.91,,
Brian Elliott,7400,PHI,G,BOS,16.20,,
Chris Driedger,7700,FLA,G,NSH,16.15,,
David Pastrnak,9000,BOS,RW,PHI,15.59,1,1
Marc-Andre Fleury,8200,VGK,G,LA,15.37,,
Tuukka Rask,8200,BOS,G,PHI,15.17,,
Aleksander Barkov,7500,FLA,C,NSH,14.82,1,1
John Gibson,7800,ANH,G,SJ,13.64,,
Pekka Rinne,7500,NSH,G,FLA,13.12,,
Brent Burns,7000,SJ,D,ANH,12.68,x,1
Martin Jones,7400,SJ,G,ANH,12.62,,
Jonathan Quick,7000,LA,G,VGK,12.40,,
Steven Stamkos,8300,TB,RW,DET,12.35,1,1
Max Pacioretty,6900,VGK,LW,LA,11.98,1,1
Patrice Bergeron,8300,BOS,C,PHI,11.73,1,1
Aaron Ekblad,6500,FLA,D,NSH,11.68,x,1
Patric Hornqvist,5900,FLA,RW,NSH,11.39,2,1
Logan Couture,5700,SJ,C,ANH,11.34,1,1
Jonathan Huberdeau,5800,FLA,LW,NSH,11.28,2,1
Roman Josi,6100,NSH,D,FLA,11.13,x,1
Victor Hedman,7600,TB,D,DET,11.11,x,1
Brad Marchand,7900,BOS,LW,PHI,11.10,1,1
Filip Forsberg,5500,NSH,LW,FLA,11.09,1,1
Viktor Arvidsson,5200,NSH,RW,FLA,10.85,2,2
Evander Kane,5700,SJ,LW,ANH,10.68,1,2
Thomas Greiss,6900,DET,G,TB,10.66,,
Brayden Point,7700,TB,C,DET,10.21,1,1
Dylan Larkin,6300,DET,C,TB,10.16,1,1
Anthony Duclair,4500,FLA,RW,NSH,10.02,1,2
Mark Stone,6400,VGK,RW,LA,9.80,1,1
Mikael Granlund,4200,NSH,RW,FLA,9.75,1,2
Tomas Hertl,5400,SJ,C,ANH,9.66,2,1
Carter Verhaeghe,4700,FLA,LW,NSH,9.49,1,2
Erik Karlsson,5100,SJ,D,ANH,9.15,x,1
Kevin Hayes,6000,PHI,C,BOS,9.08,1,2
Shea Theodore,6900,VGK,D,LA,9.06,x,1
Ryan Ellis,5500,NSH,D,FLA,9.00,x,1
Anze Kopitar,6700,LA,C,VGK,8.97,1,1
Claude Giroux,4400,PHI,LW,BOS,8.87,1,1
Matt Duchene,4500,NSH,C,FLA,8.78,1,2
Ivan Provorov,5700,PHI,D,BOS,8.76,x,1
Jonathan Marchessault,5000,VGK,LW,LA,8.65,2,2
Anthony Mantha,4000,DET,LW,TB,8.51,2,1
Keith Yandle,5000,FLA,D,NSH,8.34,x,1
Frank Vatrano,2800,FLA,LW,NSH,8.31,3,2
James van Riemsdyk,4800,PHI,LW,BOS,8.27,3,1
Timo Meier,4900,SJ,LW,ANH,8.20,3,2
Jeff Carter,4500,LA,RW,VGK,8.16,2,2
Ondrej Palat,5600,TB,LW,DET,8.08,1,1
Kevin Labanc,4200,SJ,RW,ANH,8.02,1,1
Reilly Smith,4400,VGK,RW,LA,7.86,2,2
MacKenzie Weegar,3700,FLA,D,NSH,7.85,x,
Rickard Rakell,4700,ANH,RW,SJ,7.75,3,1
Travis Konecny,5100,PHI,RW,BOS,7.73,2,2
Tyler Johnson,3200,TB,RW,DET,7.67,2,2
Alec Martinez,5200,VGK,D,LA,7.57,x,2
Drew Doughty,6000,LA,D,VGK,7.54,x,1
Bobby Ryan,3300,DET,RW,TB,7.49,2,1
Craig Smith,3800,BOS,RW,PHI,7.43,2,2
Dustin Brown,3500,LA,RW,VGK,7.38,1,1
Anthony Cirelli,5100,TB,C,DET,7.36,2,2
Ryan Donato,3600,SJ,RW,ANH,7.34,2,2
Charlie McAvoy,5300,BOS,D,PHI,7.30,x,1
Alex Killorn,4600,TB,LW,DET,7.29,2,1
Adrian Kempe,3700,LA,RW,VGK,7.26,3,1
Yanni Gourde,3800,TB,C,DET,7.23,3,2
Ryan McDonagh,4000,TB,D,DET,7.15,x,
Nick Ritchie,3900,BOS,LW,PHI,7.13,2,1
Mikhail Sergachev,4500,TB,D,DET,7.08,x,2
Hampus Lindholm,4100,ANH,D,SJ,7.00,x,1
Kevin Shattenkirk,3900,ANH,D,SJ,6.98,x,1
