C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
16326489,16326507,16326705,16326727,16326737,16327013,16327019,16327301,16326781,,1. Locate the player you want to select in the list below ,,,,,,,,
16326489,16326497,16326727,16326719,16326781,16327013,16327021,16327301,16326739,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16326489,16326507,16326727,16326737,16326719,16327013,16327021,16327287,16326781,,3. Paste the ID into the roster position desired ,,,,,,,,
16326489,16326507,16326705,16326707,16326727,16327021,16327033,16327301,16326737,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16326489,16326507,16326707,16326727,16326737,16327013,16327035,16327301,16326719,,5. You can create up to 500 lineups per file ,,,,,,,,
16326489,16326537,16326705,16326727,16326737,16327019,16327021,16327301,16326719,,,,,,,,,,
16326489,16326515,16326707,16326727,16326719,16327013,16327019,16327301,16326781,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16326497,16326507,16326705,16326701,16326737,16327013,16327021,16327287,16326781,,RW,David Pastrnak (16326687),David Pastrnak,16326687,W/UTIL,9000,BOS@PHI 02/05/2021 07:00PM ET,BOS,32
16326489,16326527,16326697,16326727,16326719,16327013,16327019,16327301,16326771,,G,Andrei Vasilevskiy (16327287),Andrei Vasilevskiy,16327287,G,8500,DET@TB 02/05/2021 07:00PM ET,TB,15.98
16326489,16326497,16326701,16326727,16326719,16327013,16327043,16327296,16326781,,G,Robin Lehner (16327288),Robin Lehner,16327288,G,8400,LA@VGK 02/05/2021 10:00PM ET,VGK,9.1
16326497,16326507,16326705,16326727,16326737,16327013,16327021,16327301,16326719,,C,Patrice Bergeron (16326485),Patrice Bergeron,16326485,C/UTIL,8300,BOS@PHI 02/05/2021 07:00PM ET,BOS,18.96
16326489,16326497,16326727,16326737,16326719,16327019,16327033,16327301,16326739,,RW,Steven Stamkos (16326689),Steven Stamkos,16326689,W/UTIL,8300,DET@TB 02/05/2021 07:00PM ET,TB,13.39
16326489,16326527,16326697,16326699,16326727,16327021,16327033,16327301,16326737,,G,Curtis McElhinney (16327289),Curtis McElhinney,16327289,G,8300,DET@TB 02/05/2021 07:00PM ET,TB,0
16326489,16326527,16326697,16326699,16326727,16327013,16327027,16327301,16326781,,G,Tuukka Rask (16327290),Tuukka Rask,16327290,G,8200,BOS@PHI 02/05/2021 07:00PM ET,BOS,9.82
16326489,16326507,16326705,16326727,16326719,16327019,16327033,16327287,16326781,,G,Jaroslav Halak (16327291),Jaroslav Halak,16327291,G,8200,BOS@PHI 02/05/2021 07:00PM ET,BOS,13.58
16326489,16326497,16326707,16326727,16326719,16327013,16327033,16327301,16326821,,G,Marc-Andre Fleury (16327292),Marc-Andre Fleury,16327292,G,8200,LA@VGK 02/05/2021 10:00PM ET,VGK,17.37
16326489,16326497,16326701,16326727,16326719,16327019,16327047,16327287,16326781,,LW,Brad Marchand (16326691),Brad Marchand,16326691,W/UTIL,7900,BOS@PHI 02/05/2021 07:00PM ET,BOS,15.16
16326489,16326497,16326727,16326719,16326757,16327013,16327019,16327301,16326537,,G,Sergei Bobrovsky (16327293),Sergei Bobrovsky,16327293,G,7900,NSH@FLA 02/05/2021 07:00PM ET,FLA,12.05
16326489,16326497,16326727,16326719,16326769,16327013,16327019,16327296,16326531,,G,John Gibson (16327294),John Gibson,16327294,G,7800,SJ@ANH 02/05/2021 10:00PM ET,ANH,14.03
16326489,16326497,16326701,16326727,16326781,16327019,16327027,16327301,16326739,,C,Brayden Point (16326487),Brayden Point,16326487,C/UTIL,7700,DET@TB 02/05/2021 07:00PM ET,TB,13.28
,,,,,,,,,,G,Juuse Saros (16327295),Juuse Saros,16327295,G,7700,NSH@FLA 02/05/2021 07:00PM ET,NSH,10.1
,,,,,,,,,,G,Chris Driedger (16327296),Chris Driedger,16327296,G,7700,NSH@FLA 02/05/2021 07:00PM ET,FLA,18.43
,,,,,,,,,,G,Carter Hart (16327297),Carter Hart,16327297,G,7600,BOS@PHI 02/05/2021 07:00PM ET,PHI,12.54
,,,,,,,,,,D,Victor Hedman (16327011),Victor Hedman,16327011,D/UTIL,7600,DET@TB 02/05/2021 07:00PM ET,TB,14.41
,,,,,,,,,,G,Ryan Miller (16327298),Ryan Miller,16327298,G,7600,SJ@ANH 02/05/2021 10:00PM ET,ANH,7
,,,,,,,,,,C,Aleksander Barkov (16326489),Aleksander Barkov,16326489,C/UTIL,7500,NSH@FLA 02/05/2021 07:00PM ET,FLA,15.37
,,,,,,,,,,G,Pekka Rinne (16327299),Pekka Rinne,16327299,G,7500,NSH@FLA 02/05/2021 07:00PM ET,NSH,6.6
,,,,,,,,,,G,Brian Elliott (16327301),Brian Elliott,16327301,G,7400,BOS@PHI 02/05/2021 07:00PM ET,PHI,18.32
