Elias Pettersson,Matt Duchene,Brock Boeser,J.T. Miller,Mikael Granlund,Roman Josi,Duncan Keith,Braden Holtby,Tanner Pearson
Matt Duchene,Ryan Johansen,Viktor Arvidsson,Filip Forsberg,Mikael Granlund,Roman Josi,Quinn Hughes,Braden Holtby,Andrew Shaw
Bo Horvat,Elias Pettersson,Brock Boeser,Mikael Granlund,Tanner Pearson,Roman Josi,Duncan Keith,Braden Holtby,Nils Hoglander
Matt Duchene,Ryan Johansen,Viktor Arvidsson,Filip Forsberg,Mikael Granlund,Roman Josi,Duncan Keith,Braden Holtby,Tanner Pearson
Elias Pettersson,Matt Duchene,Patrick Kane,Mikael Granlund,Mattias Janmark,Roman Josi,Duncan Keith,Braden Holtby,Luke Kunin
Elias Pettersson,Dylan Strome,Brock Boeser,Mikael Granlund,Luke Kunin,Roman Josi,Duncan Keith,Braden Holtby,Matt Duchene
Bo Horvat,Matt Duchene,Viktor Arvidsson,Mikael Granlund,Tanner Pearson,Roman Josi,Duncan Keith,Braden Holtby,Nils Hoglander
Elias Pettersson,Matt Duchene,Brock Boeser,J.T. Miller,Mikael Granlund,Quinn Hughes,Duncan Keith,Braden Holtby,Andrew Shaw
Elias Pettersson,Dylan Strome,Brock Boeser,J.T. Miller,Mikael Granlund,Roman Josi,Duncan Keith,Braden Holtby,Philipp Kurashev
Matt Duchene,Ryan Johansen,Viktor Arvidsson,Brock Boeser,Mikael Granlund,Roman Josi,Duncan Keith,Braden Holtby,Luke Kunin
Elias Pettersson,Ryan Johansen,Brock Boeser,J.T. Miller,Mikael Granlund,Roman Josi,Duncan Keith,Braden Holtby,Luke Kunin
Elias Pettersson,Matt Duchene,Brock Boeser,Mikael Granlund,Andrew Shaw,Roman Josi,Quinn Hughes,Braden Holtby,Luke Kunin
Elias Pettersson,Erik Haula,Viktor Arvidsson,Brock Boeser,J.T. Miller,Roman Josi,Duncan Keith,Braden Holtby,Nick Cousins
Dylan Strome,Matt Duchene,Viktor Arvidsson,Mikael Granlund,Luke Kunin,Roman Josi,Quinn Hughes,Braden Holtby,Ryan Johansen
Elias Pettersson,Matt Duchene,Brock Boeser,J.T. Miller,Mikael Granlund,Roman Josi,Quinn Hughes,Braden Holtby,Brandon Hagel
Dylan Strome,Ryan Johansen,Viktor Arvidsson,Filip Forsberg,Mikael Granlund,Roman Josi,Quinn Hughes,Braden Holtby,Philipp Kurashev
Dylan Strome,Matt Duchene,Viktor Arvidsson,Mikael Granlund,Dominik Kubalik,Roman Josi,Quinn Hughes,Braden Holtby,Philipp Kurashev
Matt Duchene,Pius Suter,Patrick Kane,Mikael Granlund,Tanner Pearson,Roman Josi,Quinn Hughes,Braden Holtby,Mattias Janmark
Elias Pettersson,Matt Duchene,Brock Boeser,Mikael Granlund,Evgenii Dadonov,Roman Josi,Quinn Hughes,Juuse Saros,Luke Kunin
Bo Horvat,Dylan Strome,Mikael Granlund,Tanner Pearson,Nils Hoglander,Roman Josi,Quinn Hughes,Braden Holtby,Matt Duchene
